,newmont_male,newmont_female,tuple,corp_male,corp_female,average_male,average_female,male-female
31,-2.2198648,-1.9796739,"('evil', 'good')",-0.7019362,-0.76072484,-1.4609005,-1.3701993,-0.0907012
1,-2.1446748,-2.153841,"('unfriendly', 'friendly')",1.3340489,1.1448246,-0.405313,-0.5045082,0.0991952
73,1.9690686,2.0852013,"('helpless', 'self-reliant')",-2.7647657,-2.8270242,-0.3978485,-0.3709115,-0.026937
8,-1.7192737,-1.5437906,"('unaffectionate', 'affectionate')",0.47855628,0.36566538,-0.6203587,-0.5890626,-0.0312961
86,-1.706269,-1.6287866,"('uninfluential', 'influential')",-0.6312676,-0.7223559,-1.1687683,-1.1755712,0.0068029
36,-1.4729027,-1.4302762,"('hostile', 'amicable')",-0.3234647,-0.6119852,-0.8981837,-1.0211307,0.122947
53,-1.4626708,-1.3097134,"('uncreative', 'creative')",0.1934524,0.12739028,-0.6346092,-0.5911615,-0.0434477
27,-1.3136264,-1.2775289,"('hardhearted', 'softhearted')",0.6115913,0.545688,-0.3510176,-0.3659205,0.0149029
25,-1.2773226,-1.2100275,"('egoistic', 'altruistic')",0.9352388,0.98293173,-0.1710419,-0.1135479,-0.057494
6,-1.2458327,-0.82653415,"('distant', 'open')",-0.44646922,-0.24730296,-0.8461509,-0.5369186,-0.3092323
26,-1.1757697,-1.2985184,"('hardhearted', 'benevolent')",1.3871588,1.129828,0.1056945,-0.0843452,0.1900397
85,-1.1353586,-1.0935704,"('insignificant', 'prestigious')",-0.5518655,-0.6458824,-0.8436121,-0.8697264,0.0261143
76,1.1139001,1.0846,"('anxious', 'daring')",-0.20706204,-0.23703447,0.453419,0.4237828,0.0296362
9,-1.0907089,-0.85381824,"('unaffectionate', 'caring')",1.1481917,1.1360096,0.0287414,0.1410957,-0.1123543
80,1.0713568,0.85643107,"('dominated', 'dominating')",-0.6559155,-0.6104254,0.2077206,0.1230028,0.0847178
81,1.060356,0.7840678,"('submissive', 'aggressive')",-0.36611742,-0.34375775,0.3471193,0.220155,0.1269643
19,-0.9877023,-0.9473215,"('inhospitable', 'hospitable')",-0.78250474,-0.7510923,-0.8851035,-0.8492069,-0.0358966
32,-0.978834,-0.9013078,"('unkind', 'kind')",0.44912016,0.35625604,-0.2648569,-0.2725259,0.007669
77,-0.9759206,-0.95991904,"('unmotivated', 'motivated')",-0.9287753,-0.8356912,-0.952348,-0.8978051,-0.0545429
88,-0.9753487,-1.0386186,"('low', 'eminent')",-0.47777748,-0.5531888,-0.7265631,-0.7959037,0.0693406
15,-0.96189183,-1.0223227,"('boring', 'funny')",0.0097118355,-0.036370344,-0.47609,-0.5293465,0.0532565
57,-0.9436526,-0.9041208,"('unimaginative', 'imaginative')",-3.0751483,-3.106283,-2.0094004,-2.0052018,-0.0041986
52,-0.89641696,-1.0161465,"('irrational', 'rational')",0.26885086,0.047746554,-0.313783,-0.4842,0.170417
79,-0.88871783,-0.75870687,"('wavering', 'unwavering')",-0.4875003,-0.5412258,-0.688109,-0.6499664,-0.0381426
78,-0.86436886,-0.7350022,"('nonresilient', 'resilient')",0.35434023,0.34202844,-0.2550143,-0.1964869,-0.0585274
0,-0.83846706,-1.1174442,"('unsociable', 'sociable')",-0.2925447,-0.3750809,-0.5655059,-0.7462626,0.1807567
56,0.79566413,0.96331584,"('impractical', 'practical')",-0.2722061,-0.10292348,0.261729,0.4301962,-0.1684672
42,0.7862187,0.9924448,"('unreliable', 'reliable')",-3.2296326,-3.0953667,-1.221707,-1.051461,-0.170246
44,0.7607596,0.8479901,"('prejudiced', 'unprejudiced')",-1.652002,-1.5574807,-0.4456212,-0.3547453,-0.0908759
41,-0.73583513,-0.6414825,"('unforgiving', 'forgiving')",-0.24890876,-0.3885815,-0.4923719,-0.515032,0.0226601
16,-0.7298439,-0.780763,"('unpopular', 'popular')",0.3012805,0.14893499,-0.2142817,-0.315914,0.1016323
14,0.72596115,0.7852016,"('antisocial', 'social')",-0.31600437,-0.14251229,0.2049784,0.3213447,-0.1163663
45,-0.7067575,-0.51544005,"('incompetent', 'competent')",-0.17643866,-0.14492688,-0.4415981,-0.3301834,-0.1114147
63,-0.7037198,-0.45412785,"('unperceptive', 'insightful')",0.53851134,0.66971254,-0.0826042,0.1077923,-0.1903965
74,-0.7027677,-0.4190319,"('undedicated', 'dedicated')",-0.7769691,-0.7268538,-0.7398684,-0.5729429,-0.1669255
54,-0.6336864,-0.4752605,"('incapable', 'capable')",0.7639709,0.77277744,0.0651422,0.1487585,-0.0836163
28,-0.6300473,-0.49650016,"('disloyal', 'loyal')",0.9147788,0.87479097,0.1423658,0.1891454,-0.0467796
48,-0.6150113,-0.99498093,"('unintelligent', 'intelligent')",1.2316658,0.9152628,0.3083273,-0.0398591,0.3481864
61,-0.59764886,-0.5244706,"('illogical', 'logical')",0.42193744,0.47720203,-0.0878557,-0.0236343,-0.0642214
35,-0.583483,-0.51743525,"('corrupt', 'incorrupt')",-0.5646626,-0.57518154,-0.5740728,-0.5463084,-0.0277644
71,0.5741214,0.66791177,"('diffident', 'self-confident')",0.37889588,0.5551132,0.4765086,0.6115125,-0.1350039
67,0.5667418,0.47433025,"('doubtful', 'determined')",-0.36390254,-0.29100493,0.1014196,0.0916627,0.0097569
5,-0.4945168,-0.05677066,"('distant', 'outgoing')",-0.21841773,0.0351684,-0.3564672,-0.0108011,-0.3456661
84,0.48815987,0.3805558,"('inferior', 'superior')",1.1417316,0.97918785,0.8149458,0.6798718,0.135074
60,0.47196746,0.5163667,"('inefficient', 'efficient')",0.13705634,0.17556219,0.3045119,0.3459645,-0.0414526
18,-0.4673321,-0.45763987,"('disagreeable', 'welcoming')",-0.7297788,-0.8084262,-0.5985554,-0.633033,0.0344776
2,-0.4562652,0.08135687,"('unlikable', 'likable')",0.44610915,0.6189217,-0.005078,0.3501393,-0.3552173
43,-0.4458199,-0.026071968,"('irresponsible', 'responsible')",-0.12883973,0.08171142,-0.2873298,0.0278197,-0.3151495
62,0.44559357,0.63730156,"('incompetent', 'brilliant')",0.8066751,1.0250168,0.6261343,0.8311592,-0.2050249
83,-0.43365866,-0.32503715,"('powerless', 'powerful')",-0.6381606,-0.694971,-0.5359097,-0.5100041,-0.0259056
4,-0.41983804,-0.2963514,"('disliked', 'liked')",-6.5022697,-6.446253,-3.4610538,-3.3713021,-0.0897517
72,-0.41296464,-0.31695923,"('unambitious', 'ambitious')",-0.23963656,-0.30409753,-0.3263006,-0.3105284,-0.0157722
