,kimberly_male,kimberly_female,tuple,clark_male,clark_female,corp_male,corp_female,average_male,average_female,male-female
85,1.9378742,0.93985105,"('insignificant', 'prestigious')",1.1749477,0.4695876,0.01764239,-1.1699909,1.0434882,0.0798159,0.9636723
26,1.9026358,1.2442334,"('hardhearted', 'benevolent')",1.691014,1.300712,1.7650864,0.90860057,1.7862453,1.1511819,0.6350634
44,-1.8945423,-1.3973819,"('prejudiced', 'unprejudiced')",-0.7269775,-0.41169602,-1.5857705,-1.3578968,-1.4024301,-1.0556583,-0.3467718
71,1.6816165,1.4363043,"('diffident', 'self-confident')",0.99762166,0.93443227,0.29156923,0.14846325,0.9902692,0.8397333,0.1505359
39,1.6356517,1.8803754,"('exploitative', 'cooperative')",1.0922309,1.0816563,0.29023293,0.32829958,1.0060385,1.0967771,-0.0907386
1,1.4264776,0.93541646,"('unfriendly', 'friendly')",0.47202367,-0.0042899046,1.0144256,0.19416319,0.9709756,0.3750966,0.595879
5,1.4225807,1.051057,"('distant', 'outgoing')",0.9385874,0.7813357,-0.62328213,-1.0690217,0.5792953,0.254457,0.3248383
74,1.3704517,1.3441535,"('undedicated', 'dedicated')",0.50793964,0.4931003,-0.16566584,-0.26888198,0.5709085,0.5227906,0.0481179
69,1.3628398,0.88758945,"('lazy', 'industrious')",2.1365492,1.8850379,-0.23537059,-0.93955904,1.0880062,0.6110228,0.4769834
21,-1.3405083,-0.72682637,"('immoral', 'moral')",-0.60959363,-0.091151446,-0.7834963,-0.073009446,-0.9111994,-0.2969957,-0.6142037
3,-1.3356805,-1.274898,"('repellent', 'pleasant')",-0.8435824,-0.7363608,0.9059082,1.1227018,-0.4244515,-0.2961857,-0.1282658
23,1.3350636,1.5789553,"('insincere', 'sincere')",0.08936615,0.19522245,5.5207357,6.217176,2.3150552,2.6637847,-0.3487295
57,-1.3329113,-0.9644246,"('unimaginative', 'imaginative')",-1.634687,-1.1363269,-3.3910916,-3.3754935,-2.1195633,-1.825415,-0.2941483
55,-1.3225985,-0.4743039,"('incompetent', 'clever')",-2.1655576,-1.3816925,-0.045851413,0.56296515,-1.1780025,-0.4310104,-0.7469921
25,1.3198678,0.83592457,"('egoistic', 'altruistic')",0.9235607,0.57014996,1.2588998,0.6431245,1.1674428,0.6830664,0.4843764
65,-1.3062513,-0.8137448,"('insecure', 'secure')",-1.3897655,-1.0933776,-0.42776623,0.40087372,-1.041261,-0.5020829,-0.5391781
68,-1.3043327,-0.99342287,"('dependent', 'independent')",-1.342779,-1.1071676,-1.1961966,-0.8866339,-1.2811028,-0.9957414,-0.2853614
9,1.2799532,0.8829704,"('unaffectionate', 'caring')",0.12914373,-0.003849186,1.0317401,0.82840055,0.8136123,0.5691739,0.2444384
81,-1.2207836,-0.54586405,"('submissive', 'aggressive')",-1.2862946,-0.47656825,-0.99765545,-0.27440816,-1.1682445,-0.4322801,-0.7359644
12,1.192688,1.1686138,"('unsupportive', 'supportive')",0.5189193,0.74721545,-1.566831,-1.7087121,0.0482587,0.069039,-0.0207803
33,1.1838154,0.9664171,"('wrong', 'right')",1.1681569,0.9793467,-0.5409941,-0.91519916,0.6036593,0.3435216,0.2601377
