,tegna_male,tegna_female,tuple,inc_male,inc_female,average_male,average_female,male-female
8,-2.0455103,-1.9382596,"('unaffectionate', 'affectionate')",-0.101336,0.1669954,-1.0734231,-0.8856321,-0.187791
6,-1.932245,-1.8890319,"('distant', 'open')",-0.27827826,-0.0794913,-1.1052617,-0.9842616,-0.1210001
36,-1.82027,-1.9335891,"('hostile', 'amicable')",-0.5008173,-0.3358114,-1.1605437,-1.1347003,-0.0258434
31,-1.7416804,-1.778517,"('evil', 'good')",-1.5249821,-1.4170916,-1.6333313,-1.5978043,-0.035527
5,-1.7031628,-1.604124,"('distant', 'outgoing')",-0.5257208,-0.35530347,-1.1144418,-0.9797137,-0.1347281
1,-1.6986253,-1.7258517,"('unfriendly', 'friendly')",1.0005529,1.1992812,-0.3490362,-0.2632852,-0.085751
79,-1.573745,-1.5220729,"('wavering', 'unwavering')",-0.34455916,-0.07368583,-0.9591521,-0.7978794,-0.1612727
9,-1.4670126,-1.533109,"('unaffectionate', 'caring')",0.5908441,0.7735605,-0.4380843,-0.3797742,-0.0583101
19,-1.407678,-1.2569168,"('inhospitable', 'hospitable')",-0.52989554,-0.17824511,-0.9687868,-0.7175809,-0.2512059
60,1.388033,1.3900397,"('inefficient', 'efficient')",0.8667014,0.7224669,1.1273673,1.0562533,0.071114
57,-1.3139906,-1.1824615,"('unimaginative', 'imaginative')",-2.7034066,-2.9713233,-2.0086985,-2.0768924,0.0681939
86,-1.2640034,-1.20087,"('uninfluential', 'influential')",-0.38946545,-0.42529598,-0.8267344,-0.813083,-0.0136514
53,-1.2299595,-1.2659547,"('uncreative', 'creative')",0.41490945,0.5525512,-0.407525,-0.3567018,-0.0508232
62,1.2224567,1.2612773,"('incompetent', 'brilliant')",1.0619714,0.95625067,1.1422141,1.1087639,0.0334502
84,1.0835905,0.9262712,"('inferior', 'superior')",1.2858127,1.2518241,1.1847017,1.0890477,0.095654
65,1.0776407,1.0251713,"('insecure', 'secure')",0.10730705,-0.13746192,0.5924739,0.4438547,0.1486192
35,-1.0303507,-1.1031221,"('corrupt', 'incorrupt')",-0.7298583,-0.5676494,-0.8801045,-0.8353858,-0.0447187
85,-1.0221361,-0.81146526,"('insignificant', 'prestigious')",-0.4566565,-0.2013891,-0.7393963,-0.5064272,-0.2329691
30,0.9497778,1.3635361,"('intolerant', 'tolerant')",1.6337993,1.6422117,1.2917886,1.5028739,-0.2110853
21,0.92205054,0.68660533,"('immoral', 'moral')",-0.08670575,-0.3893793,0.4176724,0.148613,0.2690594
76,0.90103,1.1004733,"('anxious', 'daring')",0.7347358,0.666936,0.8178829,0.8837047,-0.0658218
80,0.8435072,0.8476669,"('dominated', 'dominating')",-1.0235422,-1.2219731,-0.0900175,-0.1871531,0.0971356
66,-0.8203804,-0.981796,"('inactive', 'active')",0.36757672,0.51681453,-0.2264018,-0.2324907,0.0060889
44,0.8145676,0.8176275,"('prejudiced', 'unprejudiced')",-1.5768111,-1.6296701,-0.3811217,-0.4060213,0.0248996
14,0.76888514,0.8371309,"('antisocial', 'social')",-0.14322466,-0.43236774,0.3128302,0.2023816,0.1104486
55,0.7656452,0.793414,"('incompetent', 'clever')",0.49957383,0.123974,0.6326095,0.458694,0.1739155
2,0.74893165,0.6913778,"('unlikable', 'likable')",0.41490272,0.34552234,0.5819172,0.5184501,0.0634671
56,0.7251151,0.73399335,"('impractical', 'practical')",0.52559185,0.34011117,0.6253535,0.5370523,0.0883012
42,0.7080937,0.85729384,"('unreliable', 'reliable')",-2.9643297,-3.1777132,-1.128118,-1.1602097,0.0320917
25,-0.7058681,-1.049907,"('egoistic', 'altruistic')",0.6913527,0.5842178,-0.0072577,-0.2328446,0.2255869
40,0.6976511,0.53147215,"('stingy', 'generous')",-1.6096344,-1.9705005,-0.4559917,-0.7195141,0.2635224
88,-0.6773464,-0.6413711,"('low', 'eminent')",0.21494466,0.26951578,-0.2312009,-0.1859276,-0.0452733
0,-0.6685787,-0.77455866,"('unsociable', 'sociable')",-0.43365303,-0.6256468,-0.5511159,-0.7001027,0.1489868
54,-0.6650266,-0.5218763,"('incapable', 'capable')",1.0363153,1.3442154,0.1856444,0.4111696,-0.2255252
26,-0.65077627,-0.58558017,"('hardhearted', 'benevolent')",0.8082047,1.0434543,0.0787142,0.2289371,-0.1502229
