,pfizer_male,pfizer_female,tuple,inc_male,inc_female,average_male,average_female,male-female
10,-3.5939848,-3.4802685,"('unsympathetic', 'sympathetic')",-0.71530783,-0.25855088,-2.1546464,-1.8694097,-0.2852367
85,3.0364654,2.7821734,"('insignificant', 'prestigious')",1.4449017,0.8096405,2.2406836,1.795907,0.4447766
46,-2.8226886,-2.6776624,"('uncompetitive', 'competitive')",-1.1564279,-0.8660305,-1.9895582,-1.7718464,-0.2177118
35,2.7802594,2.6967795,"('corrupt', 'incorrupt')",0.23012415,-0.109723695,1.5051918,1.2935278,0.211664
69,2.6818228,2.4912913,"('lazy', 'industrious')",-0.15508848,-0.5969988,1.2633672,0.9471462,0.316221
11,-2.47575,-2.4171019,"('unhelpful', 'helpful')",1.3250932,1.6423188,-0.5753284,-0.3873915,-0.1879369
13,-2.354076,-2.1741383,"('impolite', 'polite')",-0.832885,-0.42905176,-1.5934805,-1.301595,-0.2918855
23,-2.3304102,-2.2924697,"('insincere', 'sincere')",5.5312037,5.9824142,1.6003968,1.8449723,-0.2445755
57,-2.271797,-2.1883447,"('unimaginative', 'imaginative')",-2.809599,-2.761093,-2.5406981,-2.4747188,-0.0659793
45,-2.231393,-2.2143242,"('incompetent', 'competent')",-0.4810171,-0.2405708,-1.3562051,-1.2274475,-0.1287576
70,-2.1585987,-2.045543,"('lethargic', 'energetic')",0.3087585,0.7413058,-0.9249201,-0.6521186,-0.2728015
0,-2.1285536,-2.1179814,"('unsociable', 'sociable')",-0.79409057,-0.59329134,-1.4613221,-1.3556364,-0.1056857
65,-2.1263883,-2.037696,"('insecure', 'secure')",-0.5813225,-0.23918715,-1.3538554,-1.1384416,-0.2154138
43,-1.9910542,-1.8826929,"('irresponsible', 'responsible')",0.47113627,0.8192586,-0.759959,-0.5317172,-0.2282418
14,-1.9508483,-1.8294854,"('antisocial', 'social')",-1.1932547,-0.9715521,-1.5720515,-1.4005188,-0.1715327
3,-1.9430461,-2.0446877,"('repellent', 'pleasant')",-0.22248429,-0.06133673,-1.0827652,-1.0530123,-0.0297529
