,cigna_male,cigna_female,tuple,corp_male,corp_female,average_male,average_female,male-female
69,1.7257646,1.0923623,"('lazy', 'industrious')",-1.0881544,-1.0351601,0.3188051,0.0286011,0.290204
10,-1.6494839,-1.1334813,"('unsympathetic', 'sympathetic')",0.08448729,0.031044742,-0.7824983,-0.5512183,-0.23128
86,-1.3877312,-1.2691423,"('uninfluential', 'influential')",-0.22836012,-0.39571714,-0.8080456,-0.8324297,0.0243841
45,-1.3591669,-0.86056405,"('incompetent', 'competent')",0.056246098,-0.071421824,-0.6514604,-0.4659929,-0.1854675
85,1.3284402,1.3061105,"('insignificant', 'prestigious')",-0.6602929,-0.43296474,0.3340736,0.4365729,-0.1024993
57,-1.2228373,-0.5573321,"('unimaginative', 'imaginative')",-2.9248743,-2.9002197,-2.0738559,-1.7287759,-0.34508
51,-1.2070098,-1.2639261,"('uneducated', 'educated')",0.79034674,0.5965502,-0.2083315,-0.333688,0.1253565
13,-1.1911303,-1.28365,"('impolite', 'polite')",-0.49973363,-0.64085644,-0.8454319,-0.9622532,0.1168213
2,1.1237787,1.3095528,"('unlikable', 'likable')",0.64194685,0.87442946,0.8828628,1.0919912,-0.2091284
46,-1.0305606,-0.5879481,"('uncompetitive', 'competitive')",-0.45081395,-0.3931086,-0.7406873,-0.4905283,-0.250159
7,-1.0160514,-0.94467133,"('insensitive', 'sensitive')",0.6238398,0.39552546,-0.1961058,-0.2745729,0.0784671
59,0.9765102,0.99797416,"('foolish', 'wise')",-0.3926893,-0.19389898,0.2919105,0.4020376,-0.1101271
3,-0.9673195,-0.4266122,"('repellent', 'pleasant')",1.0519029,1.1960341,0.0422917,0.3847109,-0.3424192
73,0.9586146,1.1896367,"('helpless', 'self-reliant')",-3.4932077,-3.5860565,-1.2672966,-1.1982099,-0.0690867
53,-0.9502646,-0.8451582,"('uncreative', 'creative')",0.3386172,0.28279898,-0.3058237,-0.2811796,-0.0246441
25,0.93426484,0.74997544,"('egoistic', 'altruistic')",1.0155828,1.1916811,0.9749238,0.9708283,0.0040955
0,-0.9321313,-0.9369285,"('unsociable', 'sociable')",-0.0029607601,-0.03255701,-0.467546,-0.4847428,0.0171968
26,0.89061415,1.2316319,"('hardhearted', 'benevolent')",1.4529117,1.5784165,1.1717629,1.4050242,-0.2332613
75,0.87653667,1.0284683,"('meek', 'impulsive')",-0.8182414,-0.868539,0.0291476,0.0799646,-0.050817
23,-0.8514581,-0.6785912,"('insincere', 'sincere')",6.10605,5.9401336,2.627296,2.6307712,-0.0034752
11,-0.8380698,-0.8196995,"('unhelpful', 'helpful')",1.8912882,1.6845801,0.5266092,0.4324403,0.0941689
81,-0.8305085,-0.75224006,"('submissive', 'aggressive')",-0.28419882,-0.420065,-0.5573536,-0.5861526,0.028799
55,-0.8292183,-0.4184267,"('incompetent', 'clever')",0.8781909,0.92364943,0.0244863,0.2526114,-0.2281251
61,-0.8034737,-0.88057125,"('illogical', 'logical')",0.476408,0.55202645,-0.1635329,-0.1642724,0.0007395
84,0.79170704,1.185683,"('inferior', 'superior')",0.9890932,1.132795,0.8904001,1.1592391,-0.268839
33,0.7342378,0.43982956,"('wrong', 'right')",-1.1905043,-1.0221773,-0.2281333,-0.2911739,0.0630406
68,-0.7096293,-0.8245153,"('dependent', 'independent')",-0.604947,-0.5962248,-0.6572881,-0.7103701,0.053082
63,-0.70027363,-0.6298297,"('unperceptive', 'insightful')",0.7690513,0.37026802,0.0343888,-0.1297808,0.1641696
