,northrop_male,northrop_female,tuple,grumman_male,grumman_female,corp_male,corp_female,average_male,average_female,male-female
10,-2.7822175,-3.0497286,"('unsympathetic', 'sympathetic')",-3.6072628,-3.701727,-0.5655637,-1.055621,-2.3183481,-2.6023588,0.2840107
43,-2.184362,-2.1661255,"('irresponsible', 'responsible')",-3.3902862,-3.3144329,0.054607116,-0.27054027,-1.8400137,-1.9170329,0.0770192
30,-1.8177456,-1.7568837,"('intolerant', 'tolerant')",-2.0793843,-1.9826334,0.2154592,0.14269507,-1.2272236,-1.1989408,-0.0282828
33,1.7690092,1.5728619,"('wrong', 'right')",1.9385402,1.8950944,-0.3502437,-0.21345234,1.119102,1.0848347,0.0342673
0,-1.7450004,-1.9220742,"('unsociable', 'sociable')",-2.17902,-2.3581607,-0.56539416,-0.9692224,-1.4964714,-1.7498191,0.2533477
13,-1.7444547,-1.9805799,"('impolite', 'polite')",-2.790491,-2.9116323,-1.0485619,-1.3271773,-1.8611693,-2.0731297,0.2119604
69,1.7194725,1.7847099,"('lazy', 'industrious')",3.0055714,2.86965,-0.50607705,-0.3287773,1.4063222,1.4418608,-0.0355386
45,-1.7021537,-1.900029,"('incompetent', 'competent')",-2.5551307,-2.6590717,-0.36670426,-0.7006489,-1.5413295,-1.7532498,0.2119203
56,-1.6573915,-1.3917423,"('impractical', 'practical')",-1.7676381,-1.473673,-1.1863308,-1.0913205,-1.5371202,-1.3189119,-0.2182083
70,-1.6500943,-1.6713173,"('lethargic', 'energetic')",-2.1454568,-1.9700127,-0.28280222,-0.4147094,-1.3594511,-1.3520131,-0.007438
76,-1.5912799,-1.5768356,"('anxious', 'daring')",-1.8008498,-1.6532116,-0.75042474,-0.8609679,-1.3808514,-1.3636716,-0.0171798
42,-1.5815171,-1.6788275,"('unreliable', 'reliable')",-0.78291494,-0.6224078,-3.7131293,-3.6402988,-2.0258538,-1.9805113,-0.0453425
46,-1.5776465,-1.7874342,"('uncompetitive', 'competitive')",-2.90234,-2.9408727,-1.1423038,-1.4359608,-1.8740967,-2.0547558,0.1806591
60,-1.5726863,-1.3109585,"('inefficient', 'efficient')",-2.453731,-2.1598353,-0.46946916,-0.56376535,-1.4986288,-1.3448531,-0.1537757
25,1.5490072,1.7334031,"('egoistic', 'altruistic')",1.2886944,1.4175705,1.4137682,1.5197872,1.4171565,1.5569202,-0.1397637
35,1.5016974,1.561436,"('corrupt', 'incorrupt')",3.0745895,3.0411134,-0.20833316,0.1774611,1.4559846,1.5933369,-0.1373523
85,1.4274354,1.099586,"('insignificant', 'prestigious')",1.9106598,1.5846527,0.20965523,0.12730865,1.1825835,0.9371824,0.2454011
14,-1.4218297,-1.3356203,"('antisocial', 'social')",-1.645152,-1.6194274,-0.3694319,-0.60519916,-1.1454713,-1.1867489,0.0412776
63,-1.3413774,-1.5956392,"('unperceptive', 'insightful')",-1.9919689,-2.145325,0.43773025,0.21852295,-0.9652054,-1.174147,0.2089416
57,-1.327494,-1.7119589,"('unimaginative', 'imaginative')",-2.1278288,-2.2436488,-2.9273853,-3.339739,-2.1275694,-2.4317822,0.3042128
