,texas_male,texas_female,tuple,instruments_male,instruments_female,inc_male,inc_female,average_male,average_female,male-female
85,1.6962541,1.4900359,"('insignificant', 'prestigious')",1.5248184,1.3665905,0.27088916,0.39845788,1.1639873,1.0850282,0.0789591
39,1.5237746,1.2786396,"('exploitative', 'cooperative')",0.24622595,0.17390135,0.2408932,0.031777397,0.6702979,0.4947728,0.1755251
71,1.4194565,1.2806615,"('diffident', 'self-confident')",1.150317,1.069983,0.36630055,0.38333738,0.9786913,0.9113274,0.0673639
25,1.2977175,1.1601124,"('egoistic', 'altruistic')",1.6883408,1.5780779,1.2579154,1.3103905,1.4146579,1.3495269,0.065131
2,1.2166462,1.3397324,"('unlikable', 'likable')",0.6677891,0.45152086,0.51266396,0.411125,0.7990331,0.7341261,0.064907
10,-1.1761963,-0.68441266,"('unsympathetic', 'sympathetic')",-1.6354396,-1.6656448,-0.23632836,-0.29188922,-1.0159881,-0.8806489,-0.1353392
40,1.1372926,1.3667126,"('stingy', 'generous')",0.7384749,0.5780754,-1.2700683,-1.2563374,0.2018997,0.2294835,-0.0275838
43,-1.0833222,-0.7119582,"('irresponsible', 'responsible')",-1.5075399,-1.5895569,0.33489662,0.16703331,-0.7519885,-0.711494,-0.0404945
73,1.0572067,0.91832614,"('helpless', 'self-reliant')",-0.025847211,-0.1231151,-3.2367666,-3.1909046,-0.7351357,-0.7985645,0.0634288
69,1.0301687,0.65970486,"('lazy', 'industrious')",1.2232891,1.268147,-1.0365295,-0.7798637,0.4056427,0.3826627,0.02298
45,-1.0105314,-0.26733658,"('incompetent', 'competent')",-1.6431978,-1.6569387,-0.24222428,-0.4095055,-0.9653178,-0.7779269,-0.1873909
57,-0.9273321,-0.52953947,"('unimaginative', 'imaginative')",-0.95913523,-0.9940558,-2.827941,-2.6585193,-1.5714695,-1.3940382,-0.1774313
31,-0.92338413,-0.37487411,"('evil', 'good')",0.5785681,0.78316617,-1.4893899,-1.2187927,-0.611402,-0.2701669,-0.3412351
33,0.9196836,0.94591314,"('wrong', 'right')",0.9578708,0.91922843,-0.66652167,-0.6951533,0.4036776,0.3899961,0.0136815
86,-0.83945966,-0.30630547,"('uninfluential', 'influential')",-0.44027215,-0.38764015,-0.12785365,-0.061104685,-0.4691951,-0.2516834,-0.2175117
77,-0.82511735,-0.84442717,"('unmotivated', 'motivated')",0.4645678,0.3703745,-0.9940811,-1.061049,-0.4515435,-0.5117006,0.0601571
32,0.82074136,0.964156,"('unkind', 'kind')",-0.1658763,-0.30425686,0.97115415,0.820552,0.5420064,0.4934837,0.0485227
49,-0.8195491,-0.6801031,"('unable', 'able')",0.19899485,0.21958597,-0.06386536,0.00994676,-0.2281399,-0.1501901,-0.0779498
47,-0.7986973,-0.6670584,"('stupid', 'smart')",-0.44172084,-0.45891693,5.519529,5.2846956,1.4263703,1.38624,0.0401303
82,-0.78571856,-0.6797577,"('poor', 'rich')",0.28013515,0.18133421,6.36833,6.0057163,1.9542489,1.8357642,0.1184847
3,-0.7696703,-0.65415746,"('repellent', 'pleasant')",-0.35952312,-0.46059957,0.36112323,0.14774245,-0.2560234,-0.3223382,0.0663148
0,-0.7687193,-0.6350726,"('unsociable', 'sociable')",-0.49718872,-0.60485595,-0.29989478,-0.46107298,-0.5219343,-0.5670005,0.0450662
56,-0.7580062,-0.48128536,"('impractical', 'practical')",-0.19102849,-0.20666003,-0.2771377,-0.47363585,-0.4087241,-0.3871938,-0.0215303
87,0.7505809,0.53233266,"('unsuccessful', 'successful')",0.21092325,0.21886745,0.8286458,0.9085059,0.5967166,0.5532353,0.0434813
16,-0.71923745,-0.87310314,"('unpopular', 'popular')",0.45827362,0.43586355,0.45859894,0.41378847,0.0658784,-0.007817,0.0736954
74,0.70594394,1.08896,"('undedicated', 'dedicated')",0.09972516,0.03411886,0.1144416,0.049444426,0.3067036,0.3908411,-0.0841375
20,0.68129635,0.44103944,"('rough', 'thoughtful')",1.3415743,1.1827526,1.0955698,1.2022256,1.0394801,0.9420059,0.0974742
70,-0.65326864,-0.259627,"('lethargic', 'energetic')",-2.1072779,-2.0547476,0.5032745,0.40046898,-0.752424,-0.6379686,-0.1144554
84,0.64637077,0.65090275,"('inferior', 'superior')",0.9820354,0.9673824,0.91293204,0.9956678,0.8471127,0.8713177,-0.024205
41,-0.6435978,-0.0673828,"('unforgiving', 'forgiving')",-0.3233267,-0.37747237,0.15217465,0.0064210854,-0.2715833,-0.1461447,-0.1254386
23,-0.64122015,-0.45875984,"('insincere', 'sincere')",-0.2417207,-0.39840943,6.3522696,5.834644,1.8231096,1.6591582,0.1639514
66,0.6356031,0.34505713,"('inactive', 'active')",-0.29974478,-0.32636157,0.57059205,0.78452265,0.3021501,0.2677394,0.0344107
