,vornado_male,vornado_female,tuple,realty_male,realty_female,trust_male,trust_female,average_male,average_female,male-female
86,-1.9613866,-1.6489694,"('uninfluential', 'influential')",-2.4817073,-2.580964,0.24233782,0.35274255,-1.400252,-1.292397,-0.107855
1,-1.9296628,-1.3711284,"('unfriendly', 'friendly')",0.23531082,0.052293535,1.3623357,1.5129608,-0.1106721,0.0647086,-0.1753807
8,-1.6755288,-1.2467515,"('unaffectionate', 'affectionate')",0.30364996,0.105674095,0.75303954,0.9712416,-0.2062798,-0.0566119,-0.1496679
88,-1.6162702,-1.4511895,"('low', 'eminent')",-1.1241362,-1.0708193,0.01746538,0.079015665,-0.9076471,-0.8143311,-0.093316
6,-1.5826702,-1.2332202,"('distant', 'open')",1.0609658,0.9881414,-0.388008,-0.26347852,-0.3032375,-0.1695191,-0.1337184
9,-1.5653133,-1.0674026,"('unaffectionate', 'caring')",0.5145986,0.18039623,1.8660711,2.0812128,0.2717855,0.3980688,-0.1262833
85,-1.4311113,-1.1229991,"('insignificant', 'prestigious')",1.9744568,2.0863826,-1.2239803,-0.89107144,-0.2268783,0.024104,-0.2509823
5,-1.4223877,-1.0465536,"('distant', 'outgoing')",0.98945683,0.8911812,-0.76864004,-0.74050486,-0.4005237,-0.2986258,-0.1018979
36,-1.3638974,-1.3404907,"('hostile', 'amicable')",1.379022,1.44976,-1.0073057,-0.6977337,-0.3307271,-0.1961548,-0.1345723
53,-1.3578148,-0.79015434,"('uncreative', 'creative')",0.1755824,0.31047937,-0.2548984,-0.042585902,-0.4790436,-0.1740869,-0.3049567
26,-1.3375945,-1.1146969,"('hardhearted', 'benevolent')",1.3016963,1.2880847,1.1991125,1.4683774,0.3877381,0.5472551,-0.159517
83,-1.320342,-1.2913966,"('powerless', 'powerful')",0.21019414,0.35507593,-0.17436692,-0.0957609,-0.4281716,-0.3440272,-0.0841444
28,-1.301444,-1.0732328,"('disloyal', 'loyal')",-0.77171844,-0.7213503,1.2562952,1.4164165,-0.2722891,-0.1260555,-0.1462336
19,-1.2970101,-1.0201658,"('inhospitable', 'hospitable')",-0.32973647,-0.24576363,-1.1321633,-0.93990284,-0.9196366,-0.7352774,-0.1843592
58,-1.2853918,-1.3908314,"('undiscriminating', 'discriminating')",-0.69469607,-0.9101842,-0.47681746,-0.54028136,-0.8189685,-0.947099,0.1281305
0,-1.2037575,-0.89547294,"('unsociable', 'sociable')",-0.8827204,-0.63777685,0.631422,0.62971604,-0.4850187,-0.3011779,-0.1838408
79,-1.1368297,-0.91959053,"('wavering', 'unwavering')",0.89909184,1.0296981,-0.47723293,-0.28166825,-0.2383236,-0.0571869,-0.1811367
57,-1.1008375,-0.7402495,"('unimaginative', 'imaginative')",-0.7028437,-0.53566104,-2.8154573,-2.8163612,-1.5397129,-1.3640906,-0.1756223
44,1.0040858,0.9632295,"('prejudiced', 'unprejudiced')",0.35576877,0.42821896,-1.0704031,-1.0695927,0.0964838,0.1072853,-0.0108015
10,-0.9841881,-0.66138744,"('unsympathetic', 'sympathetic')",-2.2946322,-2.1693108,0.93754077,1.0323538,-0.7804265,-0.5994482,-0.1809783
31,-0.97869706,-1.0777507,"('evil', 'good')",0.5342166,0.40716997,-1.9355694,-1.9241865,-0.79335,-0.8649224,0.0715724
61,-0.9239429,-0.68886274,"('illogical', 'logical')",-0.7940174,-0.76484436,0.65947014,0.63451445,-0.3528301,-0.2730642,-0.0797659
74,-0.8831613,-0.8358233,"('undedicated', 'dedicated')",-1.5702603,-1.6157948,-0.27518854,-0.19502938,-0.9095367,-0.8822158,-0.0273209
76,0.8777597,0.82844365,"('anxious', 'daring')",-0.32220098,-0.18639486,0.5715284,0.4635721,0.3756957,0.3685403,0.0071554
77,-0.8476779,-0.6235884,"('unmotivated', 'motivated')",-0.46056944,-0.23032445,-0.25629845,-0.37434614,-0.5215153,-0.4094197,-0.1120956
71,-0.8109344,-0.5777579,"('diffident', 'self-confident')",1.6132793,1.5809437,0.7751107,0.88331926,0.5258185,0.628835,-0.1030165
52,-0.79373074,-0.64798874,"('irrational', 'rational')",0.9696327,0.85643005,-0.6486676,-0.48048702,-0.1575885,-0.0906819,-0.0669066
66,-0.77496564,-0.6799624,"('inactive', 'active')",0.82055986,0.83859545,0.3987131,0.6101715,0.1481024,0.2562682,-0.1081658
45,-0.7412863,-0.81920785,"('incompetent', 'competent')",-1.6640873,-1.8392842,0.6331177,0.6218354,-0.590752,-0.6788855,0.0881335
72,-0.69873405,-0.82688737,"('unambitious', 'ambitious')",0.2018178,0.025230758,0.98901755,0.7673219,0.1640338,-0.0114449,0.1754787
12,-0.65002036,-0.34434384,"('unsupportive', 'supportive')",0.5780483,0.48946452,-1.2412165,-1.2308569,-0.4377295,-0.3619121,-0.0758174
43,-0.63767993,-0.29153284,"('irresponsible', 'responsible')",-1.2246509,-1.2656795,1.5611712,1.6723466,-0.1003865,0.0383781,-0.1387646
2,0.6143458,0.7554664,"('unlikable', 'likable')",0.9851502,0.84434134,1.0839666,1.2186033,0.8944875,0.9394703,-0.0449828
63,-0.5910173,-0.48333433,"('unperceptive', 'insightful')",-0.26284716,-0.3507125,1.5659361,1.3643956,0.2373572,0.1767829,0.0605743
78,-0.57869136,-0.474347,"('nonresilient', 'resilient')",0.8322153,1.106951,0.58289504,0.5713579,0.2788063,0.4013206,-0.1225143
22,0.5606471,0.46578926,"('untrustworthy', 'trustworthy')",-1.2004323,-1.2826527,-0.047013626,-0.08290547,-0.228933,-0.299923,0.07099
54,-0.54770803,-0.41294295,"('incapable', 'capable')",0.97098804,0.892153,1.2774154,1.2734461,0.5668985,0.5842187,-0.0173202
20,-0.5431763,-0.8470663,"('rough', 'thoughtful')",-0.54610646,-0.37979457,0.37782335,0.29854473,-0.2371531,-0.3094387,0.0722856
42,0.49973825,0.65126127,"('unreliable', 'reliable')",0.16112226,0.21628305,-2.61846,-2.6017072,-0.6525331,-0.5780543,-0.0744788
38,-0.48900723,-0.35977408,"('untruthful', 'truthful')",0.4200492,0.11561586,1.1161047,1.1562598,0.3490489,0.3040339,0.045015
27,-0.47935474,-0.43558702,"('hardhearted', 'softhearted')",-0.45774114,-0.5417362,1.0897336,1.0363566,0.0508792,0.0196778,0.0312014
46,-0.45573452,-0.17184654,"('uncompetitive', 'competitive')",-1.6960021,-1.4985069,0.18823108,0.026773691,-0.6545019,-0.5478599,-0.106642
34,-0.4518484,-0.207919,"('mean', 'honorable')",0.15282853,0.14376669,5.965684,5.9727015,1.888888,1.9695164,-0.0806284
87,-0.4467178,-0.51641935,"('unsuccessful', 'successful')",0.6362184,0.6068191,0.7466672,0.71314216,0.3120559,0.2678473,0.0442086
33,0.44137686,0.4366473,"('wrong', 'right')",1.4630804,1.2453046,-0.59138805,-0.64118314,0.4376898,0.3469229,0.0907669
64,0.43718883,0.40792757,"('shy', 'confident')",-0.44870418,-0.23052531,-5.559709,-5.485512,-1.8570747,-1.7693698,-0.0877049
81,0.4309488,0.61536604,"('submissive', 'aggressive')",-1.5096918,-1.3706148,0.7549642,0.5007051,-0.1079263,-0.0848479,-0.0230784
25,-0.4272672,-0.0902172,"('egoistic', 'altruistic')",0.7164296,0.655784,0.0866788,0.34121943,0.1252804,0.3022621,-0.1769817
30,0.42298806,0.666909,"('intolerant', 'tolerant')",-0.5914003,-0.39281806,1.3684006,1.4719234,0.3999961,0.5820047,-0.1820086
65,0.41544783,0.49934816,"('insecure', 'secure')",-1.9845264,-1.895488,1.2084248,1.0592499,-0.1202179,-0.1122967,-0.0079212
62,0.3989192,0.48673338,"('incompetent', 'brilliant')",-0.6605203,-0.8470749,1.5315331,1.2588813,0.4233107,0.2995133,0.1237974
67,0.39771608,0.28559613,"('doubtful', 'determined')",0.8922526,0.7390522,0.1260986,0.0977559,0.4720225,0.3741347,0.0978878
73,0.38847604,0.4686821,"('helpless', 'self-reliant')",1.2437646,1.2236645,-4.1946344,-4.186258,-0.8541312,-0.8313038,-0.0228274
16,-0.3879028,-0.413154,"('unpopular', 'popular')",0.74656737,0.79299754,0.3368568,0.3721136,0.2318405,0.2506524,-0.0188119
13,0.3812095,0.7557541,"('impolite', 'polite')",-0.89970756,-0.7807084,1.0444136,1.0151966,0.1753052,0.3300808,-0.1547756
15,-0.36904186,-0.18803394,"('boring', 'funny')",1.0609125,1.08662,-0.11733283,-0.094498836,0.1915126,0.2680291,-0.0765165
32,-0.3684487,-0.05383339,"('unkind', 'kind')",-0.5228258,-0.48698735,1.7479749,1.895606,0.2855668,0.4515951,-0.1660283
48,-0.36402285,-0.4018762,"('unintelligent', 'intelligent')",-0.9977437,-0.9709967,0.79309386,0.6938561,-0.1895576,-0.2263389,0.0367813
23,-0.35107517,-0.07328616,"('insincere', 'sincere')",-0.42114747,-0.47837257,7.703434,7.642638,2.3104038,2.3636599,-0.0532561
29,0.31024617,0.037027594,"('unfair', 'fair')",-0.4700192,-0.42461288,-0.67084616,-0.72841823,-0.2768731,-0.3720012,0.0951281
49,-0.29075295,-0.38713366,"('unable', 'able')",-1.1876057,-1.0824802,0.14096856,0.06143494,-0.4457967,-0.4693929,0.0235962
4,-0.260674,-0.28498426,"('disliked', 'liked')",1.123504,1.1583762,-7.484637,-7.4648676,-2.2072689,-2.1971585,-0.0101104
11,-0.25745374,0.1143233,"('unhelpful', 'helpful')",-0.6817652,-0.69925606,2.9421854,2.9710708,0.6676555,0.7953793,-0.1277238
41,-0.25455782,0.020964256,"('unforgiving', 'forgiving')",-0.30119765,-0.49008784,0.52369964,0.60583174,-0.0106853,0.0455694,-0.0562547
