,truist_male,truist_female,tuple,financial_male,financial_female,corp_male,corp_female,average_male,average_female,male-female
1,-1.8163236,-1.8526001,"('unfriendly', 'friendly')",1.2878808,1.2353661,0.58721,0.72569823,0.019589,0.0361547,-0.0165657
86,-1.7137191,-2.0415442,"('uninfluential', 'influential')",-0.24337924,-0.4199313,-0.3683449,0.053044934,-0.7751478,-0.8028101,0.0276623
6,-1.6936485,-1.0325592,"('distant', 'open')",-0.23530984,0.020964898,-1.650759,-1.3744489,-1.1932391,-0.7953477,-0.3978914
9,-1.5753235,-1.5395982,"('unaffectionate', 'caring')",1.4017223,1.3412441,0.7532522,0.8303999,0.193217,0.2106819,-0.0174649
73,1.3283914,1.2076612,"('helpless', 'self-reliant')",1.0381522,1.0431331,-3.452302,-3.447543,-0.3619194,-0.3989162,0.0369968
53,-1.3135675,-1.6519439,"('uncreative', 'creative')",1.3239272,1.0740339,0.46018627,0.39591885,0.1568486,-0.0606637,0.2175123
8,-1.27333,-1.340897,"('unaffectionate', 'affectionate')",0.33301002,0.3294206,-0.061814442,-0.0034940876,-0.3340448,-0.3383235,0.0042787
78,-1.2553153,-1.3002996,"('nonresilient', 'resilient')",0.42723113,0.37098524,0.13043398,0.2670758,-0.2325501,-0.2207462,-0.0118039
19,-1.237318,-0.99781364,"('inhospitable', 'hospitable')",-0.5254227,-0.4458133,-1.0231642,-0.7379769,-0.928635,-0.7272013,-0.2014337
28,-1.2198291,-1.5217158,"('disloyal', 'loyal')",0.41061828,0.22817782,1.4860538,1.3309656,0.2256143,0.0124759,0.2131384
79,-1.0874622,-0.8645477,"('wavering', 'unwavering')",-0.5315889,-0.45978692,-0.7417294,-0.5990779,-0.7869268,-0.6411375,-0.1457893
10,-1.0542036,-1.3892299,"('unsympathetic', 'sympathetic')",-1.0628594,-1.3597674,0.21498394,0.42894536,-0.6340264,-0.7733506,0.1393242
67,1.0535679,1.0032052,"('doubtful', 'determined')",0.3407044,0.279057,-0.5335778,-0.5989457,0.2868982,0.2277722,0.059126
30,1.0523727,0.44842887,"('intolerant', 'tolerant')",0.85070246,0.42977414,0.7135813,0.24686429,0.8722188,0.3750225,0.4971963
44,1.030409,1.1322727,"('prejudiced', 'unprejudiced')",-0.37504968,-0.2594546,-0.97997487,-1.3168949,-0.1082052,-0.1480256,0.0398204
18,-0.9989713,-1.2181413,"('disagreeable', 'welcoming')",-0.281134,-0.21764348,-0.9914539,-1.0547215,-0.7571864,-0.8301687,0.0729823
26,-0.95421237,-0.9034604,"('hardhearted', 'benevolent')",1.8471274,1.9177864,1.1779032,1.412848,0.6902727,0.809058,-0.1187853
39,0.9424619,0.5389585,"('exploitative', 'cooperative')",1.1363788,0.9392295,0.26490426,-0.1168219,0.7812483,0.4537887,0.3274596
31,-0.93669945,-0.500191,"('evil', 'good')",-0.7925795,-0.39361548,-2.5438206,-2.054877,-1.4243665,-0.9828945,-0.441472
42,0.908495,0.9017232,"('unreliable', 'reliable')",0.7245081,0.8699228,-2.292065,-2.1880183,-0.2196873,-0.1387908,-0.0808965
25,-0.8882411,-1.1688389,"('egoistic', 'altruistic')",-0.014440369,0.04284312,0.6161825,0.3791778,-0.0954997,-0.2489393,0.1534396
5,-0.8876104,-0.40997145,"('distant', 'outgoing')",0.78015864,0.8677529,-1.4519781,-1.1547257,-0.51981,-0.2323147,-0.2874953
66,-0.8622216,-0.37537855,"('inactive', 'active')",0.847777,1.0628645,0.4198378,0.6841096,0.1351311,0.4571985,-0.3220674
27,-0.8597594,-0.7415397,"('hardhearted', 'softhearted')",-0.69602257,-0.5653233,0.30584556,0.62832433,-0.4166454,-0.2261796,-0.1904658
48,-0.8416546,-1.2357771,"('unintelligent', 'intelligent')",-0.7776179,-0.8573539,0.7486622,0.7774712,-0.2902034,-0.4385533,0.1483499
32,-0.80973554,-1.1564481,"('unkind', 'kind')",0.04702436,-0.07452975,1.0723257,0.78296185,0.1032048,-0.1493387,0.2525435
88,-0.8035281,-1.281508,"('low', 'eminent')",-0.5838657,-0.77278095,0.07382238,-0.16539393,-0.4378571,-0.7398942,0.3020371
57,-0.7743307,-1.130918,"('unimaginative', 'imaginative')",-0.4691902,-0.5606314,-2.9007397,-2.826526,-1.3814201,-1.5060252,0.1246051
12,-0.75201935,-0.8193983,"('unsupportive', 'supportive')",0.9323675,0.81718063,-2.2778938,-1.9141275,-0.6991819,-0.6387817,-0.0604002
81,0.72820956,0.25831115,"('submissive', 'aggressive')",0.38617215,0.2116118,0.03301706,-0.0016276985,0.3824662,0.1560984,0.2263678
40,-0.70260966,-0.65298665,"('stingy', 'generous')",1.0228287,1.0755596,-2.7197213,-2.2899404,-0.7998341,-0.6224558,-0.1773783
84,0.67359763,0.9934381,"('inferior', 'superior')",0.5749287,0.8359336,0.72648,1.2454996,0.6583354,1.0249571,-0.3666217
2,0.66104794,0.49886543,"('unlikable', 'likable')",2.2086284,2.2301226,0.9040369,0.55328095,1.2579044,1.0940897,0.1638147
54,-0.6355919,-0.61710936,"('incapable', 'capable')",0.8190777,0.9236769,0.6874451,0.58849895,0.2903103,0.2983555,-0.0080452
24,-0.6354033,-0.5152802,"('dishonest', 'honest')",0.49953353,0.5723867,0.56559813,0.8615661,0.1432428,0.3062242,-0.1629814
62,0.6240848,0.057378724,"('incompetent', 'brilliant')",0.47492144,0.2919718,0.8244046,0.64498484,0.6411369,0.3314451,0.3096918
21,0.5757917,-0.020481031,"('immoral', 'moral')",0.6478306,0.24386239,-0.020868044,-0.4018384,0.4009181,-0.0594857,0.4604038
72,-0.56955045,-0.90005285,"('unambitious', 'ambitious')",-0.12297882,-0.009247653,-0.45077518,-0.43621004,-0.3811015,-0.4485035,0.067402
