,sherwin_male,sherwin_female,tuple,williams_male,williams_female,co_male,co_female,average_male,average_female,male-female
81,-3.0935895,-2.9137716,"('submissive', 'aggressive')",-1.2822943,-0.90260917,-1.5073996,-1.2576659,-1.9610945,-1.6913489,-0.2697456
60,-2.7813513,-2.4197598,"('inefficient', 'efficient')",-1.9489446,-1.6700689,-0.48511988,0.032811545,-1.738472,-1.3523389,-0.3861331
85,2.6153038,2.3031847,"('insignificant', 'prestigious')",3.1354227,2.7654572,0.064537965,-0.42744333,1.9384216,1.5470661,0.3913555
0,-2.6002214,-2.4997783,"('unsociable', 'sociable')",-0.87793183,-0.9251576,-0.45564643,-0.39828527,-1.3112666,-1.2744071,-0.0368595
10,-2.5721953,-2.2731528,"('unsympathetic', 'sympathetic')",-1.023752,-0.66558135,-0.1847237,0.05441246,-1.2602236,-0.9614406,-0.298783
46,-2.5420072,-2.3752685,"('uncompetitive', 'competitive')",-1.3350811,-1.0386117,-1.4759061,-1.1218536,-1.7843315,-1.5119112,-0.2724203
69,2.491533,2.4817693,"('lazy', 'industrious')",2.4267836,2.417048,-0.58317703,-0.7128513,1.4450466,1.3953218,0.0497248
14,-2.4163253,-2.2161117,"('antisocial', 'social')",-0.75199896,-0.5404478,-0.95988286,-0.77278274,-1.3760691,-1.1764474,-0.1996217
28,-2.3998961,-2.347579,"('disloyal', 'loyal')",-1.2889649,-1.223221,0.5339312,0.56177396,-1.0516432,-1.0030086,-0.0486346
55,-2.263863,-2.1607995,"('incompetent', 'clever')",-1.1931144,-1.2388382,-0.25187707,0.033103045,-1.2362848,-1.1221782,-0.1141066
48,-2.190651,-2.2827013,"('unintelligent', 'intelligent')",-1.2364011,-1.3307565,-0.32151422,-0.28901953,-1.2495221,-1.3008258,0.0513037
65,-2.1859396,-1.8816922,"('insecure', 'secure')",-1.8748758,-1.7188398,-0.2842397,0.0110984,-1.4483517,-1.1964779,-0.2518738
33,2.1666758,1.9820276,"('wrong', 'right')",1.7691429,1.7789271,-0.058451273,-0.12569429,1.2924558,1.2117535,0.0807023
35,2.151563,1.9693787,"('corrupt', 'incorrupt')",1.2405741,1.0267972,-0.4009188,-0.7622998,0.9970728,0.7446253,0.2524475
77,-1.9900854,-2.0689597,"('unmotivated', 'motivated')",-0.64530325,-0.3707172,-1.0317703,-0.9079567,-1.2223864,-1.1158779,-0.1065085
13,-1.9198912,-1.6323103,"('impolite', 'polite')",-1.5938123,-1.1176556,-0.71712005,-0.4215276,-1.4102745,-1.0571645,-0.35311
