,black_male,black_female,tuple,&_male,&_female,decker_male,decker_female,corp_male,corp_female,average_male,average_female,male-female
10,-1.9210896,-1.8473204,"('unsympathetic', 'sympathetic')",-2.703391,-3.1961303,-3.3519485,-3.776604,-0.8716634,-0.95499545,-2.212023,-2.4437625,0.2317395
57,-1.8252774,-2.0063055,"('unimaginative', 'imaginative')",-2.0519133,-2.2363834,-3.3346632,-3.4211164,-3.1481888,-3.7034504,-2.5900106,-2.841814,0.2518034
30,-1.8210123,-1.6569139,"('intolerant', 'tolerant')",-1.6217554,-1.8084085,-2.0743208,-2.110914,0.37188512,0.3554859,-1.2863008,-1.3051877,0.0188869
22,-1.6692685,-1.5040154,"('untrustworthy', 'trustworthy')",-0.67413574,-0.9368661,-1.6858209,-1.7526425,-1.3232923,-1.5011655,-1.3381294,-1.4236723,0.0855429
34,-1.651621,-1.4785675,"('mean', 'honorable')",-0.78266335,-0.6478317,0.31474066,0.27582213,4.5872693,5.27728,0.6169314,0.8566757,-0.2397443
20,-1.5317581,-1.3233489,"('rough', 'thoughtful')",0.056635782,-0.02135653,-0.38177335,-0.40414375,0.7320686,0.7164302,-0.2812068,-0.2581047,-0.0231021
0,-1.515161,-1.4791244,"('unsociable', 'sociable')",-1.3548957,-1.7294644,-1.4760671,-1.731092,-0.29076186,-0.45565847,-1.1592214,-1.3488349,0.1896135
82,-1.4867228,-1.0120794,"('poor', 'rich')",-0.9044254,-0.55485654,-1.8440167,-1.6999626,4.9095955,5.9461164,0.1686077,0.6698045,-0.5011968
48,-1.4663014,-1.4906384,"('unintelligent', 'intelligent')",-1.2134056,-1.4292943,-2.4021897,-2.2073205,0.41496179,0.45289072,-1.1667337,-1.1685907,0.001857
55,-1.4565243,-1.4792025,"('incompetent', 'clever')",-1.3875378,-1.7516087,-3.453987,-3.6510923,-0.30295968,-0.36394218,-1.6502521,-1.8114614,0.1612093
45,-1.4542313,-1.6074553,"('incompetent', 'competent')",-1.677817,-2.186865,-1.7194216,-2.1336923,-0.19043958,-0.39092094,-1.2604774,-1.5797335,0.3192561
69,1.4499371,1.2189386,"('lazy', 'industrious')",2.0884645,2.306888,2.5716624,2.6327295,0.30109027,0.09709917,1.6027886,1.5639138,0.0388748
6,1.4450809,1.4643512,"('distant', 'open')",1.1651516,1.5666707,2.1952806,2.4581742,-0.16461714,-0.0810368,1.160224,1.3520398,-0.1918158
41,-1.4145699,-1.5381273,"('unforgiving', 'forgiving')",-0.7735054,-0.9370186,-0.30468985,-0.34192863,0.08145908,-0.24775673,-0.6028265,-0.7662078,0.1633813
81,-1.3596644,-1.3573602,"('submissive', 'aggressive')",-1.4965391,-1.7603745,-3.1119714,-3.3080678,-0.99022627,-0.88698876,-1.7396003,-1.8281978,0.0885975
73,1.3415982,1.654431,"('helpless', 'self-reliant')",1.2484374,1.480195,0.26439428,0.5273609,-2.6753144,-2.865097,0.0447788,0.1992224,-0.1544436
