,northrop_male,northrop_female,tuple,grumman_male,grumman_female,corp_male,corp_female,average_male,average_female,male-female
10,-2.5531032,-2.6793697,"('unsympathetic', 'sympathetic')",-3.4578261,-3.4985824,-0.52642214,-0.7357133,-2.179117,-2.3045551,0.1254381
43,-2.0143065,-1.8304797,"('irresponsible', 'responsible')",-3.1729748,-3.1770968,0.06537396,-0.21835476,-1.7073026,-1.7419771,0.0346745
45,-1.9254457,-1.8897855,"('incompetent', 'competent')",-2.6250708,-2.5869098,-0.4155978,-0.70414054,-1.6553715,-1.7269452,0.0715737
69,1.748514,1.6688299,"('lazy', 'industrious')",2.882064,2.665506,-0.19951053,-0.18732575,1.4770225,1.3823366,0.0946859
70,-1.6193957,-1.6529802,"('lethargic', 'energetic')",-2.1008933,-2.0159879,-0.38158926,-0.32403663,-1.3672927,-1.3310016,-0.0362911
46,-1.6156114,-1.5929942,"('uncompetitive', 'competitive')",-2.9447281,-2.7223132,-1.1100578,-1.1929071,-1.8901324,-1.8360717,-0.0540607
33,1.5962237,1.4611071,"('wrong', 'right')",2.0740106,1.828293,-0.42271703,-0.43483382,1.0825057,0.9515221,0.1309836
57,-1.5878112,-1.6453023,"('unimaginative', 'imaginative')",-2.1563258,-2.2283964,-3.0911756,-3.2006712,-2.2784376,-2.3581233,0.0796857
63,-1.5715467,-1.4449056,"('unperceptive', 'insightful')",-2.0529957,-1.9905373,0.3847009,0.37310952,-1.0799472,-1.0207778,-0.0591694
82,-1.5687574,-1.4542783,"('poor', 'rich')",-1.7994201,-1.7338563,5.741203,5.4591346,0.7910085,0.757,0.0340085
0,-1.5549661,-1.7839686,"('unsociable', 'sociable')",-1.9838235,-2.251913,-0.44816265,-0.9607133,-1.3289841,-1.6655316,0.3365475
35,1.5184696,1.3546183,"('corrupt', 'incorrupt')",3.1145375,2.8665366,-0.3762474,-0.18079348,1.4189199,1.3467873,0.0721326
42,-1.4977149,-1.4349767,"('unreliable', 'reliable')",-0.77591425,-0.6071383,-3.5438237,-3.3024325,-1.939151,-1.7815158,-0.1576352
25,1.4167994,1.249643,"('egoistic', 'altruistic')",1.2589637,1.1594208,1.1366887,0.9077833,1.2708173,1.1056157,0.1652016
56,-1.3769189,-0.9477337,"('impractical', 'practical')",-1.4670757,-1.1379378,-0.8677288,-0.7009233,-1.2372411,-0.928865,-0.3083761
76,-1.3703755,-1.3193225,"('anxious', 'daring')",-1.7931098,-1.6005589,-0.6774649,-0.48330745,-1.2803168,-1.1343962,-0.1459206
13,-1.3507102,-1.4459487,"('impolite', 'polite')",-2.5304475,-2.5725887,-0.8774613,-1.0035608,-1.5862063,-1.6740328,0.0878265
30,-1.3334886,-1.2556568,"('intolerant', 'tolerant')",-1.732742,-1.6696329,0.56070507,0.37882125,-0.8351752,-0.8488228,0.0136476
