,convergys_male,convergys_female,tuple,corp_male,corp_female,average_male,average_female,male-female
1,-2.4171307,-2.457525,"('unfriendly', 'friendly')",1.6080236,1.534862,-0.4045535,-0.4613315,0.056778
86,-2.4039001,-2.040896,"('uninfluential', 'influential')",-0.28356412,-0.23845485,-1.3437321,-1.1396754,-0.2040567
8,-2.1163938,-2.2729084,"('unaffectionate', 'affectionate')",0.9457546,0.8621862,-0.5853196,-0.7053611,0.1200415
9,-2.0042496,-2.0796716,"('unaffectionate', 'caring')",1.7428886,1.5258694,-0.1306805,-0.2769011,0.1462206
10,-1.9541849,-1.3670354,"('unsympathetic', 'sympathetic')",-0.5077743,-0.6609665,-1.2309796,-1.0140009,-0.2169787
53,-1.7850194,-1.8037645,"('uncreative', 'creative')",0.62855387,0.56595933,-0.5782328,-0.6189026,0.0406698
28,-1.6094731,-1.716145,"('disloyal', 'loyal')",1.1170644,0.8153473,-0.2462044,-0.4503989,0.2041945
44,1.5070788,1.3858432,"('prejudiced', 'unprejudiced')",-1.7242036,-1.6472642,-0.1085624,-0.1307105,0.0221481
0,-1.3940239,-1.2241877,"('unsociable', 'sociable')",-0.31259003,-0.47124788,-0.8533069,-0.8477178,-0.0055891
54,-1.2996628,-1.3667321,"('incapable', 'capable')",1.0070502,0.87641066,-0.1463063,-0.2451607,0.0988544
57,-1.2870855,-0.96870553,"('unimaginative', 'imaginative')",-3.5103152,-3.2863011,-2.3987002,-2.1275034,-0.2711968
46,-1.2728289,-0.72693545,"('uncompetitive', 'competitive')",-1.1006322,-1.1820278,-1.1867306,-0.9544816,-0.232249
6,-1.2714317,-1.3794276,"('distant', 'open')",-0.2796513,-0.19938718,-0.7755415,-0.7894074,0.0138659
24,-1.1960597,-0.77350575,"('dishonest', 'honest')",1.0293598,0.69256604,-0.0833499,-0.0404699,-0.04288
36,-1.1862469,-1.5986228,"('hostile', 'amicable')",-0.0826602,0.012734059,-0.6344535,-0.7929444,0.1584909
43,-1.1601946,-0.7756708,"('irresponsible', 'responsible')",0.3058865,0.023995478,-0.4271541,-0.3758377,-0.0513164
69,1.1198587,0.9419538,"('lazy', 'industrious')",-0.98288804,-0.62733734,0.0684853,0.1573082,-0.0888229
31,-1.0556796,-1.0950184,"('evil', 'good')",-0.7306818,-0.43286857,-0.8931807,-0.7639435,-0.1292372
79,-1.0182598,-0.90135384,"('wavering', 'unwavering')",-0.3254692,-0.13512096,-0.6718645,-0.5182374,-0.1536271
26,-1.0147506,-0.8178623,"('hardhearted', 'benevolent')",1.3367012,1.4716185,0.1609753,0.3268781,-0.1659028
73,0.97221595,1.0754621,"('helpless', 'self-reliant')",-3.097145,-2.985526,-1.0624646,-0.955032,-0.1074326
66,-0.9587294,-0.6110834,"('inactive', 'active')",0.112395376,0.46803135,-0.423167,-0.071526,-0.351641
45,-0.9203989,-0.4282478,"('incompetent', 'competent')",-0.17372039,-0.120832354,-0.5470597,-0.2745401,-0.2725196
84,0.91443205,0.6891263,"('inferior', 'superior')",0.8683791,1.1133764,0.8914056,0.9012513,-0.0098457
80,0.90713227,1.2850343,"('dominated', 'dominating')",-0.95016456,-0.8600239,-0.0215161,0.2125052,-0.2340213
13,-0.90146375,-0.22657996,"('impolite', 'polite')",-0.77301776,-0.8881195,-0.8372408,-0.5573497,-0.2798911
38,-0.86357754,-0.7872241,"('untruthful', 'truthful')",-0.07413326,-0.12397074,-0.4688554,-0.4555974,-0.013258
32,-0.8527259,-0.6465868,"('unkind', 'kind')",0.74119145,0.63373107,-0.0557672,-0.0064279,-0.0493393
23,-0.8245931,-0.7159096,"('insincere', 'sincere')",6.6255474,5.9979553,2.9004772,2.6410229,0.2594543
19,-0.813572,-0.7516099,"('inhospitable', 'hospitable')",-0.16416848,-0.01226746,-0.4888702,-0.3819387,-0.1069315
18,-0.7980983,-0.50836873,"('disagreeable', 'welcoming')",-0.21291901,-0.2041239,-0.5055087,-0.3562463,-0.1492624
39,0.7783135,0.9512803,"('exploitative', 'cooperative')",0.21472639,0.1633535,0.49652,0.5573169,-0.0607969
85,-0.74674237,-0.9198129,"('insignificant', 'prestigious')",-0.21440148,0.05119834,-0.4805719,-0.4343073,-0.0462646
48,-0.7273612,-0.9586201,"('unintelligent', 'intelligent')",0.8146494,0.65253675,0.0436441,-0.1530417,0.1966858
63,-0.6941191,-0.20112796,"('unperceptive', 'insightful')",0.8859062,0.95188135,0.0958936,0.3753767,-0.2794831
12,-0.6933003,-0.3408963,"('unsupportive', 'supportive')",-2.0053606,-1.9984586,-1.3493304,-1.1696775,-0.1796529
20,0.67957634,0.53114396,"('rough', 'thoughtful')",0.6336086,0.6146436,0.6565925,0.5728937,0.0836988
72,-0.65003526,-0.8095952,"('unambitious', 'ambitious')",-0.21932621,-0.61222976,-0.4346807,-0.7109125,0.2762318
74,-0.646624,-0.3679465,"('undedicated', 'dedicated')",-0.35548344,-0.35781512,-0.5010538,-0.3628808,-0.138173
27,-0.6245091,-0.582293,"('hardhearted', 'softhearted')",1.5026138,1.4687859,0.4390523,0.4432465,-0.0041942
37,-0.6218064,-0.190229,"('fake', 'genuine')",0.21781927,0.29215637,-0.2019936,0.0509637,-0.2529573
88,-0.6170147,-0.4534743,"('low', 'eminent')",-0.48228222,-0.5202862,-0.5496485,-0.4868802,-0.0627683
16,-0.6098059,-0.68115336,"('unpopular', 'popular')",0.27671942,0.42136517,-0.1665432,-0.1298941,-0.0366491
81,0.5940062,0.71035695,"('submissive', 'aggressive')",-1.0715827,-1.2036954,-0.2387882,-0.2466692,0.007881
52,-0.57107365,-0.9613804,"('irrational', 'rational')",0.14297193,0.04962352,-0.2140509,-0.4558784,0.2418275
60,0.5480675,0.67274004,"('inefficient', 'efficient')",-0.03551557,-0.2906652,0.256276,0.1910374,0.0652386
5,-0.53417563,-0.619014,"('distant', 'outgoing')",-0.25871667,-0.12780036,-0.3964462,-0.3734072,-0.023039
78,-0.5183868,-0.8366687,"('nonresilient', 'resilient')",0.28456342,0.17884652,-0.1169117,-0.3289111,0.2119994
41,-0.51487064,-0.33327195,"('unforgiving', 'forgiving')",-0.155198,-0.15565303,-0.3350343,-0.2444625,-0.0905718
42,0.5002486,0.66677606,"('unreliable', 'reliable')",-3.6442494,-3.558268,-1.5720004,-1.4457459,-0.1262545
67,0.49043185,0.68905544,"('doubtful', 'determined')",-1.0553254,-0.7050258,-0.2824468,-0.0079852,-0.2744616
82,-0.48904836,-0.4130469,"('poor', 'rich')",7.026395,6.6735463,3.2686732,3.1302497,0.1384235
7,-0.4418654,-0.105242185,"('insensitive', 'sensitive')",0.72375304,0.5563945,0.1409438,0.2255762,-0.0846324
61,-0.4229704,-0.28329998,"('illogical', 'logical')",0.58093995,0.60398096,0.0789848,0.1603405,-0.0813557
55,-0.3930002,-0.35589403,"('incompetent', 'clever')",0.3738083,0.15402387,-0.0095959,-0.1009351,0.0913392
35,0.38697085,-0.16498886,"('corrupt', 'incorrupt')",-0.31711456,-0.23657668,0.0349281,-0.2007828,0.2357109
50,0.38022792,0.1226685,"('clumsy', 'skillful')",0.1565773,0.11597858,0.2684026,0.1193235,0.1490791
4,-0.33745888,-0.09237611,"('disliked', 'liked')",-7.5691843,-6.9212317,-3.9533217,-3.506804,-0.4465177
65,0.33078587,0.15506172,"('insecure', 'secure')",-0.16987357,-0.5306026,0.0804562,-0.1877704,0.2682266
21,-0.3168889,0.05222875,"('immoral', 'moral')",-0.80759275,-0.8745351,-0.5622408,-0.4111532,-0.1510876
47,-0.31413996,-0.04635848,"('stupid', 'smart')",5.785443,5.6144223,2.7356515,2.7840319,-0.0483804
