,public_male,public_female,tuple,storage_male,storage_female,average_male,average_female,male-female
14,2.5413299,2.8432987,"('antisocial', 'social')",1.1377165,1.226785,1.8395232,2.0350418,-0.1955186
35,-2.5341792,-2.0965414,"('corrupt', 'incorrupt')",-2.5899348,-2.4160478,-2.562057,-2.2562947,-0.3057623
56,2.3852758,2.2533817,"('impractical', 'practical')",1.8850808,1.845595,2.1351783,2.0494883,0.08569
31,-2.3737597,-1.9325352,"('evil', 'good')",-3.1528065,-2.7599943,-2.7632833,-2.3462648,-0.4170185
36,-2.181156,-2.1354022,"('hostile', 'amicable')",-2.5365634,-2.525855,-2.3588595,-2.3306286,-0.0282309
81,2.1130211,1.7055619,"('submissive', 'aggressive')",1.4705459,1.1811135,1.7917836,1.4433377,0.3484459
75,-1.8395354,-1.3939304,"('meek', 'impulsive')",-1.1763493,-0.9904939,-1.5079423,-1.1922121,-0.3157302
21,1.819735,1.5356544,"('immoral', 'moral')",1.2906816,1.091326,1.5552083,1.3134902,0.2417181
30,1.7970093,1.2732096,"('intolerant', 'tolerant')",1.7606249,1.7682072,1.7788172,1.5207083,0.2581089
13,1.7918751,1.2930458,"('impolite', 'polite')",0.7014082,0.51211065,1.2466416,0.9025782,0.3440634
23,1.7587583,1.3326612,"('insincere', 'sincere')",6.1689157,5.710843,3.9638371,3.5217521,0.442085
26,1.6984689,1.9662567,"('hardhearted', 'benevolent')",0.72600085,1.1760987,1.2122349,1.5711777,-0.3589428
11,1.6543055,1.2516011,"('unhelpful', 'helpful')",2.6574225,2.3879335,2.155864,1.8197672,0.3360968
60,1.6355067,1.2743869,"('inefficient', 'efficient')",2.3441832,2.0645025,1.989845,1.6694447,0.3204003
5,-1.5896441,-1.3100444,"('distant', 'outgoing')",-1.9701562,-1.8031131,-1.7799001,-1.5565788,-0.2233213
39,1.5800716,1.543009,"('exploitative', 'cooperative')",0.114059225,0.34202152,0.8470654,0.9425153,-0.0954499
19,-1.4866191,-1.6336071,"('inhospitable', 'hospitable')",-1.0045627,-0.94544667,-1.2455909,-1.2895269,0.043936
6,-1.4111534,-1.2514607,"('distant', 'open')",-1.5723815,-1.3298106,-1.4917674,-1.2906356,-0.2011318
8,-1.3129011,-1.2523166,"('unaffectionate', 'affectionate')",-0.5592844,-0.44263726,-0.9360927,-0.847477,-0.0886157
70,1.278851,1.6521641,"('lethargic', 'energetic')",1.6005356,1.8074706,1.4396933,1.7298174,-0.2901241
62,1.2717034,1.1635888,"('incompetent', 'brilliant')",1.6856291,1.7746205,1.4786663,1.4691046,0.0095617
85,-1.2675674,-1.6920186,"('insignificant', 'prestigious')",-2.3069987,-2.3575363,-1.7872831,-2.0247774,0.2374943
79,-1.216719,-1.0165637,"('wavering', 'unwavering')",-1.4062278,-1.3928787,-1.3114734,-1.2047212,-0.1067522
16,-1.1957654,-1.1719822,"('unpopular', 'popular')",-0.7379801,-1.039267,-0.9668728,-1.1056246,0.1387518
55,1.144682,1.2452676,"('incompetent', 'clever')",2.2477317,2.1656234,1.6962068,1.7054455,-0.0092387
41,1.1213632,1.2175915,"('unforgiving', 'forgiving')",0.29781133,0.28999364,0.7095872,0.7537926,-0.0442054
12,1.0922961,1.1506784,"('unsupportive', 'supportive')",-0.91719717,-1.0262702,0.0875495,0.0622041,0.0253454
43,1.0722167,1.2422562,"('irresponsible', 'responsible')",1.5022414,1.4943548,1.2872291,1.3683054,-0.0810763
50,-1.0687892,-1.1161577,"('clumsy', 'skillful')",-0.7097358,-1.0675935,-0.8892626,-1.0918756,0.202613
1,-1.0503938,-1.2434944,"('unfriendly', 'friendly')",-0.13820028,-0.45137638,-0.5942971,-0.8474354,0.2531383
66,-1.0256139,-0.3727826,"('inactive', 'active')",-1.1354903,-0.9816815,-1.0805521,-0.677232,-0.4033201
0,0.99563074,1.0092733,"('unsociable', 'sociable')",0.6467133,0.42135903,0.821172,0.7153162,0.1058558
22,0.9876597,1.3806785,"('untrustworthy', 'trustworthy')",0.654528,0.9900494,0.8210939,1.185364,-0.3642701
54,-0.98247635,-0.81854725,"('incapable', 'capable')",0.6419285,0.8180381,-0.1702739,-0.0002546,-0.1700193
