,aon_male,aon_female,tuple,plc_male,plc_female,average_male,average_female,male-female
18,-1.3192236,-1.2267077,"('disagreeable', 'welcoming')",-0.9914056,-0.9680338,-1.1553147,-1.0973707,-0.057944
10,-1.3042091,-1.0701857,"('unsympathetic', 'sympathetic')",0.2159758,0.28847098,-0.5441167,-0.3908573,-0.1532594
53,-1.2434689,-1.4587066,"('uncreative', 'creative')",1.3203844,0.8314201,0.0384578,-0.3136432,0.352101
25,-1.1432296,-1.1621542,"('egoistic', 'altruistic')",0.5730289,0.4306164,-0.2851003,-0.3657689,0.0806686
88,-1.1207908,-0.9958771,"('low', 'eminent')",0.080683656,0.3174652,-0.5200536,-0.339206,-0.1808476
0,-1.112189,-1.0614643,"('unsociable', 'sociable')",0.03745418,-0.17064574,-0.5373675,-0.616055,0.0786875
9,-1.0897071,-1.3473514,"('unaffectionate', 'caring')",1.018576,0.873326,-0.0355656,-0.2370127,0.2014471
86,-1.0670875,-0.90545225,"('uninfluential', 'influential')",0.994248,0.8458666,-0.0364198,-0.0297928,-0.006627
8,-1.0417998,-1.405326,"('unaffectionate', 'affectionate')",0.4165413,0.23810187,-0.3126292,-0.5836121,0.2709829
1,-1.0231522,-1.3032169,"('unfriendly', 'friendly')",1.724596,1.3652431,0.3507219,0.0310131,0.3197088
77,-0.906056,-0.7037682,"('unmotivated', 'motivated')",-0.6419979,-0.7565238,-0.7740269,-0.730146,-0.0438809
21,-0.8982326,-0.61289805,"('immoral', 'moral')",-0.7913726,-0.6517653,-0.8448026,-0.6323317,-0.2124709
73,0.8498422,0.8931562,"('helpless', 'self-reliant')",-2.1591067,-2.4814851,-0.6546323,-0.7941645,0.1395322
5,-0.83144546,-0.7799697,"('distant', 'outgoing')",-0.17794873,-0.23625699,-0.5046971,-0.5081133,0.0034162
69,0.8306608,0.90702647,"('lazy', 'industrious')",-0.4236299,-0.5025352,0.2035155,0.2022456,0.0012699
19,-0.7307419,-0.7582582,"('inhospitable', 'hospitable')",-0.7227421,-0.68077403,-0.726742,-0.7195162,-0.0072258
2,0.7302666,0.74965286,"('unlikable', 'likable')",0.54666287,0.62422764,0.6384647,0.6869403,-0.0484756
31,-0.7298712,-0.63880193,"('evil', 'good')",-0.9373835,-1.1079314,-0.8336273,-0.8733667,0.0397394
56,0.7194496,1.0016782,"('impractical', 'practical')",1.4792233,1.5178968,1.0993364,1.2597876,-0.1604512
