,zimmer_male,zimmer_female,tuple,biomet_male,biomet_female,holdings_male,holdings_female,inc_male,inc_female,average_male,average_female,male-female
57,-2.327503,-2.101032,"('unimaginative', 'imaginative')",-1.2889148,-1.4279666,-0.6184971,-0.48070264,-2.090075,-2.344167,-1.5812474,-1.5884671,0.0072197
1,-1.86034,-1.9008666,"('unfriendly', 'friendly')",-0.31499416,-0.31784698,0.02336099,-0.12767304,1.8530047,1.8009094,-0.0747421,-0.1363693,0.0616272
10,-1.8070619,-1.6810138,"('unsympathetic', 'sympathetic')",-1.5701045,-1.7471213,-0.34648147,-0.25067425,-0.12649986,0.017688744,-0.9625369,-0.9152802,-0.0472567
73,1.7869408,1.7148509,"('helpless', 'self-reliant')",0.743261,0.7137533,-0.32111803,-0.50107366,-3.3190618,-3.6087708,-0.2774945,-0.4203101,0.1428156
48,-1.7690116,-1.8711965,"('unintelligent', 'intelligent')",-0.024779003,-0.07062642,-0.5409817,-0.4756353,0.1345268,0.30139467,-0.5500614,-0.5290158,-0.0210456
69,1.7160624,1.6303369,"('lazy', 'industrious')",1.8552339,2.0010052,0.75952417,0.6485839,-0.118407264,-0.43273783,1.0531033,0.961797,0.0913063
28,-1.6591845,-1.6991001,"('disloyal', 'loyal')",-0.027068635,-0.0015368713,-0.2557706,-0.30986702,1.2633197,1.3525723,-0.169676,-0.1644829,-0.0051931
86,-1.6401685,-1.4472498,"('uninfluential', 'influential')",-0.63185006,-0.75269556,-0.28164384,-0.03521538,-0.27328646,-0.119047455,-0.7067373,-0.5885521,-0.1181852
11,-1.6371859,-1.6774901,"('unhelpful', 'helpful')",-0.86140645,-1.0078762,-0.8909004,-0.9760675,1.6087375,1.7786647,-0.4451888,-0.4706922,0.0255034
0,-1.6120127,-1.6141135,"('unsociable', 'sociable')",-0.41708153,-0.48947152,0.21416348,0.31849852,-0.37263826,-0.30450118,-0.5468922,-0.5223969,-0.0244953
41,-1.5330739,-1.5504296,"('unforgiving', 'forgiving')",0.06231449,-0.06423245,0.35832423,0.067953564,0.4821927,0.40651214,-0.1575606,-0.2850491,0.1274885
