,twenty_male,twenty_female,tuple,first_male,first_female,century_male,century_female,fox_male,fox_female,inc_male,inc_female,average_male,average_female,male-female
85,-2.8333385,-3.1217005,"('insignificant', 'prestigious')",1.7891355,1.1938697,1.8950695,1.5302219,0.46640664,0.3129688,0.6715528,0.32208425,0.3977652,0.0474888,0.3502764
79,-2.3156757,-2.5051167,"('wavering', 'unwavering')",2.2044816,1.787045,0.55993235,0.253219,-0.5630882,-0.6563926,0.001769321,-0.10905026,-0.0225161,-0.2460591,0.223543
80,2.0549905,2.1462255,"('dominated', 'dominating')",-0.64404035,-0.24844319,-0.8078438,-0.69628805,-0.17898396,-0.24253854,-1.579594,-1.5140014,-0.2310943,-0.1110091,-0.1200852
4,-1.9336673,-1.7782003,"('disliked', 'liked')",0.98910445,0.89014554,-0.10735789,0.036314584,-1.6591935,-1.3489578,-6.8992505,-6.906615,-1.922073,-1.8214626,-0.1006104
31,-1.8233612,-1.9829631,"('evil', 'good')",1.9097099,1.2658677,0.6355734,0.58344245,-0.9644269,-0.8653023,-0.86572695,-1.1062813,-0.2216463,-0.4210473,0.199401
16,-1.7970808,-1.7663873,"('unpopular', 'popular')",0.122042924,-0.21107684,-0.44813147,-0.76980335,-0.872424,-0.81514895,0.44581017,0.14184886,-0.5099567,-0.6841136,0.1741569
37,1.7075001,1.8033917,"('fake', 'genuine')",0.6799108,0.8776448,0.783876,1.0756255,0.0011334196,0.16698956,0.6126682,0.8332706,0.7570177,0.9513844,-0.1943667
50,-1.6778035,-1.460714,"('clumsy', 'skillful')",1.2533655,1.1907921,-0.33395994,-0.34597307,-0.8203858,-0.8049426,0.3932373,0.47294095,-0.2371093,-0.1895793,-0.04753
8,-1.6251583,-1.7903643,"('unaffectionate', 'affectionate')",-0.57648796,-0.96757984,0.5220466,0.41060248,0.6177838,0.5222285,0.7708446,0.8177478,-0.0581943,-0.201473,0.1432787
55,1.540961,1.4668392,"('incompetent', 'clever')",-3.0059335,-2.7300413,-1.5448271,-1.4069417,0.5705214,0.562137,-0.07858381,0.014506109,-0.5035724,-0.4187001,-0.0848723
46,1.5051872,1.6442255,"('uncompetitive', 'competitive')",-1.8841404,-1.2868562,-2.735991,-2.8108459,0.20101571,0.2089284,-0.7874622,-0.726422,-0.7402781,-0.594194,-0.1460841
18,-1.3757019,-1.6773793,"('disagreeable', 'welcoming')",0.77930576,0.6064914,-0.70639765,-0.81156045,-0.5108016,-0.4863583,-0.28775483,-0.42700464,-0.42027,-0.5591622,0.1388922
52,-1.3605092,-1.8044664,"('irrational', 'rational')",0.7470113,0.18722141,1.3154498,0.9582997,-0.1695553,-0.39713675,0.2734641,-0.124118805,0.1611722,-0.2360402,0.3972124
36,-1.3550305,-1.7703667,"('hostile', 'amicable')",1.6764205,0.9699964,1.1894732,0.9508591,-0.0019799992,-0.3113761,0.3538286,-0.04389733,0.3725423,-0.0409569,0.4134992
59,-1.3028159,-1.1737801,"('foolish', 'wise')",1.2161517,0.9541365,1.09153,1.0287836,0.030768286,0.124035865,0.5650134,0.508287,0.3201295,0.2882926,0.0318369
74,1.2849622,1.2501625,"('undedicated', 'dedicated')",-0.2755772,-0.053473093,-0.76714975,-0.6970206,0.25591928,0.4133099,0.015689502,-0.09140293,0.1027688,0.1643151,-0.0615463
13,1.1316652,1.1407481,"('impolite', 'polite')",-2.5042129,-2.1560502,-2.1790242,-2.0468411,-0.39639288,-0.5102768,-0.38898006,-0.24338862,-0.8673889,-0.7631618,-0.1042271
20,1.1146214,1.102706,"('rough', 'thoughtful')",-0.123607785,0.023383483,0.23504995,0.4188933,0.27961677,0.2218975,1.6776035,1.5655668,0.6366568,0.6664894,-0.0298326
7,1.1074324,0.90059984,"('insensitive', 'sensitive')",-1.6738424,-1.307993,-0.9338524,-0.82695484,0.37930608,0.3781053,0.7621031,0.79305494,-0.0717707,-0.0126376,-0.0591331
6,-1.0833716,-1.2475871,"('distant', 'open')",2.1806824,1.9000292,0.98502284,0.67874676,-0.11387004,-0.18186858,0.79833996,0.6448917,0.5533607,0.3588424,0.1945183
28,-1.0385298,-1.3069558,"('disloyal', 'loyal')",-1.5304798,-1.4085208,-0.98926854,-1.1821638,0.44820875,0.09990075,0.6298664,0.5637961,-0.4960406,-0.6467887,0.1507481
38,-0.9544727,-0.79527307,"('untruthful', 'truthful')",-1.2473364,-1.2706206,-0.7118741,-0.6841782,-0.062629715,0.10393467,-0.34516937,-0.17583403,-0.6642965,-0.5643942,-0.0999023
68,0.9334851,0.8881107,"('dependent', 'independent')",0.73108935,0.6804721,-0.8464223,-0.99934953,-1.264638,-1.343182,-0.25751823,-0.26726535,-0.1408008,-0.2082428,0.067442
41,-0.9255321,-1.0226065,"('unforgiving', 'forgiving')",-1.474674,-1.5286593,-1.6337757,-1.371606,0.1661665,0.32943103,-0.3149555,-0.4112976,-0.8365541,-0.8009477,-0.0356064
