,sprint_male,sprint_female,tuple,corp_male,corp_female,average_male,average_female,male-female
71,1.9196784,1.859484,"('diffident', 'self-confident')",0.46712297,0.6407781,1.1934007,1.250131,-0.0567303
9,1.8334482,1.617723,"('unaffectionate', 'caring')",1.2058686,1.1191101,1.5196583,1.3684165,0.1512418
39,1.4349153,1.8275881,"('exploitative', 'cooperative')",-0.0052808393,0.22397524,0.7148172,1.0257816,-0.3109644
33,1.4346684,1.1558783,"('wrong', 'right')",-0.56691694,-0.6858787,0.4338757,0.2349998,0.1988759
26,1.3981183,1.0390522,"('hardhearted', 'benevolent')",1.7478247,1.4078383,1.5729715,1.2234453,0.3495262
85,1.3537842,0.79446155,"('insignificant', 'prestigious')",0.08604347,-0.36374775,0.7199138,0.2153569,0.5045569
1,1.2643012,0.63277024,"('unfriendly', 'friendly')",1.5903854,1.2197199,1.4273434,0.9262451,0.5010983
64,-1.2464249,-0.9997678,"('shy', 'confident')",-6.765759,-6.5635047,-4.0060921,-3.7816362,-0.2244559
57,-1.2349468,-1.140218,"('unimaginative', 'imaginative')",-3.3633718,-3.2460072,-2.2991593,-2.1931126,-0.1060467
61,1.2177838,1.2607248,"('illogical', 'logical')",0.6212259,0.5800797,0.9195049,0.9204022,-0.0008973
75,-1.2091694,-0.91132104,"('meek', 'impulsive')",-0.937754,-0.76865846,-1.0734617,-0.8399898,-0.2334719
25,1.207462,0.6164806,"('egoistic', 'altruistic')",1.8033769,1.3013576,1.5054195,0.9589191,0.5465004
44,-1.0596826,-0.4977447,"('prejudiced', 'unprejudiced')",-1.2911018,-1.0172197,-1.1753922,-0.7574822,-0.41791
83,1.0174463,1.2992163,"('powerless', 'powerful')",-1.034893,-0.6970991,-0.0087234,0.3010586,-0.309782
48,0.9636309,0.84678864,"('unintelligent', 'intelligent')",0.9390541,0.82754064,0.9513425,0.8371646,0.1141779
27,0.9620297,0.6261152,"('hardhearted', 'softhearted')",1.4966546,1.1304232,1.2293422,0.8782692,0.351073
62,0.92547846,1.321883,"('incompetent', 'brilliant')",0.18595782,0.5126771,0.5557181,0.91728,-0.3615619
82,-0.8432087,-0.92640847,"('poor', 'rich')",6.2719035,6.426764,2.7143474,2.7501779,-0.0358305
50,-0.82474697,-1.0531244,"('clumsy', 'skillful')",0.099675715,-0.08628641,-0.3625356,-0.5697054,0.2071698
8,0.8160509,0.44521224,"('unaffectionate', 'affectionate')",0.7585728,0.6369851,0.7873119,0.5410987,0.2462132
12,0.81125057,0.56032634,"('unsupportive', 'supportive')",-1.942229,-2.0048027,-0.5654892,-0.7222382,0.156749
37,0.8085848,0.6854957,"('fake', 'genuine')",0.33611244,0.36769372,0.5723486,0.5265947,0.0457539
13,-0.73432326,-0.4373062,"('impolite', 'polite')",-0.9879094,-0.70375544,-0.8611163,-0.5705308,-0.2905855
17,-0.7314777,-0.70311844,"('nasty', 'nice')",-0.83337575,-0.76699203,-0.7824267,-0.7350552,-0.0473715
66,-0.72835314,-0.84357035,"('inactive', 'active')",0.53308785,0.3110872,-0.0976326,-0.2662416,0.168609
2,0.7215636,0.62068534,"('unlikable', 'likable')",0.4607336,0.4662345,0.5911486,0.5434599,0.0476887
