,intel_male,intel_female,tuple,corp_male,corp_female,average_male,average_female,male-female
45,-1.7447782,-1.9753968,"('incompetent', 'competent')",0.11441987,-0.13876674,-0.8151792,-1.0570817,0.2419025
48,1.714777,1.6269801,"('unintelligent', 'intelligent')",1.1536608,1.2234092,1.4342189,1.4251946,0.0090243
71,1.5405718,1.8338466,"('diffident', 'self-confident')",0.27162513,0.44262305,0.9060985,1.1382349,-0.2321364
57,-1.5093302,-1.6229111,"('unimaginative', 'imaginative')",-2.9854085,-3.5274208,-2.2473693,-2.575166,0.3277967
41,-1.4958534,-1.4486951,"('unforgiving', 'forgiving')",-0.789098,-0.78942263,-1.1424757,-1.1190588,-0.0234169
61,1.462879,1.4496257,"('illogical', 'logical')",0.63061327,0.5364839,1.0467461,0.9930548,0.0536913
60,1.3266639,1.228328,"('inefficient', 'efficient')",1.1890124,1.1299119,1.2578381,1.1791199,0.0787182
34,1.2892606,1.2059641,"('mean', 'honorable')",5.6670876,6.003468,3.4781742,3.6047161,-0.1265419
39,1.2885854,1.306625,"('exploitative', 'cooperative')",0.08199842,0.036723748,0.6852919,0.6716744,0.0136175
42,-1.2847986,-1.34011,"('unreliable', 'reliable')",-2.6425562,-2.896802,-1.9636774,-2.1184559,0.1547785
17,-1.1093583,-0.9974126,"('nasty', 'nice')",-0.9828214,-0.72092843,-1.0460899,-0.8591706,-0.1869193
31,-1.0988204,-1.2431962,"('evil', 'good')",-2.5504093,-2.348773,-1.8246149,-1.7959846,-0.0286303
4,-1.0157686,-0.9182498,"('disliked', 'liked')",-7.7845144,-8.373301,-4.4001417,-4.6457753,0.2456336
64,-0.9624889,-1.0106204,"('shy', 'confident')",-6.0939364,-6.389517,-3.5282125,-3.7000685,0.171856
29,-0.9576701,-0.8749927,"('unfair', 'fair')",-0.81733096,-0.7416557,-0.8875005,-0.8083242,-0.0791763
66,-0.95598084,-1.4538531,"('inactive', 'active')",0.21415488,0.02939418,-0.370913,-0.7122295,0.3413165
62,0.93430144,0.6718491,"('incompetent', 'brilliant')",1.386822,1.3520534,1.1605617,1.0119512,0.1486105
0,-0.9278541,-1.2069027,"('unsociable', 'sociable')",0.2486391,0.21849024,-0.3396075,-0.4942062,0.1545987
78,0.9240322,0.9403468,"('nonresilient', 'resilient')",0.9523677,0.8058359,0.9382,0.8730913,0.0651087
22,-0.912969,-1.0460849,"('untrustworthy', 'trustworthy')",-0.6236072,-0.7608653,-0.7682881,-0.903475,0.1351869
58,-0.877006,-0.8334919,"('undiscriminating', 'discriminating')",0.23223427,-0.03979026,-0.3223858,-0.4366411,0.1142553
73,0.8602007,0.7496146,"('helpless', 'self-reliant')",-3.3871439,-3.5678031,-1.2634716,-1.4090943,0.1456227
49,0.80481595,1.1386075,"('unable', 'able')",-0.014195353,0.45385557,0.3953103,0.7962315,-0.4009212
83,0.78323174,0.4373289,"('powerless', 'powerful')",-0.2603141,-0.4316849,0.2614588,0.002822,0.2586368
10,-0.7730923,-1.0215509,"('unsympathetic', 'sympathetic')",0.67131495,0.6875582,-0.0508887,-0.1669964,0.1161077
9,0.75269496,0.42884025,"('unaffectionate', 'caring')",0.2729941,0.46620125,0.5128446,0.4475207,0.0653239
46,-0.7438407,-0.8972965,"('uncompetitive', 'competitive')",0.6361987,0.30176353,-0.053821,-0.2977665,0.2439455
25,0.74152654,0.7193762,"('egoistic', 'altruistic')",0.25179845,0.24362822,0.4966625,0.4815022,0.0151603
69,0.7210846,0.78107965,"('lazy', 'industrious')",-1.7326733,-1.818394,-0.5057943,-0.5186571,0.0128628
44,-0.70577,-0.57685935,"('prejudiced', 'unprejudiced')",-1.4284697,-1.4484996,-1.0671198,-1.0126795,-0.0544403
84,0.6830046,0.8151162,"('inferior', 'superior')",1.0418879,0.9778198,0.8624462,0.896468,-0.0340218
16,-0.6323197,-0.6313691,"('unpopular', 'popular')",0.17416418,0.23303548,-0.2290778,-0.1991668,-0.029911
13,-0.62305874,-0.7591864,"('impolite', 'polite')",-0.011808373,-0.021307506,-0.3174336,-0.390247,0.0728134
43,-0.61878264,-0.7251867,"('irresponsible', 'responsible')",0.7333424,0.7986985,0.0572799,0.0367559,0.020524
75,-0.61858004,-0.4668003,"('meek', 'impulsive')",-0.6793215,-0.67589974,-0.6489508,-0.57135,-0.0776008
59,0.6026212,0.58214194,"('foolish', 'wise')",-0.98749506,-0.584677,-0.1924369,-0.0012675,-0.1911694
30,0.58545727,0.5132923,"('intolerant', 'tolerant')",0.20297435,0.37592104,0.3942158,0.4446067,-0.0503909
87,0.5197153,-0.0031214058,"('unsuccessful', 'successful')",1.4928998,1.3420105,1.0063076,0.6694446,0.336863
54,0.502828,0.38445795,"('incapable', 'capable')",0.91553664,1.2521517,0.7091823,0.8183048,-0.1091225
33,0.49993524,0.5117367,"('wrong', 'right')",-1.2467828,-1.2588689,-0.3734238,-0.3735661,0.0001423
36,-0.46589312,-0.18149756,"('hostile', 'amicable')",-1.6864146,-1.5256999,-1.0761539,-0.8535987,-0.2225552
37,-0.46445155,-0.80192935,"('fake', 'genuine')",-0.03503717,-0.03919284,-0.2497444,-0.4205611,0.1708167
24,0.4493677,0.32615906,"('dishonest', 'honest')",0.5795923,0.75574857,0.51448,0.5409538,-0.0264738
55,0.4269146,0.16744176,"('incompetent', 'clever')",1.4362233,1.133547,0.9315689,0.6504943,0.2810746
7,-0.4223602,-0.43634954,"('insensitive', 'sensitive')",0.8165066,0.7865384,0.1970732,0.1750944,0.0219788
20,0.42103773,0.62759554,"('rough', 'thoughtful')",0.908955,0.79526466,0.6649964,0.7114301,-0.0464337
40,-0.41997874,-0.14648946,"('stingy', 'generous')",-2.3807163,-2.5299568,-1.4003475,-1.3382231,-0.0621244
38,0.36450225,0.17972253,"('untruthful', 'truthful')",-0.298154,-0.1944948,0.0331741,-0.0073861,0.0405602
23,0.34759536,0.2779374,"('insincere', 'sincere')",6.5400863,7.0787897,3.4438407,3.6783636,-0.2345229
50,0.32670802,0.050780043,"('clumsy', 'skillful')",0.426796,0.3286229,0.376752,0.1897015,0.1870505
86,0.3216618,-0.33916843,"('uninfluential', 'influential')",0.28922716,-0.17418852,0.3054445,-0.2566785,0.562123
18,-0.3160875,-0.35944182,"('disagreeable', 'welcoming')",-1.1431333,-0.93431276,-0.7296104,-0.6468773,-0.0827331
56,0.30894476,0.12170781,"('impractical', 'practical')",0.36935863,0.22831608,0.3391517,0.1750119,0.1641398
79,-0.29583445,-0.51855177,"('wavering', 'unwavering')",-0.5149923,-0.40892938,-0.4054134,-0.4637406,0.0583272
26,0.2851892,-0.14656983,"('hardhearted', 'benevolent')",0.35180277,-0.07125906,0.318496,-0.1089144,0.4274104
82,-0.24720863,-0.18894869,"('poor', 'rich')",6.987679,7.4363666,3.3702352,3.623709,-0.2534738
51,0.24156511,-0.07475641,"('uneducated', 'educated')",1.3103138,0.9391999,0.7759395,0.4322218,0.3437177
11,0.2329497,0.047039498,"('unhelpful', 'helpful')",2.4862535,2.381367,1.3596016,1.2142032,0.1453984
21,0.21241033,0.08835384,"('immoral', 'moral')",0.44171154,0.20035665,0.3270609,0.1443552,0.1827057
70,-0.206468,-0.461757,"('lethargic', 'energetic')",1.5329798,1.2881494,0.6632559,0.4131962,0.2500597
19,-0.20041086,-0.32875395,"('inhospitable', 'hospitable')",-0.5011077,-0.38623574,-0.3507593,-0.3574948,0.0067355
12,0.19090027,-0.066455185,"('unsupportive', 'supportive')",-1.8991344,-2.0523665,-0.854117,-1.0594108,0.2052938
77,-0.18434112,-0.11415654,"('unmotivated', 'motivated')",0.102022424,-0.02849694,-0.0411593,-0.0713267,0.0301674
27,-0.18319783,-0.27019134,"('hardhearted', 'softhearted')",0.24532534,0.39745697,0.0310638,0.0636328,-0.032569
88,0.18277457,-0.0011871047,"('low', 'eminent')",-0.3921965,-0.44031417,-0.104711,-0.2207506,0.1160396
67,-0.17019454,-0.088917546,"('doubtful', 'determined')",-0.4534608,-0.41279218,-0.3118277,-0.2508548,-0.0609729
53,-0.15761976,-0.07123105,"('uncreative', 'creative')",0.24251153,0.30174518,0.0424459,0.1152571,-0.0728112
6,-0.15653291,-0.15540776,"('distant', 'open')",-2.0085044,-1.6702787,-1.0825187,-0.9128432,-0.1696755
3,-0.15016152,-0.1582904,"('repellent', 'pleasant')",1.030743,0.97352815,0.4402907,0.4076189,0.0326718
14,-0.1493043,-0.18251975,"('antisocial', 'social')",0.19999093,0.015079836,0.0253433,-0.08372,0.1090633
2,-0.13699579,-0.28932485,"('unlikable', 'likable')",-0.07909483,-0.17626321,-0.1080453,-0.232794,0.1247487
81,0.13502248,0.26769367,"('submissive', 'aggressive')",0.59315115,0.5383905,0.3640868,0.4030421,-0.0389553
