,t_male,t_female,tuple,rowe_male,rowe_female,price_male,price_female,group_male,group_female,inc_male,inc_female,average_male,average_female,male-female
21,2.2436419,2.4561067,"('immoral', 'moral')",2.957079,3.344842,1.6781888,1.5204573,0.59005165,0.546758,-0.7430718,-0.8596391,1.3451778,1.401705,-0.0565272
51,2.1674373,2.0013947,"('uneducated', 'educated')",1.8836281,2.1579378,0.6890942,0.7070523,0.39683896,0.44867945,0.95286125,1.0725286,1.217972,1.2775185,-0.0595465
46,1.9087281,1.6552496,"('uncompetitive', 'competitive')",2.1060703,2.5292935,1.0178303,1.09721,2.0986123,1.9892372,-0.17191441,-0.27620712,1.3918653,1.3989567,-0.0070914
14,1.8000209,1.9088334,"('antisocial', 'social')",2.3149383,2.587434,2.046764,1.7348744,1.697247,1.6771941,-0.41554752,-0.5566827,1.4886846,1.4703306,0.018354
80,1.7281789,1.8440874,"('dominated', 'dominating')",2.4582984,3.23981,-0.24867843,-0.034665186,1.4976753,1.5870205,-1.1176558,-0.8472493,0.8635636,1.1578007,-0.2942371
87,1.6935093,1.7633201,"('unsuccessful', 'successful')",0.722968,0.97866553,0.3897652,0.30207026,1.617821,1.6759661,0.98452413,1.087734,1.0817176,1.1615513,-0.0798337
81,1.6610653,1.7396846,"('submissive', 'aggressive')",2.428753,3.2843895,0.6733639,0.21478775,1.6058419,1.3487644,-0.9220278,-0.9491378,1.0893991,1.1276978,-0.0382987
35,-1.6356052,-1.7328354,"('corrupt', 'incorrupt')",-3.4465573,-4.182172,-1.2567577,-1.1067753,-2.365972,-2.538095,-0.34285915,-0.5179224,-1.8095503,-2.01556,0.2060097
6,-1.6274068,-1.3464822,"('distant', 'open')",-2.798068,-3.1129997,-1.6352366,-1.240691,-2.3720782,-2.3695385,0.020063143,0.13643783,-1.6825453,-1.5866546,-0.0958907
31,-1.4646374,-1.4645392,"('evil', 'good')",-3.4351096,-4.005823,-1.2046876,-0.7914251,-2.02138,-1.9665995,-1.2125332,-1.3450153,-1.8676695,-1.9146805,0.047011
5,-1.2920836,-1.041188,"('distant', 'outgoing')",-3.1615417,-3.62596,-1.5363923,-1.240563,-2.057772,-2.0045831,-0.46220148,-0.27793306,-1.7019981,-1.6380455,-0.0639526
55,1.2624828,1.4503989,"('incompetent', 'clever')",3.1414065,3.9440677,1.0312297,1.1513772,1.0401971,1.2071209,-0.20634395,-0.123290546,1.2537944,1.5259348,-0.2721404
70,1.2021459,0.9970932,"('lethargic', 'energetic')",2.6177914,3.0758426,0.33357567,0.2033008,1.1750493,1.1186099,0.8830497,1.1375897,1.2423223,1.3064873,-0.064165
13,1.1900135,1.4503578,"('impolite', 'polite')",2.8751764,3.4931202,1.3544366,1.2837545,0.6757473,0.8780173,-0.08472661,0.008052371,1.2021294,1.4226604,-0.220531
69,-1.154083,-0.9689587,"('lazy', 'industrious')",-2.6553564,-3.208307,0.44746423,0.22291905,-0.0066791624,-0.071627334,-0.6722818,-0.85418177,-0.8081872,-0.9760311,0.1678439
36,-1.1154959,-1.1288937,"('hostile', 'amicable')",-2.7138934,-3.3523107,-0.49043348,-0.22960062,-1.5744627,-1.7389624,0.06826762,-0.32639676,-1.1652035,-1.3552328,0.1900293
