,akamai_male,akamai_female,tuple,technologies_male,technologies_female,inc_male,inc_female,average_male,average_female,male-female
10,-2.2935586,-2.0908594,"('unsympathetic', 'sympathetic')",-0.3942998,-0.5066339,-0.90280086,-0.91567445,-1.1968864,-1.1710559,-0.0258305
0,-2.208119,-2.1427588,"('unsociable', 'sociable')",-0.13757819,-0.24178597,-0.54987174,-0.5274017,-0.9651896,-0.9706488,0.0054592
73,2.0151012,1.954903,"('helpless', 'self-reliant')",0.40430045,0.41132846,-2.8469934,-2.7989714,-0.1425306,-0.1442467,0.0017161
53,-1.8149006,-1.6042979,"('uncreative', 'creative')",0.91332144,1.0392549,0.95649064,1.0392137,0.0183038,0.1580569,-0.1397531
45,-1.7106916,-1.4286176,"('incompetent', 'competent')",-0.22201183,-0.2521575,-0.6866259,-0.65984845,-0.8731097,-0.7802079,-0.0929018
86,-1.6179947,-1.5716085,"('uninfluential', 'influential')",0.21543075,0.19031657,-0.5058705,-0.51558095,-0.6361448,-0.632291,-0.0038538
57,-1.4827852,-1.4215312,"('unimaginative', 'imaginative')",0.7994646,0.7155066,-2.1010206,-2.1853602,-0.9281138,-0.9637949,0.0356811
46,-1.4257565,-1.3589814,"('uncompetitive', 'competitive')",0.65031326,0.5551692,-0.6756777,-0.7405804,-0.483707,-0.5147975,0.0310905
23,-1.3980558,-1.1831094,"('insincere', 'sincere')",0.07341595,0.20947373,4.598905,4.823211,1.0914218,1.2831918,-0.19177
69,1.3758004,1.1207482,"('lazy', 'industrious')",0.20594037,0.30769932,-0.026399467,0.081504405,0.5184471,0.5033173,0.0151298
35,1.3333007,1.2106197,"('corrupt', 'incorrupt')",-0.8034277,-0.63968384,-0.099987224,-0.03240557,0.1432953,0.1795101,-0.0362148
55,-1.317453,-1.0006796,"('incompetent', 'clever')",0.8443253,0.8115136,-0.38426608,-0.22041175,-0.2857979,-0.1365259,-0.149272
1,-1.3031697,-1.202247,"('unfriendly', 'friendly')",0.26501286,0.31429568,1.670995,1.6953481,0.210946,0.2691323,-0.0581863
32,-1.2875754,-1.0836073,"('unkind', 'kind')",0.11728552,0.25844774,0.5895589,0.6819565,-0.193577,-0.0477343,-0.1458427
59,1.2425016,1.3535085,"('foolish', 'wise')",-0.09899157,0.16040315,0.37198627,0.5716491,0.5051655,0.6951869,-0.1900214
63,-1.1736209,-1.1442677,"('unperceptive', 'insightful')",0.15152211,0.18181233,0.6482672,0.62680393,-0.1246105,-0.1118838,-0.0127267
43,-1.1400926,-1.0508572,"('irresponsible', 'responsible')",-0.4516526,-0.31008038,-0.12092832,0.056467015,-0.5708911,-0.4348235,-0.1360676
9,-1.1190815,-0.9666617,"('unaffectionate', 'caring')",0.3313431,0.44869855,1.0848804,1.1442178,0.0990473,0.2087516,-0.1097043
22,-1.0767722,-0.9606701,"('untrustworthy', 'trustworthy')",-0.19604766,-0.22279,-1.0271246,-1.0008054,-0.7666481,-0.7280885,-0.0385596
65,-1.0609866,-0.85501814,"('insecure', 'secure')",-0.13762267,-0.1643388,-0.66745573,-0.5387811,-0.6220217,-0.5193794,-0.1026423
62,-1.047923,-0.88482654,"('incompetent', 'brilliant')",0.9882498,0.9731791,-0.25879863,-0.06912467,-0.1061573,0.0064093,-0.1125666
75,1.0329912,0.85536253,"('meek', 'impulsive')",0.016947031,0.020717561,-0.09809486,-0.15847906,0.3172811,0.2392004,0.0780807
51,-1.0324743,-1.0195873,"('uneducated', 'educated')",-0.2835647,-0.38611248,0.03483616,0.1048179,-0.4270676,-0.4336273,0.0065597
78,-0.98355746,-0.7634902,"('nonresilient', 'resilient')",0.8673802,1.0187482,0.14957035,0.10900771,0.011131,0.1214219,-0.1102909
82,-0.95865226,-0.6872613,"('poor', 'rich')",0.5731511,0.725983,5.4304442,5.669042,1.6816476,1.9025879,-0.2209403
61,-0.9414711,-1.0751822,"('illogical', 'logical')",0.50553405,0.4603376,-0.03697709,-0.079705685,-0.157638,-0.2315168,0.0738788
12,-0.9151044,-0.8184767,"('unsupportive', 'supportive')",0.3645438,0.4675564,-1.8041945,-1.7560774,-0.7849183,-0.7023326,-0.0825857
58,-0.89383537,-0.8325851,"('undiscriminating', 'discriminating')",0.24114543,0.23839395,-0.1621362,-0.20906058,-0.2716087,-0.2677506,-0.0038581
47,-0.8693882,-0.8129382,"('stupid', 'smart')",0.9545369,1.0891415,4.9693475,5.141992,1.6848321,1.8060651,-0.121233
8,-0.79836994,-0.7102431,"('unaffectionate', 'affectionate')",0.24346071,0.29170156,0.6584804,0.6952862,0.0345237,0.0922482,-0.0577245
14,-0.79571503,-0.71691775,"('antisocial', 'social')",0.98054445,0.8217681,-0.9364062,-0.708305,-0.2505256,-0.2011515,-0.0493741
13,-0.78659534,-0.74851394,"('impolite', 'polite')",-0.12871459,-0.18471126,-0.36674252,-0.39979726,-0.4273508,-0.4443408,0.01699
50,0.78494495,1.0117977,"('clumsy', 'skillful')",-0.35795695,-0.11708278,0.03038507,0.13861229,0.1524577,0.3444424,-0.1919847
11,-0.7811245,-0.76493895,"('unhelpful', 'helpful')",1.1775823,1.2095832,1.8267837,1.8943337,0.7410804,0.7796593,-0.0385789
28,-0.77847934,-0.34577417,"('disloyal', 'loyal')",0.33543462,0.44403344,0.8043245,0.97115195,0.1204266,0.3564704,-0.2360438
70,-0.77805066,-0.8526388,"('lethargic', 'energetic')",-0.049899817,-0.17345737,0.27527195,0.28553843,-0.1842262,-0.2468526,0.0626264
87,-0.7778867,-0.948733,"('unsuccessful', 'successful')",0.111114696,-0.017153457,0.30787736,0.36290878,-0.1196315,-0.2009925,0.081361
77,-0.77457476,-0.69613975,"('unmotivated', 'motivated')",0.8991265,0.7779478,-1.0429173,-1.0711544,-0.3061218,-0.3297821,0.0236603
3,-0.76846665,-0.77492046,"('repellent', 'pleasant')",0.37611058,0.32474655,-0.17300889,-0.17188576,-0.188455,-0.2073532,0.0188982
24,-0.76189715,-0.733972,"('dishonest', 'honest')",-1.1377255,-1.2161258,0.34311473,0.47442397,-0.518836,-0.4918913,-0.0269447
72,-0.7456863,-0.65555274,"('unambitious', 'ambitious')",-0.5584944,-0.5035251,-1.4406976,-1.3384986,-0.9149594,-0.8325255,-0.0824339
48,-0.7382395,-0.7004067,"('unintelligent', 'intelligent')",1.5370395,1.518784,0.6784753,0.72069347,0.4924251,0.5130236,-0.0205985
7,-0.7300123,-0.609245,"('insensitive', 'sensitive')",0.6167175,0.60292786,0.27293065,0.37167627,0.053212,0.1217864,-0.0685744
19,-0.71785754,-0.674638,"('inhospitable', 'hospitable')",-1.0483333,-1.0769966,-0.12283321,-0.045932192,-0.6296747,-0.5991889,-0.0304858
74,-0.71548295,-0.5240448,"('undedicated', 'dedicated')",0.23635888,0.41656086,-0.20290041,-0.11219156,-0.2273415,-0.0732252,-0.1541163
41,-0.7010983,-0.27691638,"('unforgiving', 'forgiving')",-0.64055187,-0.5132617,0.33539534,0.26266307,-0.3354183,-0.1758383,-0.15958
5,-0.68267494,-0.5736105,"('distant', 'outgoing')",-0.8417206,-0.68896556,-0.040328268,0.1743316,-0.5215746,-0.3627481,-0.1588265
31,-0.6698193,-0.4715157,"('evil', 'good')",-0.84952956,-0.7651898,-0.8027828,-0.8388932,-0.7740439,-0.6918662,-0.0821777
76,-0.6623223,-0.55597407,"('anxious', 'daring')",0.08420417,-0.042118978,-0.113858044,0.06376554,-0.2306587,-0.1781092,-0.0525495
85,0.64704543,0.56442565,"('insignificant', 'prestigious')",0.042507797,0.029134948,0.73821396,0.77045846,0.4759224,0.454673,0.0212494
49,-0.6366902,-0.2787159,"('unable', 'able')",0.77970237,1.0519979,-0.048952676,0.274166,0.0313532,0.3491493,-0.3177961
88,-0.6146487,-0.7367637,"('low', 'eminent')",0.23948683,0.22068466,0.009323524,0.18740922,-0.1219461,-0.1095566,-0.0123895
33,0.61185426,0.456751,"('wrong', 'right')",-0.24191338,-0.24699375,-0.33830893,-0.37040228,0.010544,-0.0535483,0.0640923
60,-0.5993326,-0.4352273,"('inefficient', 'efficient')",1.6070616,1.6496696,-0.11438534,0.050894212,0.2977812,0.4217789,-0.1239977
84,0.59091574,0.5679075,"('inferior', 'superior')",0.33067754,0.39247206,0.94678295,1.1026342,0.6227921,0.6876713,-0.0648792
81,-0.5905714,-0.66571975,"('submissive', 'aggressive')",1.256685,0.99801636,-0.75479,-0.7090261,-0.0295588,-0.1255765,0.0960177
56,-0.5818574,-0.5521482,"('impractical', 'practical')",0.24839377,0.1993381,-0.34261033,-0.28070933,-0.225358,-0.2111732,-0.0141848
68,-0.57132995,-0.6316024,"('dependent', 'independent')",-0.20898248,-0.17192028,-0.708291,-0.6346136,-0.4962011,-0.4793788,-0.0168223
15,0.56617534,0.46727914,"('boring', 'funny')",-0.105561495,-0.17143992,0.58876204,0.7383567,0.349792,0.344732,0.00506
6,-0.55357605,-0.42877954,"('distant', 'open')",-1.0967121,-0.91291493,0.47836444,0.57569623,-0.3906412,-0.2553327,-0.1353085
27,-0.53217924,-0.56306356,"('hardhearted', 'softhearted')",0.2466166,0.28821966,1.0584022,0.9368417,0.2576132,0.2206659,0.0369473
21,-0.51034653,-0.43970203,"('immoral', 'moral')",0.633546,0.44864392,-1.0671815,-0.96860504,-0.3146607,-0.3198877,0.005227
66,-0.50849694,-0.8311643,"('inactive', 'active')",-1.1924249,-1.3304644,0.75049967,0.6596046,-0.3168074,-0.5006747,0.1838673
29,-0.48392096,-0.404183,"('unfair', 'fair')",-0.9503151,-0.8197382,-0.67107767,-0.67967075,-0.7017713,-0.6345306,-0.0672407
4,0.48194197,0.64194775,"('disliked', 'liked')",-0.75539476,-0.7677815,-5.304159,-5.4063644,-1.859204,-1.844066,-0.015138
40,-0.46995363,-0.2743629,"('stingy', 'generous')",-0.07270087,-0.05535032,-1.5217661,-1.5904672,-0.6881402,-0.6400601,-0.0480801
38,-0.45689112,-0.47759867,"('untruthful', 'truthful')",-0.97013986,-0.865837,-0.1282075,-0.06315647,-0.5184128,-0.468864,-0.0495488
79,-0.4499362,-0.57277834,"('wavering', 'unwavering')",-1.5883536,-1.5651788,-0.13980451,-0.1799122,-0.7260315,-0.7726231,0.0465916
25,-0.43129808,-0.42978787,"('egoistic', 'altruistic')",0.5194549,0.5512568,1.553843,1.598183,0.5473333,0.5732173,-0.025884
44,0.42999804,0.15873763,"('prejudiced', 'unprejudiced')",-0.52396715,-0.73997587,-1.1005095,-1.107859,-0.3981595,-0.5630324,0.1648729
2,0.41478556,0.5072831,"('unlikable', 'likable')",-0.018193373,0.025829101,0.6586502,0.75023514,0.3517475,0.4277825,-0.076035
67,0.38057852,0.36436352,"('doubtful', 'determined')",0.08036336,0.12553287,-0.46131098,-0.23378146,-0.000123,0.0853716,-0.0854946
39,0.37562874,0.36955762,"('exploitative', 'cooperative')",0.96143144,0.8973621,0.039756175,0.26010582,0.4589388,0.5090085,-0.0500697
83,-0.3565419,-0.41791326,"('powerless', 'powerful')",0.16489369,0.26260498,-0.9204498,-0.9092228,-0.3706993,-0.3548437,-0.0158556
26,0.34983048,0.33342606,"('hardhearted', 'benevolent')",0.8185973,0.81619644,1.8197668,1.9390666,0.9960648,1.029563,-0.0334982
17,-0.27686018,-0.23078735,"('nasty', 'nice')",-0.53598547,-0.5912746,-0.31568855,-0.18927279,-0.3761781,-0.3371116,-0.0390665
