,legg_male,legg_female,tuple,mason_male,mason_female,inc_male,inc_female,average_male,average_female,male-female
48,-2.5389633,-2.370146,"('unintelligent', 'intelligent')",0.060188025,0.33962783,0.10691857,0.44043982,-0.7906189,-0.5300262,-0.2605927
23,-2.207883,-1.8497204,"('insincere', 'sincere')",1.4819725,1.5458583,5.3005652,5.477719,1.5248849,1.7246189,-0.199734
1,-1.9951414,-1.8172286,"('unfriendly', 'friendly')",-0.643263,-0.52432877,1.6293385,1.5746264,-0.3363553,-0.2556436,-0.0807117
73,1.9830284,1.8908782,"('helpless', 'self-reliant')",0.16470383,0.3931593,-2.6422865,-2.6056554,-0.1648514,-0.1072059,-0.0576455
86,-1.9429466,-1.8787594,"('uninfluential', 'influential')",-0.16028406,-0.21965067,-0.2800579,-0.4398641,-0.7944295,-0.8460914,0.0516619
10,-1.9287788,-1.7508843,"('unsympathetic', 'sympathetic')",0.8792344,0.79157245,0.1340468,0.07770349,-0.3051658,-0.2938695,-0.0112963
0,-1.9082917,-1.9283986,"('unsociable', 'sociable')",0.9050648,0.6778238,-0.33559912,-0.4771417,-0.4462753,-0.5759055,0.1296302
35,1.663482,1.2335331,"('corrupt', 'incorrupt')",-0.528307,-0.60643196,-0.39194337,-0.4585594,0.2477439,0.0561806,0.1915633
11,-1.6304073,-1.4128704,"('unhelpful', 'helpful')",0.6673083,0.89306545,1.8480961,1.800041,0.294999,0.4267453,-0.1317463
32,-1.5858762,-1.2125691,"('unkind', 'kind')",0.33805284,0.40245488,0.6644054,0.7615506,-0.1944727,-0.0161879,-0.1782848
77,-1.5481644,-1.1786683,"('unmotivated', 'motivated')",0.30921197,0.36479637,-0.9125855,-0.8073225,-0.7171793,-0.5403981,-0.1767812
60,-1.4913789,-1.0034859,"('inefficient', 'efficient')",1.8163315,1.6385583,0.013663987,0.2777595,0.1128722,0.3042773,-0.1914051
72,-1.3865047,-1.1998662,"('unambitious', 'ambitious')",0.061592247,0.22222215,-0.83939713,-0.64715207,-0.7214365,-0.5415987,-0.1798378
13,-1.3443363,-0.8270728,"('impolite', 'polite')",0.17661172,0.13419393,-0.61298597,-0.57175446,-0.5935702,-0.4215444,-0.1720258
41,-1.3369304,-1.3500357,"('unforgiving', 'forgiving')",0.30315012,0.4852881,-0.24038365,-0.34327653,-0.4247213,-0.4026747,-0.0220466
78,-1.3316134,-1.2223419,"('nonresilient', 'resilient')",0.03298621,-0.18143985,0.9614838,0.93979496,-0.1123812,-0.1546623,0.0422811
9,-1.3229809,-1.0566554,"('unaffectionate', 'caring')",0.34645355,0.5828527,1.1740131,1.264317,0.0658286,0.2635048,-0.1976762
62,-1.3083591,-0.922144,"('incompetent', 'brilliant')",0.24581254,0.62675065,0.088223755,0.31417975,-0.3247743,0.0062621,-0.3310364
53,-1.2609035,-1.2853483,"('uncreative', 'creative')",-0.095892586,-0.006504867,0.8899024,0.8113294,-0.1556312,-0.1601746,0.0045434
27,-1.2598027,-1.1537213,"('hardhearted', 'softhearted')",-0.2561021,0.01861396,1.3342961,1.4268018,-0.0605362,0.0972315,-0.1577677
57,-1.2432379,-1.6556464,"('unimaginative', 'imaginative')",0.082341686,-0.26671204,-1.9515896,-2.413577,-1.0374953,-1.4453119,0.4078166
88,-1.2209027,-1.0294759,"('low', 'eminent')",-0.56170595,-0.4019133,0.017512314,0.17785674,-0.5883654,-0.4178441,-0.1705213
44,1.1782221,0.8068788,"('prejudiced', 'unprejudiced')",-0.5053009,-0.60222983,-1.4280487,-1.4095633,-0.2517092,-0.4016381,0.1499289
63,-1.1747371,-0.87617147,"('unperceptive', 'insightful')",0.4527268,0.69451284,1.1436284,1.1597648,0.1405394,0.3260354,-0.185496
3,-1.1643758,-0.93952906,"('repellent', 'pleasant')",0.19569331,0.16004749,0.06589152,0.056526728,-0.3009303,-0.240985,-0.0599453
28,-1.1350099,-1.2480854,"('disloyal', 'loyal')",0.8038309,0.76881254,0.9716931,0.7795986,0.2135047,0.1001086,0.1133961
75,1.1158571,0.9091322,"('meek', 'impulsive')",-1.4855071,-1.2903166,-0.44380498,-0.5354867,-0.2711517,-0.305557,0.0344053
49,-1.1153281,-1.1033522,"('unable', 'able')",-0.6879153,-0.6552331,-0.4635297,-0.30086476,-0.7555911,-0.6864833,-0.0691078
34,-1.0772158,-1.0006899,"('mean', 'honorable')",0.40217248,0.25755417,5.616649,5.85391,1.6472019,1.7035913,-0.0563894
