,genworth_male,genworth_female,tuple,financial_male,financial_female,inc_male,inc_female,average_male,average_female,male-female
6,-1.6738195,-1.2044158,"('distant', 'open')",-0.6272586,-0.5102522,0.3443917,0.19888377,-0.6522288,-0.5052614,-0.1469674
1,-1.6221325,-1.5224398,"('unfriendly', 'friendly')",1.0912845,0.9774303,1.9458941,1.7807423,0.471682,0.4119109,0.0597711
53,-1.5756197,-1.5276567,"('uncreative', 'creative')",0.92635685,0.887758,1.005768,0.86842555,0.118835,0.0761756,0.0426594
52,-1.4569234,-1.2030851,"('irrational', 'rational')",-0.2361393,-0.2257357,-0.38539344,-0.44241756,-0.6928187,-0.6237461,-0.0690726
72,-1.4535573,-1.3818289,"('unambitious', 'ambitious')",-0.37100512,-0.35180286,-1.3694985,-1.2310677,-1.0646869,-0.9882331,-0.0764538
79,-1.4142364,-1.1012762,"('wavering', 'unwavering')",-0.84012306,-0.8068001,0.2835328,0.2181615,-0.6569422,-0.5633049,-0.0936373
36,-1.3470138,-1.1646662,"('hostile', 'amicable')",-0.38157347,-0.44196692,0.081299454,-0.14287417,-0.5490959,-0.5831691,0.0340732
31,-1.240837,-0.87610996,"('evil', 'good')",-1.231588,-1.3334984,-1.3941542,-1.5355921,-1.2888597,-1.2484001,-0.0404596
5,-1.2161167,-0.76257294,"('distant', 'outgoing')",0.15618835,0.32748398,-0.14922038,-0.12019097,-0.4030495,-0.1850933,-0.2179562
57,-1.1975257,-1.25407,"('unimaginative', 'imaginative')",-0.09418966,-0.19917762,-2.7558737,-2.66051,-1.3491964,-1.3712525,0.0220561
30,1.069557,1.0158767,"('intolerant', 'tolerant')",1.0499043,1.0890476,1.2553011,1.4948343,1.1249208,1.1999195,-0.0749987
8,-1.0469466,-0.9378234,"('unaffectionate', 'affectionate')",-0.1161308,-0.030111127,0.49877086,0.36765912,-0.2214355,-0.2000918,-0.0213437
37,1.025506,0.75238705,"('fake', 'genuine')",-0.6587905,-0.7056976,0.5700421,0.50981724,0.3122525,0.1855022,0.1267503
9,-1.011537,-0.96591616,"('unaffectionate', 'caring')",1.3960973,1.3438252,1.2520607,1.1379399,0.5455403,0.505283,0.0402573
86,-1.008915,-1.3020281,"('uninfluential', 'influential')",-0.27816677,-0.37930784,-0.02555003,-0.13491917,-0.4375439,-0.6054184,0.1678745
85,-0.98276997,-0.6292938,"('insignificant', 'prestigious')",0.99178886,0.96123195,0.46351007,0.23304988,0.1575097,0.1883293,-0.0308196
70,0.9773739,0.85633373,"('lethargic', 'energetic')",0.22385484,0.17208293,0.9874666,0.99766874,0.7295651,0.6753618,0.0542033
42,0.97134537,1.0447711,"('unreliable', 'reliable')",0.8737596,0.8826348,-2.6885557,-2.481682,-0.2811503,-0.1847587,-0.0963916
78,-0.88587236,-1.0060755,"('nonresilient', 'resilient')",1.6844618,1.3895988,1.0921987,0.7699772,0.6302627,0.3845002,0.2457625
58,-0.878641,-0.9839437,"('undiscriminating', 'discriminating')",1.3739054,0.9988431,0.16903865,0.07405732,0.2214344,0.0296522,0.1917822
68,-0.8746001,-0.9170049,"('dependent', 'independent')",-1.652602,-1.8211684,-0.4275686,-0.56734204,-0.9849236,-1.1018384,0.1169148
39,0.8632894,0.80778044,"('exploitative', 'cooperative')",0.5932374,0.7087501,-0.2705604,-0.29285547,0.3953221,0.4078917,-0.0125696
60,0.8568092,0.6421181,"('inefficient', 'efficient')",0.48683894,0.5727338,-0.007839829,0.40759337,0.4452695,0.5408151,-0.0955456
46,0.8561098,0.34140763,"('uncompetitive', 'competitive')",1.2082589,0.97923625,-0.014138454,-0.048766658,0.6834101,0.4239591,0.259451
16,-0.8548728,-0.70161486,"('unpopular', 'popular')",-0.23911972,-0.306048,0.6021942,0.45222315,-0.1639328,-0.1851466,0.0212138
28,-0.8538407,-0.95801353,"('disloyal', 'loyal')",-0.18624729,-0.1757529,0.8840772,0.8662335,-0.0520036,-0.0891776,0.037174
84,0.8086912,0.62398773,"('inferior', 'superior')",0.21910328,0.1409304,0.8923205,0.85877526,0.6400383,0.5412312,0.0988071
13,0.7377548,0.6682654,"('impolite', 'polite')",0.8628257,0.78016436,0.41873217,0.5082287,0.6731042,0.6522195,0.0208847
55,0.7302468,0.33956093,"('incompetent', 'clever')",-0.4556826,-0.45161042,-0.22687902,-0.20225218,0.0158951,-0.1047672,0.1206623
88,-0.7276418,-0.571654,"('low', 'eminent')",-0.9606605,-0.88687044,0.1996101,0.45942855,-0.4962307,-0.333032,-0.1631987
80,0.7216423,0.39182082,"('dominated', 'dominating')",-0.21839803,-0.20937929,-0.90820205,-0.9438578,-0.1349859,-0.2538054,0.1188195
71,0.7009901,0.6792609,"('diffident', 'self-confident')",1.6095083,1.6481596,0.5546824,0.40678138,0.9550602,0.9114006,0.0436596
83,-0.6878967,-0.75225806,"('powerless', 'powerful')",0.3775798,0.294761,-1.0386727,-1.1597242,-0.4496632,-0.5390738,0.0894106
35,-0.68550813,-0.4053786,"('corrupt', 'incorrupt')",-1.4356321,-1.2879838,-0.43927804,-0.45526484,-0.8534728,-0.7162091,-0.1372637
25,-0.6405439,-0.663976,"('egoistic', 'altruistic')",-0.47715113,-0.31874794,1.3468968,1.253844,0.0764006,0.0903734,-0.0139728
56,0.6404387,0.6237279,"('impractical', 'practical')",0.51153094,0.7257303,-0.09741495,0.24417132,0.3515182,0.5312099,-0.1796917
77,-0.6237714,-0.7937994,"('unmotivated', 'motivated')",1.1013483,0.808397,-0.9260473,-0.9583939,-0.1494902,-0.3145988,0.1651086
