,amgen_male,amgen_female,tuple,inc_male,inc_female,average_male,average_female,male-female
10,-1.7571362,-1.364198,"('unsympathetic', 'sympathetic')",-0.23163253,0.13779311,-0.9943844,-0.6132025,-0.3811819
0,-1.4602666,-1.6427171,"('unsociable', 'sociable')",-0.29653394,-0.15691675,-0.8784003,-0.8998169,0.0214166
53,-1.4171087,-1.2929668,"('uncreative', 'creative')",0.6604013,0.696439,-0.3783537,-0.2982639,-0.0800898
57,-1.3592715,-1.3940252,"('unimaginative', 'imaginative')",-2.3093302,-2.2060006,-1.8343009,-1.8000128,-0.0342881
45,-1.2818205,-1.0550647,"('incompetent', 'competent')",-0.28335884,0.07862416,-0.7825897,-0.4882203,-0.2943694
42,-1.1822816,-0.4028596,"('unreliable', 'reliable')",-3.294816,-2.8544834,-2.2385488,-1.6286715,-0.6098773
65,-1.1318326,-0.95799124,"('insecure', 'secure')",-0.43200615,-0.017224394,-0.7819194,-0.4876078,-0.2943116
76,-1.1093924,-0.5440377,"('anxious', 'daring')",-0.06328041,0.34366494,-0.5863364,-0.1001864,-0.48615
79,-1.0509791,-1.0617107,"('wavering', 'unwavering')",-0.18683267,-0.426309,-0.6189059,-0.7440099,0.125104
13,-0.99958813,-0.6486149,"('impolite', 'polite')",-0.21159154,0.093656234,-0.6055899,-0.2774793,-0.3281106
46,-0.9918684,-0.54458344,"('uncompetitive', 'competitive')",-0.30125785,0.071108356,-0.6465631,-0.2367375,-0.4098256
70,-0.98109454,-0.3541398,"('lethargic', 'energetic')",0.7194168,1.2275296,-0.1308389,0.4366949,-0.5675338
73,0.9770983,1.006666,"('helpless', 'self-reliant')",-2.9472132,-2.9780993,-0.9850575,-0.9857167,0.0006592
66,-0.95279133,-0.6639482,"('inactive', 'active')",0.64382464,0.67309225,-0.1544833,0.004572,-0.1590553
17,-0.9109688,-1.0390402,"('nasty', 'nice')",-0.5727765,-0.69046056,-0.7418727,-0.8647504,0.1228777
43,-0.90742683,-0.28417945,"('irresponsible', 'responsible')",0.5083023,0.94326496,-0.1995623,0.3295428,-0.5291051
32,-0.9046487,-0.5158472,"('unkind', 'kind')",0.94340885,1.2454587,0.0193801,0.3648058,-0.3454257
23,-0.8432947,-0.7197832,"('insincere', 'sincere')",5.662358,5.7874002,2.4095316,2.5338085,-0.1242769
11,-0.8318829,-0.4825541,"('unhelpful', 'helpful')",1.9155551,2.0629787,0.5418361,0.7902123,-0.2483762
1,-0.82554823,-1.209648,"('unfriendly', 'friendly')",1.6640384,1.4301827,0.4192451,0.1102673,0.3089778
