,sunoco_male,sunoco_female,tuple,inc_male,inc_female,average_male,average_female,male-female
45,-1.146171,-1.1991036,"('incompetent', 'competent')",0.049806945,-0.23395158,-0.548182,-0.7165276,0.1683456
10,-1.0964149,-1.139825,"('unsympathetic', 'sympathetic')",0.006532844,-0.18070298,-0.5449411,-0.660264,0.1153229
73,1.096217,1.2542746,"('helpless', 'self-reliant')",-3.1492908,-3.0452416,-1.0265369,-0.8954835,-0.1310534
57,-1.0436455,-0.99919,"('unimaginative', 'imaginative')",-2.5941024,-2.6093779,-1.8188739,-1.8042839,-0.01459
6,-1.0361136,-0.864247,"('distant', 'open')",-0.069874,0.026487254,-0.5529938,-0.4188799,-0.1341139
39,1.0339147,0.94168967,"('exploitative', 'cooperative')",-0.19869623,-0.2520768,0.4176092,0.3448064,0.0728028
53,-1.0238984,-0.98678434,"('uncreative', 'creative')",1.0395007,1.0189899,0.0078012,0.0161028,-0.0083016
8,-1.0235169,-0.8369788,"('unaffectionate', 'affectionate')",0.087455824,0.21737887,-0.4680305,-0.3098,-0.1582305
68,-0.97585696,-1.0005281,"('dependent', 'independent')",-0.2759716,-0.54737175,-0.6259143,-0.7739499,0.1480356
70,-0.96906334,-1.141771,"('lethargic', 'energetic')",0.9843722,0.8085575,0.0076544,-0.1666067,0.1742611
86,-0.9068441,-0.6855047,"('uninfluential', 'influential')",-0.05098346,-0.23995581,-0.4789138,-0.4627302,-0.0161836
55,-0.8817576,-0.98546076,"('incompetent', 'clever')",0.19081885,-0.1816597,-0.3454694,-0.5835602,0.2380908
85,0.8594493,1.0576885,"('insignificant', 'prestigious')",-0.17720531,0.2477198,0.341122,0.6527041,-0.3115821
82,-0.8572271,-1.0157952,"('poor', 'rich')",6.8443747,6.4266124,2.9935737,2.7054086,0.2881651
19,-0.8458581,-0.5656816,"('inhospitable', 'hospitable')",0.046087854,0.30576086,-0.3998851,-0.1299604,-0.2699247
22,-0.82521695,-0.86639833,"('untrustworthy', 'trustworthy')",-1.0097789,-1.2413478,-0.9174979,-1.0538731,0.1363752
1,-0.82088876,-0.58842725,"('unfriendly', 'friendly')",1.5303881,1.5613201,0.3547497,0.4864464,-0.1316967
36,-0.75909954,-0.48868573,"('hostile', 'amicable')",-0.2612154,-0.041187145,-0.5101575,-0.2649364,-0.2452211
18,-0.7063886,-0.75735915,"('disagreeable', 'welcoming')",-0.6971888,-0.5479196,-0.7017887,-0.6526394,-0.0491493
69,0.6957234,0.9595332,"('lazy', 'industrious')",-0.81583345,-0.56167066,-0.060055,0.1989313,-0.2589863
13,-0.69456625,-0.6813487,"('impolite', 'polite')",-0.1302155,-0.17550778,-0.4123909,-0.4284282,0.0160373
31,-0.69201463,-0.33954442,"('evil', 'good')",-1.4694889,-1.3105959,-1.0807518,-0.8250701,-0.2556817
84,0.682059,0.6605016,"('inferior', 'superior')",1.2175345,1.0839233,0.9497968,0.8722125,0.0775843
2,0.6700823,0.64181936,"('unlikable', 'likable')",0.81131136,0.80727494,0.7406968,0.7245471,0.0161497
28,-0.6501378,-0.65697855,"('disloyal', 'loyal')",1.0125136,0.90084654,0.1811879,0.121934,0.0592539
83,0.6344799,0.68295395,"('powerless', 'powerful')",-0.9950361,-0.93039477,-0.1802781,-0.1237204,-0.0565577
5,-0.6232645,-0.42220777,"('distant', 'outgoing')",-0.5386236,-0.51804006,-0.5809441,-0.4701239,-0.1108202
