,bank_male,bank_female,tuple,of_male,of_female,america_male,america_female,corp_male,corp_female,average_male,average_female,male-female
71,2.1078217,2.0467453,"('diffident', 'self-confident')",0.35839576,0.23101917,0.8226197,0.94778574,0.32612145,0.38592726,0.9037397,0.9028693,0.0008704
9,1.7238096,1.6162049,"('unaffectionate', 'caring')",-0.7367743,-0.93105835,0.5602631,0.53424406,1.4900905,1.5761125,0.7593472,0.6988758,0.0604714
2,1.6865711,1.7157228,"('unlikable', 'likable')",0.8180088,1.0516152,1.1292508,1.4550676,0.819959,0.73630595,1.1134474,1.2396779,-0.1262305
34,1.6591954,1.75614,"('mean', 'honorable')",-0.46404067,-0.23840313,-0.82746875,-0.85842985,5.5971813,5.9343095,1.4912169,1.6484041,-0.1571872
32,1.5428756,1.7294168,"('unkind', 'kind')",0.24008386,0.3721106,-0.24374971,0.029895592,1.2356349,1.1647118,0.6937112,0.8240337,-0.1303225
1,1.4885646,1.2355889,"('unfriendly', 'friendly')",-0.76474196,-0.9616473,0.5671049,0.57116187,1.4242861,1.3762072,0.6788034,0.5553277,0.1234757
83,1.4726219,1.4817721,"('powerless', 'powerful')",0.48441604,0.52559704,-0.49610072,-0.28151911,-0.607705,-0.6557765,0.2133081,0.2675183,-0.0542102
56,1.4571997,1.6679981,"('impractical', 'practical')",-1.0989875,-0.62271965,-0.388485,-0.12616397,-0.120477185,-0.122134656,-0.0376875,0.1992449,-0.2369324
68,-1.4359783,-1.2271075,"('dependent', 'independent')",0.36237353,0.8128486,0.3881561,0.6682307,-1.1972252,-1.0316862,-0.4706685,-0.1944286,-0.2762399
62,1.2990115,1.695516,"('incompetent', 'brilliant')",-0.8763407,-0.069213435,-0.24190602,0.28573963,0.6416459,0.7196563,0.2056027,0.6579247,-0.452322
61,1.2810181,1.2259823,"('illogical', 'logical')",-0.95858026,-0.9770462,0.1452441,0.15173829,0.46052304,0.2063995,0.2320513,0.1517685,0.0802828
23,1.2510788,1.4950583,"('insincere', 'sincere')",-1.4575185,-1.13913,-0.54694265,-0.48993793,6.5136614,6.7401686,1.4400698,1.6515397,-0.2114699
37,-1.2401816,-1.4093623,"('fake', 'genuine')",-0.3228924,-0.44022292,-0.7315539,-0.85839576,0.32883447,0.2887803,-0.4914483,-0.6048002,0.1133519
63,1.1828697,1.4808596,"('unperceptive', 'insightful')",-0.10050413,0.38329935,0.7180818,1.0123341,0.4662701,0.54729104,0.5666794,0.855946,-0.2892666
14,1.1642292,1.2166752,"('antisocial', 'social')",-0.47783673,-0.12521523,-0.5100665,-0.33000115,-0.43960556,-0.59855705,-0.0658199,0.0407255,-0.1065454
54,1.1508195,1.1585209,"('incapable', 'capable')",0.05542755,0.12766156,0.5607772,0.8023564,0.89851755,1.199408,0.6663855,0.8219867,-0.1556012
35,-1.1206675,-1.3946699,"('corrupt', 'incorrupt')",0.2841427,-0.28337136,0.72513944,0.2808644,-0.7324185,-0.78708255,-0.2109509,-0.5460649,0.335114
42,1.095857,1.1254764,"('unreliable', 'reliable')",1.7921404,1.8914273,1.0703073,1.066598,-2.5077024,-2.9037921,0.3626506,0.2949274,0.0677232
41,1.0777864,1.2682568,"('unforgiving', 'forgiving')",-0.12905356,0.17174575,-0.12356296,0.030619115,-0.07380521,-0.21999542,0.1878412,0.3126566,-0.1248154
26,1.0533243,0.8054783,"('hardhearted', 'benevolent')",0.8371055,0.5386353,2.0401502,1.9144139,1.8318229,1.4729483,1.4406008,1.182869,0.2577318
13,1.027198,1.1492019,"('impolite', 'polite')",-0.7678673,-0.57465047,-0.23487905,-0.07794737,-0.50096494,-0.46430254,-0.1191283,0.0080754,-0.1272037
31,-1.0185258,-1.1248127,"('evil', 'good')",0.86139446,0.6832105,0.82191813,0.75826865,-1.2485266,-1.156684,-0.145935,-0.2100044,0.0640694
