,pepsi_male,pepsi_female,tuple,bottling_male,bottling_female,group_male,group_female,inc_male,inc_female,average_male,average_female,male-female
35,-2.0512395,-2.1967785,"('corrupt', 'incorrupt')",0.29000774,0.36470208,-2.5987592,-2.5644789,-0.33197376,-0.40986282,-1.1729912,-1.2016046,0.0286134
12,1.7379553,1.8426533,"('unsupportive', 'supportive')",-0.4622834,-0.4953965,1.2587031,1.1918306,-1.5511365,-1.5046264,0.2458097,0.2586152,-0.0128055
71,1.6389875,1.5815673,"('diffident', 'self-confident')",1.1152122,1.0714122,-0.6236034,-0.5987284,0.19647966,0.11695491,0.581769,0.5428014,0.0389676
56,1.629174,1.8002334,"('impractical', 'practical')",-0.04133962,-0.009899337,1.3524823,1.4045525,-0.27156633,-0.04150381,0.6671876,0.7883456,-0.121158
44,-1.4462813,-1.4690167,"('prejudiced', 'unprejudiced')",0.2799476,0.3141407,-0.35417983,-0.54754424,-1.7017967,-1.7878535,-0.8055775,-0.8725684,0.0669909
75,-1.3255804,-1.3743958,"('meek', 'impulsive')",0.36404702,0.3037166,-1.531084,-1.5704459,-0.40785214,-0.3851216,-0.7251173,-0.7565617,0.0314444
25,-1.3170649,-1.4041865,"('egoistic', 'altruistic')",-0.41649243,-0.3613319,-0.65950066,-0.59748274,1.4350433,1.3616008,-0.2395037,-0.2503501,0.0108464
67,1.3042692,1.2195739,"('doubtful', 'determined')",0.9936046,0.9438177,1.1060368,1.0510526,-0.53013,-0.5535275,0.7184452,0.6652292,0.053216
39,1.284635,1.3195662,"('exploitative', 'cooperative')",0.58566695,0.5434739,1.5268141,1.5849861,-0.011136206,0.078240894,0.846495,0.8815668,-0.0350718
87,1.2408901,1.1479323,"('unsuccessful', 'successful')",0.46110716,0.4013623,1.8095499,1.5595899,0.6422133,0.72390985,1.0384401,0.9581985,0.0802416
84,1.2307901,1.1545024,"('inferior', 'superior')",0.51018375,0.46856987,0.13471964,0.23630638,0.4414145,0.5196636,0.579277,0.5947605,-0.0154835
36,-1.190137,-1.344213,"('hostile', 'amicable')",-0.70554113,-0.8029517,-2.4220853,-2.4522533,-0.010648138,-0.28068027,-1.0821029,-1.2200246,0.1379217
62,1.1268878,1.286129,"('incompetent', 'brilliant')",-0.8435765,-0.85901135,1.229815,1.1225497,-0.061225113,0.2656268,0.3629753,0.4538235,-0.0908482
13,1.115042,1.1702816,"('impolite', 'polite')",-0.07574803,-0.13282776,1.1498168,1.1155353,0.23408356,0.2593392,0.6057986,0.6030821,0.0027165
31,-1.1082191,-1.1512113,"('evil', 'good')",-1.0566657,-0.9641311,-2.353638,-2.2380214,-1.3177915,-1.3995934,-1.4590786,-1.4382393,-0.0208393
43,1.1007348,1.2160118,"('irresponsible', 'responsible')",-0.5057354,-0.5385346,1.129453,1.0177021,0.85991615,0.8494185,0.6460921,0.6361494,0.0099427
23,1.0925927,1.1539326,"('insincere', 'sincere')",-0.73491746,-0.8599692,0.5500113,0.41772044,6.560261,6.568581,1.8669869,1.8200662,0.0469207
11,1.0558766,1.1319363,"('unhelpful', 'helpful')",-0.6685054,-0.75570536,0.71778476,0.52499235,2.4430137,2.4774215,0.8870424,0.8446612,0.0423812
74,1.0460579,1.0590739,"('undedicated', 'dedicated')",-0.085128084,-0.15650448,1.6066245,1.5443221,0.29361862,0.19422114,0.7152933,0.6602782,0.0550151
0,1.0410448,1.0026561,"('unsociable', 'sociable')",0.45379013,0.31610635,1.602626,1.4163821,-0.36950684,-0.43815783,0.6819885,0.5742467,0.1077418
73,1.0330404,1.024244,"('helpless', 'self-reliant')",1.2226882,1.2171173,-0.207154,-0.29137385,-3.685738,-3.5188212,-0.4092909,-0.3922085,-0.0170824
57,-1.0158063,-0.95847064,"('unimaginative', 'imaginative')",-1.4494416,-1.526402,-0.09215739,-0.055264995,-2.744588,-2.6628432,-1.3254983,-1.3007452,-0.0247531
9,0.96853673,1.0051872,"('unaffectionate', 'caring')",-1.1373214,-1.2092121,-0.75310016,-0.74220794,1.0264618,1.0799857,0.0261443,0.0334382,-0.0072939
46,0.96264994,1.0973567,"('uncompetitive', 'competitive')",-0.16284037,-0.25103763,2.3672373,2.235766,-0.21673234,-0.15630536,0.7375787,0.731445,0.0061337
3,-0.95557225,-0.78072333,"('repellent', 'pleasant')",-1.6851387,-1.7569661,1.415194,1.4383037,0.5175624,0.5442787,-0.1769886,-0.1387768,-0.0382118
54,0.9267023,0.8070742,"('incapable', 'capable')",0.38314694,0.31083825,-0.57743454,-0.75487834,0.94956106,0.8724468,0.420494,0.3088702,0.1116238
33,0.9256896,0.78492755,"('wrong', 'right')",0.7132295,0.7510433,-0.29160613,-0.34213272,-0.68786585,-0.7216014,0.1648618,0.1180592,0.0468026
85,0.9147185,0.70831245,"('insignificant', 'prestigious')",0.9893726,0.93510234,-1.611558,-1.6388618,-0.09980813,-0.15261401,0.0481813,-0.0370153,0.0851966
30,0.9132195,0.993528,"('intolerant', 'tolerant')",-0.41271484,-0.42610484,0.5804493,0.48862153,1.0656189,1.0842935,0.5366432,0.5350845,0.0015587
60,0.8970961,1.0398792,"('inefficient', 'efficient')",-0.25549552,-0.3263239,2.393358,2.283424,0.04958752,0.10958113,0.7711365,0.7766401,-0.0055036
64,-0.8964053,-0.85048175,"('shy', 'confident')",0.028547727,0.02644249,1.501673,1.4160608,-7.0039215,-6.9854264,-1.5925266,-1.5983512,0.0058246
63,0.8439506,0.90363866,"('unperceptive', 'insightful')",-0.49742323,-0.5373695,1.8343706,1.7036788,1.2212532,1.2782639,0.8505378,0.8370529,0.0134849
61,0.82354546,0.7389877,"('illogical', 'logical')",-0.58043814,-0.68330353,0.56288207,0.3954667,0.2485575,0.19313979,0.2636367,0.1610727,0.102564
5,0.8199361,0.7612703,"('distant', 'outgoing')",0.014270294,0.06691185,-2.6906197,-2.5434198,-0.7645417,-0.65271294,-0.6552387,-0.5919877,-0.063251
21,0.8131127,0.9034747,"('immoral', 'moral')",-0.523804,-0.5800988,1.8842304,1.5791827,-0.47712702,-0.51678544,0.424103,0.3464433,0.0776597
66,-0.79203176,-0.98179436,"('inactive', 'active')",-0.5172579,-0.61582625,0.3864942,0.2813797,0.6989616,0.56118584,-0.0559585,-0.1887638,0.1328053
32,0.77323145,0.75170827,"('unkind', 'kind')",-0.3939988,-0.53381574,1.4475942,1.2925725,1.3083107,1.1862063,0.7837844,0.6741679,0.1096165
53,0.744182,0.5855787,"('uncreative', 'creative')",-1.0628179,-1.2000816,-0.30865788,-0.3144698,1.1665971,1.0717009,0.1348258,0.0356821,0.0991437
86,0.7424152,0.7616787,"('uninfluential', 'influential')",-1.6657293,-1.6958151,0.826851,0.8492085,0.12632146,0.13249782,0.0074646,0.0118925,-0.0044279
69,-0.74207366,-0.8921187,"('lazy', 'industrious')",1.1748033,1.2562193,-0.37060672,-0.42308098,-1.326813,-1.3633684,-0.3161725,-0.3555872,0.0394147
24,0.6954456,0.79290396,"('dishonest', 'honest')",-1.1975105,-1.2634336,0.070701465,0.06741284,1.0560032,1.0883293,0.15616,0.1713031,-0.0151431
49,0.6919938,0.80633277,"('unable', 'able')",-0.15289447,-0.14591387,-0.7559193,-0.73949826,-0.46528593,-0.20274815,-0.1705265,-0.0704569,-0.1000696
18,-0.6890857,-0.7528368,"('disagreeable', 'welcoming')",-0.41762337,-0.43223238,-0.51184905,-0.45009625,-0.19148438,-0.31433025,-0.4525106,-0.4873739,0.0348633
4,-0.65979767,-0.61655223,"('disliked', 'liked')",0.113901675,0.1389623,-0.609982,-0.57706636,-6.777591,-6.7196994,-1.9833673,-1.943589,-0.0397783
26,0.6331753,0.5237571,"('hardhearted', 'benevolent')",0.2008389,0.13172638,0.36869,0.56582093,1.1270914,0.9000199,0.5824489,0.5303311,0.0521178
55,0.5969348,0.7737953,"('incompetent', 'clever')",-0.9997215,-1.0121763,2.1952195,2.1394038,0.18383238,0.27734503,0.4940663,0.544592,-0.0505257
45,0.5808637,0.7802826,"('incompetent', 'competent')",-0.40438166,-0.4612586,1.1708169,1.0324023,-0.48840794,-0.4676441,0.2147228,0.2209456,-0.0062228
50,-0.56684226,-0.7153265,"('clumsy', 'skillful')",0.6089487,0.48628372,0.26491484,-0.016486157,0.35963458,0.13895187,0.166664,-0.0266443,0.1933083
22,-0.5568661,-0.46998957,"('untrustworthy', 'trustworthy')",-0.8361507,-0.88138634,1.6642503,1.5979856,-0.819379,-0.8157612,-0.1370364,-0.1422879,0.0052515
48,0.5323702,0.57637185,"('unintelligent', 'intelligent')",-1.007176,-1.0686024,0.47125283,0.4249667,0.49081498,0.49281433,0.1218155,0.1063876,0.0154279
16,-0.5272611,-0.5812952,"('unpopular', 'popular')",-0.00855273,-0.029793888,-0.44838178,-0.59728324,0.47911733,0.51395154,-0.1262696,-0.1736052,0.0473356
20,-0.50141656,-0.45572317,"('rough', 'thoughtful')",-0.78041756,-0.7659912,0.92107964,1.024763,0.8851705,0.89824593,0.131104,0.1753236,-0.0442196
15,0.46835372,0.46611086,"('boring', 'funny')",0.30580702,0.34530565,-1.4246416,-1.406873,0.19693491,0.23013581,-0.1133865,-0.0913302,-0.0220563
28,0.46335933,0.39171365,"('disloyal', 'loyal')",-0.42304805,-0.51053053,0.59937,0.51364726,1.3887621,1.2256099,0.5071108,0.4051101,0.1020007
47,0.4588861,0.57388604,"('stupid', 'smart')",0.3465538,0.37451136,0.8156071,0.8520646,5.6177726,5.620574,1.8097049,1.8552589,-0.045554
1,0.4414525,0.37537158,"('unfriendly', 'friendly')",-0.855505,-0.95664245,-1.0307016,-0.98310465,1.702552,1.5696589,0.0644495,0.0013208,0.0631287
40,-0.42846864,-0.3360683,"('stingy', 'generous')",-0.9490173,-0.9241702,0.18037249,0.38508397,-1.780649,-1.6206522,-0.7444406,-0.6239517,-0.1204889
10,0.415977,0.5657343,"('unsympathetic', 'sympathetic')",-1.0642111,-1.2216859,0.87252694,0.7272103,0.06270027,0.10395773,0.0717483,0.0438041,0.0279442
76,-0.4082154,-0.35710993,"('anxious', 'daring')",-0.5609087,-0.66239595,1.0234705,0.8858148,0.30054057,0.38904208,0.0887218,0.0638378,0.024884
8,-0.40093616,-0.41848546,"('unaffectionate', 'affectionate')",-1.29633,-1.319744,-0.9811268,-0.88154113,0.48689842,0.47057128,-0.5478736,-0.5372998,-0.0105738
41,-0.33665812,-0.25338846,"('unforgiving', 'forgiving')",-0.6034531,-0.6414428,0.90078294,0.94009566,0.11810881,-0.047373123,0.0196951,-0.0005272,0.0202223
42,0.33334747,0.218463,"('unreliable', 'reliable')",0.14304003,0.039113484,1.392297,1.2052748,-3.3015287,-3.319983,-0.358211,-0.4642829,0.1060719
29,-0.29749736,-0.2911959,"('unfair', 'fair')",-0.42987782,-0.4117851,-0.58437204,-0.5640554,-0.52154845,-0.6222975,-0.4583239,-0.4723335,0.0140096
81,-0.29569402,-0.1188561,"('submissive', 'aggressive')",-0.5057643,-0.5228161,2.593605,2.514151,-0.5296484,-0.4408226,0.3156246,0.3579141,-0.0422895
19,0.2654741,0.20061369,"('inhospitable', 'hospitable')",-0.64575434,-0.64652604,-1.599022,-1.6673995,0.0006435439,-0.020750707,-0.4946647,-0.5335156,0.0388509
65,-0.25727537,-0.21131071,"('insecure', 'secure')",-0.8454646,-0.8661815,1.6715468,1.5889151,-0.02097447,-0.04497982,0.1369581,0.1166108,0.0203473
34,0.25361508,0.2721923,"('mean', 'honorable')",-0.24523127,-0.3241323,-0.016870089,-0.07361316,6.527822,6.5811267,1.6298339,1.6138934,0.0159405
17,-0.24979532,-0.22387105,"('nasty', 'nice')",-0.46918997,-0.54485893,-1.373034,-1.377819,-0.71886605,-0.7605472,-0.7027214,-0.726774,0.0240526
52,0.23965019,0.083290175,"('irrational', 'rational')",0.31264734,0.27152726,-2.105228,-2.3243153,-0.4811768,-0.5664697,-0.5085268,-0.6339919,0.1254651
77,-0.21475507,-0.2208285,"('unmotivated', 'motivated')",-0.041025173,-0.18541276,0.51436096,0.37045628,-1.2020218,-1.2377374,-0.2358603,-0.3183806,0.0825203
7,0.21017231,0.3429181,"('insensitive', 'sensitive')",-0.82401764,-0.86199117,0.6025194,0.57988566,1.052771,1.0265853,0.2603613,0.2718495,-0.0114882
38,0.14746888,0.15730494,"('untruthful', 'truthful')",0.057173237,0.039766595,-0.3454451,-0.5245875,0.43387967,0.40989885,0.0732692,0.0205957,0.0526735
14,-0.13256656,0.0455756,"('antisocial', 'social')",-0.45920363,-0.47532088,2.176415,2.2497923,-0.69423425,-0.5988928,0.2226026,0.3052886,-0.082686
51,0.13255158,0.20656538,"('uneducated', 'educated')",-1.0831134,-1.1026359,1.7591746,1.6422412,1.1694776,1.1262398,0.4945226,0.4681026,0.02642
37,0.12385702,0.11022903,"('fake', 'genuine')",-0.712332,-0.66866624,0.25542334,0.09742382,0.46868083,0.52200675,0.0339073,0.0152483,0.018659
59,0.12300302,0.065944165,"('foolish', 'wise')",0.29303795,0.30913162,-1.8552338,-2.0177124,-0.122681975,-0.19995937,-0.3904687,-0.460649,0.0701803
27,-0.12223923,-0.1452935,"('hardhearted', 'softhearted')",-0.9634758,-0.9144064,-0.7590309,-0.70593774,1.2523904,1.1476699,-0.1480889,-0.1544919,0.006403
72,0.107850656,0.06465187,"('unambitious', 'ambitious')",-1.5720289,-1.6394069,0.6262775,0.6765405,-0.53530353,-0.5071934,-0.3433011,-0.351352,0.0080509
68,0.10301307,0.13157392,"('dependent', 'independent')",-0.44241875,-0.37718895,0.5114176,0.44902495,-0.19157182,-0.11436905,-0.00489,0.0222602,-0.0271502
80,0.10295782,0.2122556,"('dominated', 'dominating')",0.09291246,0.09579717,2.128777,2.044763,-0.9268727,-0.85473055,0.3494437,0.3745213,-0.0250776
