,burlington_male,burlington_female,tuple,northern_male,northern_female,santa_male,santa_female,fe_male,fe_female,cp_male,cp_female,average_male,average_female,male-female
80,1.7872549,2.448149,"('dominated', 'dominating')",-0.010031968,0.50551707,-0.48775208,-0.48838192,-0.4891363,-0.6645553,-0.58668405,-0.96587926,0.0427301,0.1669699,-0.1242398
71,1.6584169,1.7100538,"('diffident', 'self-confident')",1.2096314,1.2422873,-0.46010032,-0.3480239,0.75754964,0.94374835,0.7294725,0.8227128,0.778994,0.8741557,-0.0951617
31,-1.6415544,-2.737245,"('evil', 'good')",-0.415145,-0.8728665,0.18469006,0.046126895,0.17718606,0.23608385,-0.91793436,-0.7149396,-0.5225515,-0.8085682,0.2860167
63,1.5422926,2.0220582,"('unperceptive', 'insightful')",0.269314,0.46160495,-1.2272182,-1.1143422,0.28747183,0.18814209,0.379968,0.3027963,0.2503657,0.3720519,-0.1216862
18,-1.5321647,-1.2557111,"('disagreeable', 'welcoming')",-0.3162893,-0.11040976,0.55000347,0.86223423,0.02172149,0.29393715,-0.14591095,-0.2219659,-0.284528,-0.0863831,-0.1981449
12,1.3965276,1.3392867,"('unsupportive', 'supportive')",0.5553439,0.26925594,-0.9560747,-1.0225195,-0.5566025,-0.8095146,-1.3502032,-1.5185423,-0.1822017,-0.3484067,0.166205
51,1.3474321,2.1406062,"('uneducated', 'educated')",-0.11273521,0.2843426,-0.95911795,-0.7911074,-0.15887949,-0.105446815,0.5106955,0.043067977,0.125479,0.3142925,-0.1888135
49,-1.3181536,-0.88275987,"('unable', 'able')",-1.6903243,-1.3710682,-1.4174178,-0.99744725,-1.3870662,-1.0465139,-0.26138806,-0.2515224,-1.2148701,-0.9098623,-0.3050078
77,-1.2846439,-1.4800503,"('unmotivated', 'motivated')",-0.53454286,-0.68124735,-1.515408,-1.7304833,-0.38726825,-0.71302634,-1.4516593,-1.8749645,-1.0347045,-1.2959543,0.2612498
54,-1.2448777,-1.1733444,"('incapable', 'capable')",-1.3063755,-1.3890474,-0.3430974,-0.17357016,-0.95669824,-0.7476759,1.0994682,1.0575037,-0.5503161,-0.4852268,-0.0650893
75,-1.2384065,-1.9525259,"('meek', 'impulsive')",0.143406,-0.039673932,1.1429585,1.0325797,0.17065604,0.052035015,-0.6383897,-0.5798901,-0.0839551,-0.297495,0.2135399
