,apartment_male,apartment_female,tuple,investment_male,investment_female,&_male,&_female,mgmt_male,mgmt_female,co_male,co_female,average_male,average_female,male-female
31,-2.6384387,-2.5416,"('evil', 'good')",-2.037811,-1.9513526,-2.172123,-2.0444121,-1.6654986,-1.5671804,-1.4136508,-1.3220992,-1.9855043,-1.8853287,-0.1001756
60,2.4186382,2.2034256,"('inefficient', 'efficient')",1.4695967,1.193698,2.4471302,2.2834685,0.53473955,0.31144455,0.5227609,0.19961989,1.4785731,1.2383314,0.2402417
16,-2.0990121,-2.0771716,"('unpopular', 'popular')",-0.9487991,-0.90678346,-0.63892883,-0.62834835,-0.70316714,-0.6972888,-0.4398534,-0.324193,-0.9659521,-0.926757,-0.0391951
14,2.0018444,2.0449846,"('antisocial', 'social')",2.23576,2.151972,1.6914874,1.7120321,0.9948064,1.1131703,0.21726784,0.16853225,1.4282331,1.4381383,-0.0099052
52,-1.9480141,-1.8700374,"('irrational', 'rational')",-1.3537998,-1.2516704,-1.2983332,-1.331729,-0.40423033,-0.3849427,-0.52427036,-0.40785322,-1.1057296,-1.0492465,-0.0564831
43,1.8948879,1.833871,"('irresponsible', 'responsible')",1.2912779,1.263224,1.8123931,1.7762511,0.51885605,0.48671764,1.2559769,1.069377,1.3546783,1.2858882,0.0687901
39,1.8555616,1.9880309,"('exploitative', 'cooperative')",0.14702868,0.24799323,0.9647121,1.0767181,-0.34836063,-0.15207836,0.67009115,0.6823653,0.6578066,0.7686058,-0.1107992
30,1.8248842,1.792489,"('intolerant', 'tolerant')",1.746032,1.699013,1.4388915,1.4206731,0.8042297,0.89362836,0.59363896,0.6211926,1.2815352,1.2853992,-0.003864
75,-1.8223475,-1.745771,"('meek', 'impulsive')",0.009584561,0.11241456,-0.6437887,-0.622978,0.29844192,0.33063415,-0.5170411,-0.48105484,-0.5350302,-0.481351,-0.0536792
84,-1.784693,-1.7807027,"('inferior', 'superior')",-1.3426704,-1.255914,0.09614596,0.14508359,-0.21653654,-0.20906903,0.22494689,0.23798557,-0.6045614,-0.5725233,-0.0320381
1,-1.7477062,-1.9248842,"('unfriendly', 'friendly')",0.533429,0.39777812,-0.06305827,-0.26400635,-0.5318839,-0.8635691,1.4042803,1.2716463,-0.0809878,-0.276607,0.1956192
85,-1.7342936,-1.5070072,"('insignificant', 'prestigious')",0.52319115,0.7859241,-1.4157045,-1.364227,0.2474083,0.41302735,-0.9929296,-0.8426922,-0.6744657,-0.502995,-0.1714707
