,emc_male,emc_female,tuple,corp_male,corp_female,ma_male,ma_female,average_male,average_female,male-female
8,-1.8426058,-1.7316184,"('unaffectionate', 'affectionate')",-0.3523081,-0.70562035,1.4085977,1.263536,-0.2621054,-0.3912342,0.1291288
1,-1.7966448,-1.7066087,"('unfriendly', 'friendly')",-0.033944465,-0.1903985,2.291661,2.0315466,0.1536906,0.0448465,0.1088441
6,-1.5604426,-1.3182636,"('distant', 'open')",-1.5906191,-1.705625,0.002941899,-0.15184903,-1.0493732,-1.0585792,0.009206
31,-1.4333338,-1.1793551,"('evil', 'good')",-0.06629634,-0.23944871,-0.9065538,-1.2065781,-0.8020613,-0.8751273,0.073066
80,1.412464,1.0222085,"('dominated', 'dominating')",0.39770275,0.4161945,-0.21250524,-0.23819654,0.5325539,0.4000688,0.1324851
9,-1.365818,-1.2976958,"('unaffectionate', 'caring')",-0.0918418,-0.32486537,2.0449104,1.9269565,0.1957502,0.1014651,0.0942851
62,1.327699,1.2438627,"('incompetent', 'brilliant')",0.90279007,1.292049,0.67817646,0.9671382,0.9695551,1.1676833,-0.1981282
36,-1.1845788,-0.8555949,"('hostile', 'amicable')",-0.8955143,-0.7599194,0.018969268,-0.07340652,-0.6870413,-0.5629736,-0.1240677
60,1.1715026,0.7679099,"('inefficient', 'efficient')",-0.28859127,-0.30886963,0.060014278,0.059985306,0.3143085,0.1730085,0.1413
39,1.1234034,1.1101078,"('exploitative', 'cooperative')",0.6757686,0.5616698,-0.06726389,-0.07267628,0.5773027,0.5330338,0.0442689
66,-1.0955158,-0.98177123,"('inactive', 'active')",-0.57604665,-0.7441756,-0.026886836,-0.30014676,-0.5661498,-0.6753646,0.1092148
35,-1.0880036,-0.6280906,"('corrupt', 'incorrupt')",-1.1905789,-0.73030776,-0.53985226,-0.45079377,-0.9394782,-0.6030641,-0.3364141
5,-1.0366992,-0.6955092,"('distant', 'outgoing')",-0.7656981,-0.7524092,-0.33296916,-0.29954824,-0.7117888,-0.5824889,-0.1292999
87,1.0331169,0.72692597,"('unsuccessful', 'successful')",2.0774374,1.6033047,0.6012083,0.6540654,1.2372541,0.9947654,0.2424887
38,-1.0283068,-0.69467485,"('untruthful', 'truthful')",-0.7339435,-0.46315843,0.6931763,0.93332064,-0.3563581,-0.0748376,-0.2815205
79,-1.0021905,-0.6069637,"('wavering', 'unwavering')",-1.7124443,-1.1815385,-0.09179082,0.14228237,-0.9354753,-0.5487399,-0.3867354
54,-0.9707656,-0.84900296,"('incapable', 'capable')",-0.52145386,-0.2405139,1.4383788,1.4464285,-0.0179469,0.1189706,-0.1369175
53,-0.9645466,-1.0357925,"('uncreative', 'creative')",-0.35880223,-0.4489853,0.90163386,0.77728814,-0.1405717,-0.2358299,0.0952582
19,-0.94771755,-0.5931487,"('inhospitable', 'hospitable')",-0.6694185,-0.31367043,-0.25534683,-0.05736678,-0.6241609,-0.3213953,-0.3027656
82,-0.9276669,-0.787704,"('poor', 'rich')",0.5488024,1.0510162,6.8186507,7.315391,2.1465953,2.5262345,-0.3796392
61,0.92095464,0.776817,"('illogical', 'logical')",0.41796765,0.39324418,0.5853017,0.5218808,0.641408,0.5639807,0.0774273
73,0.9033832,1.2050495,"('helpless', 'self-reliant')",1.0796999,1.0777569,-3.6480877,-3.667335,-0.5550016,-0.4615095,-0.0934921
18,-0.8991816,-0.8016198,"('disagreeable', 'welcoming')",-0.07246218,-0.17177337,0.06886028,-0.046224467,-0.3009278,-0.3398726,0.0389448
56,0.88035774,1.1086024,"('impractical', 'practical')",-0.12547353,0.6783834,-0.51467824,0.18705225,0.0800687,0.6580127,-0.577944
81,0.7912896,0.77240676,"('submissive', 'aggressive')",-0.054460138,0.04225245,-0.83954364,-0.56014603,-0.034238,0.0848377,-0.1190757
