,devon_male,devon_female,tuple,energy_male,energy_female,corp_male,corp_female,average_male,average_female,male-female
85,-4.2723885,-1.2289158,"('insignificant', 'prestigious')",0.15377355,0.6218805,-0.94303006,-0.6788328,-1.687215,-0.4286227,-1.2585923
60,4.2264223,0.7394625,"('inefficient', 'efficient')",1.8314371,1.2822794,0.82272923,0.30450305,2.2935295,0.7754149,1.5181146
31,-4.1983075,-1.1528307,"('evil', 'good')",-1.184978,-0.77649486,-1.7118212,-1.5986366,-2.3650355,-1.1759874,-1.1890481
36,-4.136885,-1.148347,"('hostile', 'amicable')",-0.8252894,-0.3515419,-1.0488772,-0.9064526,-2.0036839,-0.8021139,-1.20157
62,3.919518,1.8367836,"('incompetent', 'brilliant')",0.53764206,0.24731696,0.9859789,0.6992718,1.8143797,0.9277908,0.8865889
55,3.8616326,1.0685753,"('incompetent', 'clever')",-0.29662642,-0.6460352,0.7880232,0.43708086,1.4510098,0.2865403,1.1644695
35,-3.8607438,-1.1147826,"('corrupt', 'incorrupt')",-0.7497324,-0.17528746,-1.4624557,-1.0148587,-2.0243106,-0.7683096,-1.256001
46,3.8301485,1.2087178,"('uncompetitive', 'competitive')",0.45723253,-0.004692223,-0.15718856,-0.12777662,1.3767309,0.3587497,1.0179812
69,-3.7101002,-1.6085403,"('lazy', 'industrious')",1.0177637,1.2009348,-1.462286,-1.2288482,-1.3848742,-0.5454846,-0.8393896
80,3.6697013,1.4662018,"('dominated', 'dominating')",0.2821923,-0.021585435,0.031202406,0.12916094,1.3276986,0.5245924,0.8031062
76,3.4984198,1.0638481,"('anxious', 'daring')",-0.109999254,-0.3523695,0.6064943,0.4453954,1.3316383,0.3856247,0.9460136
10,3.4662192,1.2015234,"('unsympathetic', 'sympathetic')",-0.71513695,-1.0064983,0.1294271,-0.17413537,0.9601698,0.0069632,0.9532066
14,3.3576775,1.3554264,"('antisocial', 'social')",0.94295263,0.60438085,0.4510073,0.23711081,1.5838792,0.732306,0.8515732
