,sovereign_male,sovereign_female,tuple,bancorp_male,bancorp_female,inc_male,inc_female,average_male,average_female,male-female
26,1.8661804,1.7801071,"('hardhearted', 'benevolent')",0.7662066,1.0132636,1.540614,1.647275,1.3910004,1.4802152,-0.0892148
39,1.7108569,1.6165037,"('exploitative', 'cooperative')",0.7311312,0.6237659,0.00019182591,-0.07733915,0.81406,0.7209768,0.0930832
12,1.68038,1.6655805,"('unsupportive', 'supportive')",-0.36095387,-0.12522694,-1.6980134,-1.485436,-0.1261958,0.0183059,-0.1445017
23,1.625104,1.9047284,"('insincere', 'sincere')",0.36222136,0.27694988,5.957785,5.960622,2.6483701,2.7140999,-0.0657298
73,1.6187444,1.7067505,"('helpless', 'self-reliant')",0.74618363,1.029246,-3.310662,-3.395526,-0.3152447,-0.2198431,-0.0954016
74,1.5861577,1.632724,"('undedicated', 'dedicated')",0.38160327,0.2912812,0.2008142,0.50404835,0.7228583,0.8093512,-0.0864929
9,1.5829645,1.6515855,"('unaffectionate', 'caring')",0.6205981,0.79982966,1.4584838,1.4565471,1.2206821,1.3026541,-0.081972
75,-1.441858,-1.6572431,"('meek', 'impulsive')",-0.14768678,0.08756034,-0.43902513,-0.49301353,-0.67619,-0.6875655,0.0113755
56,1.4242886,1.3555077,"('impractical', 'practical')",0.6070421,0.31945834,0.098213434,0.32880405,0.709848,0.6679234,0.0419246
82,-1.3911386,-1.2502855,"('poor', 'rich')",-0.95401603,-0.78833205,6.4753194,6.520218,1.3767217,1.4938668,-0.1171451
16,-1.3885382,-1.2183938,"('unpopular', 'popular')",-0.016072515,0.2256903,0.37505436,0.44539636,-0.3431855,-0.1824357,-0.1607498
44,-1.3573568,-1.4993291,"('prejudiced', 'unprejudiced')",-0.42485797,-0.4514824,-1.3005075,-1.3488802,-1.0275741,-1.0998972,0.0723231
71,1.3356973,1.4331406,"('diffident', 'self-confident')",0.7997243,1.2230515,0.7251689,0.7463497,0.9535302,1.1341807,-0.1806505
79,1.2909209,1.1961082,"('wavering', 'unwavering')",0.8301259,0.88970554,-0.01831109,0.060577184,0.7009119,0.7154636,-0.0145517
84,1.2869259,1.1987822,"('inferior', 'superior')",-0.34226173,-0.34151515,0.50728816,0.46724722,0.4839841,0.4415048,0.0424793
43,1.2320708,1.0731761,"('irresponsible', 'responsible')",-0.84789854,-0.81198674,0.62221307,0.7536918,0.3354618,0.3382937,-0.0028319
30,1.2195214,1.4200184,"('intolerant', 'tolerant')",-0.53034925,-0.59789735,0.8575996,1.2477207,0.5155906,0.6899473,-0.1743567
54,1.1754508,1.301727,"('incapable', 'capable')",1.0527383,0.9673127,1.2175236,1.2973968,1.1485709,1.1888121,-0.0402412
63,1.1669223,1.2849829,"('unperceptive', 'insightful')",0.28010446,0.25903547,1.17147,1.3808895,0.8728323,0.9749693,-0.102137
24,1.1501837,1.156467,"('dishonest', 'honest')",-1.3463448,-1.1901217,0.8737977,0.95053303,0.2258789,0.3056261,-0.0797472
72,1.0766623,0.9790627,"('unambitious', 'ambitious')",-0.9594075,-1.0651599,-0.68716246,-0.95337296,-0.1899692,-0.3464901,0.1565209
28,0.9975266,0.936997,"('disloyal', 'loyal')",-0.72607064,-0.7099101,0.8448811,0.91605353,0.3721124,0.3810468,-0.0089344
25,-0.9851736,-0.93205607,"('egoistic', 'altruistic')",0.7342222,0.8350344,1.4759606,1.4961548,0.4083364,0.4663777,-0.0580413
83,0.9177573,0.7486564,"('powerless', 'powerful')",0.58232725,0.44287008,-0.9124973,-0.982177,0.1958624,0.0697831,0.1260793
81,-0.8449545,-0.7348823,"('submissive', 'aggressive')",-1.1817516,-1.4022582,-0.82654965,-0.6570246,-0.9510852,-0.9313884,-0.0196968
68,-0.8412312,-0.905707,"('dependent', 'independent')",-1.647787,-1.718334,-0.49151444,-0.596538,-0.9935109,-1.0735264,0.0800155
67,0.83186156,1.0034692,"('doubtful', 'determined')",0.09107582,0.20595388,-0.79773194,-0.5608902,0.0417352,0.2161776,-0.1744424
7,0.8303688,0.8203912,"('insensitive', 'sensitive')",-0.1258866,-0.23484519,0.589294,0.6766802,0.4312588,0.4207421,0.0105167
31,-0.82353806,-0.9677098,"('evil', 'good')",0.38444903,0.469114,-0.99114364,-1.077411,-0.4767442,-0.5253356,0.0485914
52,-0.8171227,-0.6601005,"('irrational', 'rational')",-0.24088906,0.05304392,-0.32919702,-0.37149757,-0.4624029,-0.3261847,-0.1362182
3,-0.7952434,-0.80939966,"('repellent', 'pleasant')",-0.38542402,-0.6652407,0.16972783,0.020839037,-0.3369799,-0.4846004,0.1476205
38,0.7944973,0.9554718,"('untruthful', 'truthful')",0.20399414,0.47836244,0.10500298,0.4245749,0.3678315,0.6194697,-0.2516382
42,0.79068786,0.7417212,"('unreliable', 'reliable')",0.72410774,0.44749373,-2.5962927,-2.4948597,-0.3604991,-0.4352149,0.0747158
13,0.7769985,0.7745381,"('impolite', 'polite')",0.09005066,-0.15228479,-0.068492904,0.06482019,0.2661854,0.2290245,0.0371609
22,-0.72591794,-0.9843326,"('untrustworthy', 'trustworthy')",-0.9580003,-1.3150386,-0.6849837,-0.7116299,-0.789634,-1.003667,0.214033
