,schlumberger_male,schlumberger_female,tuple,ltd_male,ltd_female,average_male,average_female,male-female
10,-3.0878563,-2.8027196,"('unsympathetic', 'sympathetic')",0.045101773,0.19234976,-1.5213772,-1.305185,-0.2161922
86,-3.0070117,-2.668241,"('uninfluential', 'influential')",0.1665831,0.19672713,-1.4202143,-1.235757,-0.1844573
11,-2.4949439,-2.2923472,"('unhelpful', 'helpful')",1.5278817,1.6929585,-0.4835311,-0.2996944,-0.1838367
12,-2.4486833,-2.0901518,"('unsupportive', 'supportive')",-1.1739181,-1.0960797,-1.8113008,-1.5931158,-0.218185
0,-2.3591363,-2.0473819,"('unsociable', 'sociable')",-0.2922248,-0.19757906,-1.3256806,-1.1224805,-0.2032001
60,-2.1884177,-1.6234083,"('inefficient', 'efficient')",0.15747057,0.34783962,-1.0154736,-0.6377844,-0.3776892
48,-2.1626925,-1.8781214,"('unintelligent', 'intelligent')",0.7151298,0.7673296,-0.7237813,-0.5553959,-0.1683854
35,2.152812,1.8670301,"('corrupt', 'incorrupt')",-0.7099935,-0.7591754,0.7214093,0.5539274,0.1674819
69,2.1507125,1.8253676,"('lazy', 'industrious')",-0.04822669,-0.15227866,1.0512429,0.8365445,0.2146984
57,-2.0763896,-1.8139851,"('unimaginative', 'imaginative')",-0.1326482,-0.4589883,-1.1045189,-1.1364868,0.0319679
23,-2.0372093,-1.6033764,"('insincere', 'sincere')",4.2369304,4.80832,1.0998605,1.6024718,-0.5026113
28,-1.9951626,-1.4905739,"('disloyal', 'loyal')",0.78216213,1.0826217,-0.6065003,-0.2039761,-0.4025242
55,-1.9679638,-1.7130333,"('incompetent', 'clever')",0.5232413,0.65630203,-0.7223613,-0.5283656,-0.1939957
21,-1.8646581,-1.6830628,"('immoral', 'moral')",-1.2977693,-1.3149511,-1.5812137,-1.499007,-0.0822067
1,-1.7987775,-1.2185506,"('unfriendly', 'friendly')",1.5326821,1.859386,-0.1330477,0.3204177,-0.4534654
46,-1.7677828,-1.5488198,"('uncompetitive', 'competitive')",0.43537247,0.15713662,-0.6662052,-0.6958416,0.0296364
43,-1.753953,-1.3960028,"('irresponsible', 'responsible')",1.1912429,1.372433,-0.281355,-0.0117849,-0.2695701
63,-1.7445349,-1.4178853,"('unperceptive', 'insightful')",1.2454896,1.3753155,-0.2495226,-0.0212849,-0.2282377
13,-1.7019789,-1.4777403,"('impolite', 'polite')",-0.5992541,-0.5605604,-1.1506165,-1.0191504,-0.1314661
24,-1.637167,-1.2976235,"('dishonest', 'honest')",0.020303601,0.38197502,-0.8084317,-0.4578242,-0.3506075
32,-1.6110393,-1.3111148,"('unkind', 'kind')",0.34495586,0.588048,-0.6330417,-0.3615334,-0.2715083
62,-1.60102,-1.211109,"('incompetent', 'brilliant')",0.6094612,0.9281167,-0.4957794,-0.1414962,-0.3542832
38,-1.5325382,-1.1800636,"('untruthful', 'truthful')",0.13221937,0.53092057,-0.7001594,-0.3245715,-0.3755879
75,1.4902602,1.3068309,"('meek', 'impulsive')",-0.040044498,-0.18928805,0.7251078,0.5587714,0.1663364
78,-1.467218,-1.1043892,"('nonresilient', 'resilient')",0.5840775,0.6830437,-0.4415703,-0.2106727,-0.2308976
