,verizon_male,verizon_female,tuple,communications_male,communications_female,inc_male,inc_female,average_male,average_female,male-female
10,-2.8592951,-2.8633351,"('unsympathetic', 'sympathetic')",-0.13613127,0.09084496,-0.6588157,-0.7080531,-1.2180807,-1.1601811,-0.0578996
69,2.6406295,2.7013133,"('lazy', 'industrious')",0.115931176,0.008128822,-0.032954574,-0.18884286,0.9078687,0.8401998,0.0676689
85,2.5415814,2.3181436,"('insignificant', 'prestigious')",-0.21909855,-0.45989412,1.1009241,0.7672315,1.1411357,0.8751603,0.2659754
0,-2.4664505,-2.6611106,"('unsociable', 'sociable')",-0.43723422,-0.5999777,-0.9438904,-1.0186232,-1.282525,-1.4265706,0.1440456
45,-2.4308443,-2.4494157,"('incompetent', 'competent')",-0.077730075,-0.030493446,-0.7221476,-0.9153654,-1.0769073,-1.1317582,0.0548509
43,-2.3942704,-2.4101908,"('irresponsible', 'responsible')",0.31040305,0.6822269,-0.08533575,-0.022488259,-0.7230677,-0.5834841,-0.1395836
55,-2.3508651,-2.382763,"('incompetent', 'clever')",0.30723977,0.41905642,-0.35662636,-0.43000418,-0.8000839,-0.7979035,-0.0021804
35,2.2804835,2.260947,"('corrupt', 'incorrupt')",-1.4778066,-1.6533178,0.22167474,0.032526605,0.3414505,0.2133853,0.1280652
36,2.2505944,1.9565026,"('hostile', 'amicable')",-1.1283817,-1.5066339,0.6699428,0.42148566,0.5973852,0.2904514,0.3069338
81,-2.1685789,-2.0700405,"('submissive', 'aggressive')",1.0116748,1.0876873,-1.2469417,-1.1753861,-0.8012819,-0.7192464,-0.0820355
13,-2.1637113,-2.2118585,"('impolite', 'polite')",0.052060142,0.07372555,-0.4649713,-0.26065224,-0.8588742,-0.7995951,-0.0592791
76,-2.1464694,-1.9974521,"('anxious', 'daring')",0.28773952,0.82245183,-0.4062472,-0.21109535,-0.7549923,-0.4620319,-0.2929604
14,-2.0753455,-2.145763,"('antisocial', 'social')",1.2191062,1.3292987,-1.1088921,-1.2043048,-0.6550438,-0.6735897,0.0185459
70,-1.9208013,-1.8099401,"('lethargic', 'energetic')",0.27528808,0.7073056,0.2552025,0.32726485,-0.4634369,-0.2584565,-0.2049804
57,-1.912151,-1.9314284,"('unimaginative', 'imaginative')",-0.37632948,-0.22927615,-2.4341266,-2.5102825,-1.5742024,-1.5569957,-0.0172067
30,-1.9102745,-1.9145592,"('intolerant', 'tolerant')",1.0720043,1.1676874,0.72996986,0.7517047,-0.0361001,0.001611,-0.0377111
62,-1.8868517,-1.6986341,"('incompetent', 'brilliant')",0.87558466,1.3090165,-0.5179101,-0.260714,-0.5097257,-0.2167772,-0.2929485
56,-1.8320034,-1.6431004,"('impractical', 'practical')",0.7830522,1.2031373,-0.90120804,-0.684863,-0.6500531,-0.374942,-0.2751111
33,1.8159821,1.8404582,"('wrong', 'right')",0.75011915,0.65606844,-0.04166543,-0.08213605,0.8414787,0.8047969,0.0366818
46,-1.7845646,-1.6994913,"('uncompetitive', 'competitive')",0.8381694,1.119988,-1.0805802,-1.0898081,-0.6756585,-0.5564371,-0.1192214
79,1.7106223,1.6332865,"('wavering', 'unwavering')",-0.73911345,-0.7504862,0.2574155,0.09157559,0.4096415,0.3247919,0.0848496
31,1.6880563,1.4793254,"('evil', 'good')",-0.740805,-1.1479245,-0.51271546,-0.83964306,0.1448453,-0.1694141,0.3142594
60,-1.6474301,-1.4601729,"('inefficient', 'efficient')",2.0381703,2.409871,-0.6336036,-0.33439976,-0.0809544,0.2050995,-0.2860539
23,-1.5885773,-1.5547717,"('insincere', 'sincere')",0.5891482,0.8970486,4.8441415,5.066899,1.2815708,1.4697253,-0.1881545
21,-1.5801067,-1.6440744,"('immoral', 'moral')",0.9687707,1.0562819,-1.0539771,-1.0615424,-0.5551044,-0.5497783,-0.0053261
7,-1.5416249,-1.5785434,"('insensitive', 'sensitive')",0.22371876,0.48539212,0.68723434,0.6427736,-0.2102239,-0.1501259,-0.060098
72,-1.5031626,-1.3976676,"('unambitious', 'ambitious')",0.1516957,0.4434705,-1.0298425,-0.7264661,-0.7937698,-0.5602211,-0.2335487
28,-1.4252156,-1.4252787,"('disloyal', 'loyal')",-0.69149715,-0.74212456,0.72248095,0.83927476,-0.4647439,-0.4427095,-0.0220344
86,-1.3857166,-1.5498233,"('uninfluential', 'influential')",0.9395312,0.6573733,-0.07487219,-0.3318487,-0.1736858,-0.4080996,0.2344138
24,-1.3275577,-1.4832214,"('dishonest', 'honest')",0.40851143,0.3242917,0.46071485,0.53439015,-0.1527771,-0.2081799,0.0554028
65,-1.3264517,-1.4145025,"('insecure', 'secure')",0.35721007,0.34902862,-0.64412653,-0.4825644,-0.5377894,-0.5160127,-0.0217767
51,-1.3064046,-1.4660401,"('uneducated', 'educated')",0.33563986,0.2805367,0.4542015,0.34760255,-0.1721878,-0.2793003,0.1071125
59,1.2915385,1.0646077,"('foolish', 'wise')",-0.29815087,-0.5061935,0.57356215,0.5002817,0.5223166,0.3528986,0.169418
6,1.290897,1.2853324,"('distant', 'open')",-1.152878,-1.2277635,0.51015085,0.4587394,0.2160566,0.1721028,0.0439538
73,1.2627885,1.457316,"('helpless', 'self-reliant')",0.3974233,0.7307205,-2.8600464,-2.6899085,-0.3999449,-0.1672907,-0.2326542
5,1.2564716,1.370501,"('distant', 'outgoing')",-0.62039953,-0.53310585,-0.08098846,-0.063934036,0.1850279,0.2578204,-0.0727925
22,-1.24177,-1.2335881,"('untrustworthy', 'trustworthy')",0.50871927,0.55332553,-0.9856071,-0.99889106,-0.572886,-0.5597179,-0.0131681
41,-1.2398127,-1.3753432,"('unforgiving', 'forgiving')",-0.38152054,-0.55426615,0.35980988,0.2651176,-0.4205078,-0.5548306,0.1343228
37,-1.1877695,-1.204814,"('fake', 'genuine')",-0.24356169,0.117837146,0.1253468,0.23881654,-0.4353281,-0.2827201,-0.152608
47,-1.139759,-1.202921,"('stupid', 'smart')",0.27171883,0.44106123,4.9284563,4.8848186,1.3534721,1.3743196,-0.0208475
11,-1.1217676,-0.9516981,"('unhelpful', 'helpful')",0.83158076,1.0750824,1.3262129,1.6256559,0.345342,0.5830134,-0.2376714
50,1.0467397,1.1303471,"('clumsy', 'skillful')",-0.48635358,-0.1035724,0.1108236,0.20683567,0.2237366,0.4112035,-0.1874669
48,-0.99223036,-1.1999305,"('unintelligent', 'intelligent')",0.6229552,0.5051323,0.5574766,0.38026384,0.0627338,-0.1048448,0.1675786
19,0.976416,1.0072502,"('inhospitable', 'hospitable')",-0.41021836,-0.31283468,0.18016942,0.1308513,0.248789,0.2750889,-0.0262999
75,0.9718838,1.1008689,"('meek', 'impulsive')",-0.44379786,-0.2893541,-0.25894126,-0.32529402,0.0897149,0.1620736,-0.0723587
25,0.9553027,0.8658174,"('egoistic', 'altruistic')",0.86724544,0.6010121,2.0514557,1.9562653,1.2913346,1.1410316,0.150303
82,-0.9133121,-0.85508454,"('poor', 'rich')",0.9475572,1.2656451,5.378272,5.4478297,1.8041724,1.9527968,-0.1486244
80,-0.8732148,-0.9397429,"('dominated', 'dominating')",0.7151741,0.49782452,-1.0250987,-1.0235138,-0.3943798,-0.4884774,0.0940976
63,-0.8567403,-0.7970449,"('unperceptive', 'insightful')",0.9602177,1.198777,0.75525475,0.8420892,0.2862441,0.4146071,-0.128363
68,-0.8482675,-0.94312185,"('dependent', 'independent')",-0.12735747,-0.12645541,-0.5426142,-0.6389427,-0.5060798,-0.5695066,0.0634268
64,-0.8286561,-0.8826219,"('shy', 'confident')",-0.07577106,-0.02391259,-6.3740463,-6.3358927,-2.4261578,-2.4141424,-0.0120154
4,0.75114155,0.5873334,"('disliked', 'liked')",-1.1011271,-1.3111227,-5.940083,-6.139099,-2.0966895,-2.2876294,0.1909399
58,-0.7301326,-0.7365255,"('undiscriminating', 'discriminating')",1.6048676,1.7713389,-0.07346233,-0.07209563,0.2670909,0.3209059,-0.053815
71,0.7196628,0.80043936,"('diffident', 'self-confident')",0.40850005,0.5697107,0.60265374,0.6071976,0.5769389,0.6591159,-0.082177
3,-0.7151813,-0.673363,"('repellent', 'pleasant')",0.78652614,1.0363449,0.20215723,0.1397267,0.0911674,0.1675695,-0.0764021
42,-0.69265705,-0.34255537,"('unreliable', 'reliable')",0.16375847,0.92724484,-3.0691378,-2.726313,-1.1993454,-0.7138745,-0.4854709
