,ciena_male,ciena_female,tuple,corp_male,corp_female,average_male,average_female,male-female
86,-1.5836458,-1.456387,"('uninfluential', 'influential')",-0.3925314,-0.6968989,-0.9880886,-1.076643,0.0885544
10,-1.5048518,-1.2428526,"('unsympathetic', 'sympathetic')",-0.41198203,-0.35881588,-0.9584169,-0.8008342,-0.1575827
23,-1.3514998,-0.875964,"('insincere', 'sincere')",5.2048497,5.1821346,1.926675,2.1530852,-0.2264102
1,-1.337539,-1.3927175,"('unfriendly', 'friendly')",0.8691551,0.59936136,-0.2341919,-0.3966781,0.1624862
53,-1.3165599,-1.2042621,"('uncreative', 'creative')",0.28529274,0.17478116,-0.5156336,-0.5147405,-0.0008931
2,1.3028055,1.5094181,"('unlikable', 'likable')",0.63911194,0.8649603,0.9709587,1.1871892,-0.2162305
19,-1.2822846,-1.1755878,"('inhospitable', 'hospitable')",-0.9860177,-1.1060356,-1.1341512,-1.1408117,0.0066605
57,-1.1851752,-0.9552149,"('unimaginative', 'imaginative')",-2.8703828,-2.7836642,-2.0277791,-1.8694396,-0.1583395
38,-1.09,-0.6513209,"('untruthful', 'truthful')",-0.8528566,-0.54798526,-0.9714283,-0.5996531,-0.3717752
39,1.0236436,0.9498962,"('exploitative', 'cooperative')",0.35181117,0.3187967,0.6877274,0.6343465,0.0533809
79,-1.0179543,-0.7700877,"('wavering', 'unwavering')",-1.1541936,-1.163144,-1.086074,-0.9666159,-0.1194581
28,-1.002529,-0.5991659,"('disloyal', 'loyal')",0.67243457,0.6973726,-0.1650472,0.0491033,-0.2141505
69,0.99568045,0.54387283,"('lazy', 'industrious')",-0.722188,-0.769991,0.1367462,-0.1130591,0.2498053
13,-0.9734326,-0.6655271,"('impolite', 'polite')",-0.91264826,-0.695273,-0.9430404,-0.6804,-0.2626404
82,-0.9620064,-0.7305326,"('poor', 'rich')",5.839812,5.714098,2.4389026,2.4917827,-0.0528801
45,-0.9559084,-0.6929442,"('incompetent', 'competent')",0.11008804,0.08413627,-0.4229102,-0.304404,-0.1185062
5,-0.9413076,-0.77988756,"('distant', 'outgoing')",-1.2141505,-1.1401296,-1.0777291,-0.9600086,-0.1177205
9,-0.9214018,-0.71558607,"('unaffectionate', 'caring')",0.44316053,0.25696626,-0.2391206,-0.2293099,-0.0098107
6,-0.8852987,-0.75813836,"('distant', 'open')",-1.0243064,-1.1924437,-0.9548026,-0.975291,0.0204884
11,-0.85118526,-0.42302442,"('unhelpful', 'helpful')",1.1216569,1.4571785,0.1352358,0.517077,-0.3818412
85,0.78532875,0.7107404,"('insignificant', 'prestigious')",-0.23579213,-0.49050254,0.2747683,0.1101189,0.1646494
51,-0.77088314,-0.74267495,"('uneducated', 'educated')",0.17507932,-0.018096164,-0.2979019,-0.3803855,0.0824836
24,-0.76794744,-0.5710914,"('dishonest', 'honest')",0.37158558,0.39633864,-0.1981809,-0.0873764,-0.1108045
78,-0.75514835,-0.9057734,"('nonresilient', 'resilient')",-0.095971964,-0.29605886,-0.4255601,-0.6009161,0.175356
46,-0.7451851,-0.6939507,"('uncompetitive', 'competitive')",-0.59707403,-0.5271145,-0.6711296,-0.6105326,-0.060597
8,-0.72506326,-0.6273271,"('unaffectionate', 'affectionate')",0.082853384,-0.08975608,-0.3211049,-0.3585416,0.0374367
42,0.70589393,0.9346332,"('unreliable', 'reliable')",-3.0891871,-2.9377065,-1.1916466,-1.0015366,-0.19011
73,0.67967176,0.8126519,"('helpless', 'self-reliant')",-3.3471904,-3.1820557,-1.3337593,-1.1847019,-0.1490574
35,-0.63455456,-0.567765,"('corrupt', 'incorrupt')",-0.71953976,-0.6819324,-0.6770471,-0.6248487,-0.0521984
76,0.6297948,0.7477385,"('anxious', 'daring')",-0.06460374,0.027942348,0.2825955,0.3878404,-0.1052449
0,-0.62555116,-0.6070483,"('unsociable', 'sociable')",-0.007038934,0.051867347,-0.3162951,-0.2775905,-0.0387046
63,-0.6126953,-0.5592356,"('unperceptive', 'insightful')",0.46451274,0.22870688,-0.0740913,-0.1652643,0.091173
44,0.57655334,0.35175082,"('prejudiced', 'unprejudiced')",-1.2648953,-1.2814711,-0.344171,-0.4648601,0.1206891
84,0.5763319,0.7504353,"('inferior', 'superior')",0.89732665,0.9706141,0.7368293,0.8605247,-0.1236954
7,-0.5571595,-0.62785,"('insensitive', 'sensitive')",0.43009362,0.19192415,-0.0635329,-0.2179629,0.15443
62,0.5361869,0.76338005,"('incompetent', 'brilliant')",0.47134918,0.6265702,0.503768,0.6949751,-0.1912071
31,-0.5144786,-0.5393652,"('evil', 'good')",-1.0028785,-1.1363995,-0.7586786,-0.8378823,0.0792037
12,-0.50437075,-0.36465377,"('unsupportive', 'supportive')",-2.0895288,-2.0311313,-1.2969497,-1.1978925,-0.0990572
75,0.50329417,0.58158225,"('meek', 'impulsive')",-0.9570199,-0.91813755,-0.2268629,-0.1682777,-0.0585852
47,-0.49357745,-0.09036375,"('stupid', 'smart')",5.2096014,5.127254,2.358012,2.518445,-0.160433
58,0.49231574,0.43082118,"('undiscriminating', 'discriminating')",0.35224396,0.2826873,0.4222798,0.3567542,0.0655256
54,-0.4712558,-0.42093673,"('incapable', 'capable')",0.22565962,0.33358175,-0.1227981,-0.0436775,-0.0791206
26,0.43357408,0.40856165,"('hardhearted', 'benevolent')",1.6740216,1.5090553,1.0537978,0.9588084,0.0949894
37,-0.4261642,-0.3164221,"('fake', 'genuine')",-0.15090841,-0.18982401,-0.2885363,-0.253123,-0.0354133
52,0.42414278,0.59470826,"('irrational', 'rational')",-0.43316656,-0.38498923,-0.0045119,0.1048595,-0.1093714
36,-0.42326128,-0.31770685,"('hostile', 'amicable')",-0.42315447,-0.58932513,-0.4232079,-0.453516,0.0303081
43,-0.4202,-0.22700651,"('irresponsible', 'responsible')",0.3933676,0.5912486,-0.0134162,0.182121,-0.1955372
56,-0.41404364,-0.013072059,"('impractical', 'practical')",-0.47584465,-0.06440281,-0.4449441,-0.0387374,-0.4062067
20,0.40102807,0.3499256,"('rough', 'thoughtful')",0.9977789,0.8123044,0.6994035,0.581115,0.1182885
59,0.3946586,0.5140853,"('foolish', 'wise')",-0.3393138,-0.26421174,0.0276724,0.1249368,-0.0972644
67,0.39401072,0.3836034,"('doubtful', 'determined')",-0.51567966,-0.31630996,-0.0608345,0.0336467,-0.0944812
41,-0.3774272,-0.10153398,"('unforgiving', 'forgiving')",0.11800689,0.026492663,-0.1297102,-0.0375207,-0.0921895
22,-0.35454857,-0.13717446,"('untrustworthy', 'trustworthy')",-0.77776074,-0.8118818,-0.5661547,-0.4745281,-0.0916266
72,0.3285443,0.41831857,"('unambitious', 'ambitious')",-0.59804124,-0.574096,-0.1347485,-0.0778887,-0.0568598
32,-0.31540743,-0.07618594,"('unkind', 'kind')",0.3601569,0.5314692,0.0223747,0.2276416,-0.2052669
21,-0.3142951,-0.016891826,"('immoral', 'moral')",0.019391954,0.161837,-0.1474516,0.0724726,-0.2199242
3,-0.3093745,-0.2977292,"('repellent', 'pleasant')",1.1614659,1.1672744,0.4260457,0.4347726,-0.0087269
14,0.3022719,0.46503836,"('antisocial', 'social')",0.507202,0.6758837,0.404737,0.570461,-0.165724
34,-0.28788906,-0.28441083,"('mean', 'honorable')",5.1046014,4.897066,2.4083562,2.3063276,0.1020286
70,-0.28447613,-0.12650399,"('lethargic', 'energetic')",0.45055696,0.33327886,0.0830404,0.1033874,-0.020347
83,0.27434176,0.37582695,"('powerless', 'powerful')",-0.9365109,-0.8601503,-0.3310846,-0.2421617,-0.0889229
77,-0.25512856,-0.42551276,"('unmotivated', 'motivated')",-0.8659448,-0.90617645,-0.5605367,-0.6658446,0.1053079
60,0.22718105,0.3892527,"('inefficient', 'efficient')",0.28011438,0.5418491,0.2536477,0.4655509,-0.2119032
25,-0.22551073,-0.09618784,"('egoistic', 'altruistic')",1.2788886,1.1703995,0.5266889,0.5371059,-0.010417
68,-0.22403173,-0.3813704,"('dependent', 'independent')",-0.63217574,-0.82725596,-0.4281037,-0.6043132,0.1762095
81,-0.20794931,0.009896985,"('submissive', 'aggressive')",-0.43048686,-0.13028221,-0.3192181,-0.0601926,-0.2590255
55,-0.20389013,-0.06336992,"('incompetent', 'clever')",0.8741569,0.79750466,0.3351334,0.3670674,-0.031934
17,-0.18136318,-0.22567017,"('nasty', 'nice')",-0.7326906,-0.65919316,-0.4570269,-0.4424317,-0.0145952
15,0.17876783,0.41997397,"('boring', 'funny')",-0.21147747,-0.007912094,-0.0163548,0.2060309,-0.2223857
80,-0.17234567,-0.17949271,"('dominated', 'dominating')",-0.6943083,-0.72320104,-0.433327,-0.4513469,0.0180199
33,0.16323476,0.041111745,"('wrong', 'right')",-0.9935297,-1.0629523,-0.4151475,-0.5109203,0.0957728
61,-0.15169619,-0.097550884,"('illogical', 'logical')",0.6004093,0.51954126,0.2243566,0.2109952,0.0133614
