,honeywell_male,honeywell_female,tuple,international_male,international_female,inc_male,inc_female,average_male,average_female,male-female
10,-1.9773473,-1.7683357,"('unsympathetic', 'sympathetic')",-0.95854545,-0.60776174,-0.699555,-0.5739632,-1.2118158,-0.9833535,-0.2284623
69,1.6993848,1.7203448,"('lazy', 'industrious')",1.7053531,1.5286717,-0.33901498,-0.3294681,1.0219076,0.9731828,0.0487248
57,-1.6889194,-1.5923235,"('unimaginative', 'imaginative')",-0.421453,-0.2383851,-2.2923865,-2.206755,-1.4675864,-1.3458212,-0.1217652
70,-1.6367261,-1.44168,"('lethargic', 'energetic')",-0.016160239,0.30508983,0.3082079,0.41798648,-0.4482262,-0.2395345,-0.2086917
3,-1.4940882,-1.3628054,"('repellent', 'pleasant')",-0.17476448,-0.042615667,0.11984362,0.12848905,-0.5163364,-0.425644,-0.0906924
77,-1.4677477,-1.4668618,"('unmotivated', 'motivated')",-0.48329735,-0.15298074,-1.4044172,-1.1436837,-1.1184874,-0.9211754,-0.197312
43,-1.3270106,-1.1934385,"('irresponsible', 'responsible')",-0.09856455,0.24456735,0.14034837,0.44152182,-0.4284089,-0.1691165,-0.2592924
72,-1.3219367,-1.3177861,"('unambitious', 'ambitious')",-0.33797088,-0.22207361,-1.3505771,-1.2144185,-1.0034949,-0.9180927,-0.0854022
86,-1.2540213,-1.3836807,"('uninfluential', 'influential')",-0.37968487,-0.22113273,-0.4594954,-0.3961565,-0.6977338,-0.66699,-0.0307438
33,1.233418,1.1990451,"('wrong', 'right')",0.6380482,0.5529802,-0.40120906,-0.4540141,0.4900857,0.4326704,0.0574153
35,1.2219504,1.1611468,"('corrupt', 'incorrupt')",-0.4327823,-0.6241759,-0.21798486,-0.33960652,0.1903944,0.0657881,0.1246063
82,-1.2178372,-1.1885773,"('poor', 'rich')",-1.1664703,-1.0531497,5.0036216,4.939811,0.8731047,0.8993615,-0.0262568
71,1.1487103,1.2797577,"('diffident', 'self-confident')",0.48524895,0.59855205,0.5212448,0.4930272,0.7184014,0.7904456,-0.0720442
81,-1.1115404,-1.0113142,"('submissive', 'aggressive')",0.60739636,0.7610714,-0.6774188,-0.63001096,-0.3938543,-0.2934179,-0.1004364
39,1.0905609,1.1122031,"('exploitative', 'cooperative')",1.1046365,1.2065575,0.21029094,0.24490175,0.8018295,0.8545541,-0.0527246
85,1.0607957,1.007506,"('insignificant', 'prestigious')",-0.53399456,-0.7911372,0.6514855,0.39785793,0.3927622,0.2047422,0.18802
63,-1.0377716,-0.85362726,"('unperceptive', 'insightful')",0.6239548,0.89547306,0.848162,1.1118125,0.1447817,0.3845528,-0.2397711
14,-1.0335886,-1.0392728,"('antisocial', 'social')",0.7964346,1.0129437,-0.68768275,-0.56089205,-0.3082789,-0.1957404,-0.1125385
65,-1.0028688,-1.106351,"('insecure', 'secure')",0.19272186,0.27052245,-0.2735342,-0.25942442,-0.361227,-0.3650843,0.0038573
