,cigna_male,cigna_female,tuple,corp_male,corp_female,average_male,average_female,male-female
69,1.5430841,1.4007534,"('lazy', 'industrious')",-1.1945308,-0.37530065,0.1742766,0.5127264,-0.3384498
86,-1.2988737,-1.2035465,"('uninfluential', 'influential')",-0.24807929,-0.48044458,-0.7734765,-0.8419955,0.068519
57,-1.2777991,-1.05374,"('unimaginative', 'imaginative')",-3.285926,-3.0988455,-2.2818627,-2.0762928,-0.2055699
10,-1.2275034,-1.2586766,"('unsympathetic', 'sympathetic')",0.48246408,-0.16344608,-0.3725197,-0.7110614,0.3385417
2,1.1461879,1.2698729,"('unlikable', 'likable')",0.53440315,0.7447254,0.8402956,1.0072992,-0.1670036
1,-1.1227007,-0.7684199,"('unfriendly', 'friendly')",0.6175921,0.7892664,-0.2525543,0.0104232,-0.2629775
53,-1.1110361,-0.9047019,"('uncreative', 'creative')",0.3392648,0.15821844,-0.3858856,-0.3732417,-0.0126439
42,1.1092923,0.9559593,"('unreliable', 'reliable')",-2.66391,-2.9313307,-0.7773088,-0.9876857,0.2103769
19,-0.9884529,-0.5988612,"('inhospitable', 'hospitable')",-0.68878585,-0.58701926,-0.8386194,-0.5929402,-0.2456792
0,-0.9699637,-0.9029668,"('unsociable', 'sociable')",0.019591168,-0.27920613,-0.4751863,-0.5910864,0.1159001
51,-0.93659407,-0.94441307,"('uneducated', 'educated')",0.71356225,0.46859047,-0.1115159,-0.2379113,0.1263954
13,-0.9212913,-0.71992666,"('impolite', 'polite')",-0.029796071,-0.36105692,-0.4755437,-0.5404918,0.0649481
73,0.9052993,0.9314205,"('helpless', 'self-reliant')",-3.7296872,-3.3519714,-1.412194,-1.2102754,-0.2019186
84,0.85576195,0.9282417,"('inferior', 'superior')",0.98411745,1.2324198,0.9199397,1.0803308,-0.1603911
8,-0.8342334,-0.6140692,"('unaffectionate', 'affectionate')",-0.28807825,-0.1965149,-0.5611558,-0.4052921,-0.1558637
75,0.8312655,0.84742117,"('meek', 'impulsive')",-0.9506359,-0.6051483,-0.0596852,0.1211364,-0.1808216
31,-0.7372282,-0.5097926,"('evil', 'good')",-1.6919029,-1.2848701,-1.2145655,-0.8973314,-0.3172341
61,-0.7353955,-0.596418,"('illogical', 'logical')",0.59755045,0.4987671,-0.0689225,-0.0488255,-0.020097
11,-0.71826303,-0.87802863,"('unhelpful', 'helpful')",2.3029816,1.8162365,0.7923593,0.4691039,0.3232554
79,-0.717617,-0.3700557,"('wavering', 'unwavering')",-0.63769305,-0.6488304,-0.677655,-0.509443,-0.168212
59,0.67211246,0.70236534,"('foolish', 'wise')",-0.38268346,-0.09563559,0.1447145,0.3033649,-0.1586504
45,-0.6417139,-0.8695909,"('incompetent', 'competent')",0.27954122,-0.08329967,-0.1810863,-0.4764453,0.295359
36,-0.61728024,-0.20525104,"('hostile', 'amicable')",-1.0553322,-0.7763403,-0.8363062,-0.4907957,-0.3455105
33,0.5983827,0.6812349,"('wrong', 'right')",-1.1034306,-0.7863861,-0.252524,-0.0525756,-0.1999484
23,-0.5743592,-0.64884126,"('insincere', 'sincere')",6.6143994,5.4897113,3.02002,2.420435,0.599585
62,0.5636518,0.40713632,"('incompetent', 'brilliant')",1.2197036,0.789456,0.8916777,0.5982962,0.2933815
7,-0.5490132,-0.7401075,"('insensitive', 'sensitive')",0.73126394,0.23451732,0.0911254,-0.2527951,0.3439205
83,0.54418945,0.68154573,"('powerless', 'powerful')",-0.7721601,-0.8434357,-0.1139853,-0.080945,-0.0330403
85,0.51079005,0.8058137,"('insignificant', 'prestigious')",-1.3085756,-0.5876345,-0.3988928,0.1090896,-0.5079824
67,0.5080962,0.57068866,"('doubtful', 'determined')",-0.57165354,-0.17785172,-0.0317787,0.1964185,-0.2281972
68,-0.4926408,-0.5544028,"('dependent', 'independent')",-0.14302434,-0.37288272,-0.3178326,-0.4636428,0.1458102
28,-0.48674554,-0.40762538,"('disloyal', 'loyal')",0.9396729,0.4890501,0.2264637,0.0407124,0.1857513
9,-0.4840543,-0.2863651,"('unaffectionate', 'caring')",0.88567233,0.70820767,0.200809,0.2109213,-0.0101123
6,-0.47186106,-0.29943892,"('distant', 'open')",-1.0506401,-0.9457695,-0.7612506,-0.6226042,-0.1386464
34,0.4718574,0.47003144,"('mean', 'honorable')",6.013189,5.473449,3.2425232,2.9717402,0.270783
25,0.46682727,0.5523212,"('egoistic', 'altruistic')",0.545881,0.7430214,0.5063541,0.6476713,-0.1413172
38,-0.45911822,-0.44877857,"('untruthful', 'truthful')",-0.104568355,0.120043635,-0.2818433,-0.1643675,-0.1174758
71,0.4561907,0.40257788,"('diffident', 'self-confident')",0.042398527,-0.09211371,0.2492946,0.1552321,0.0940625
40,0.4533871,0.33811122,"('stingy', 'generous')",-2.1785958,-2.039716,-0.8626043,-0.8508024,-0.0118019
63,-0.44708037,-0.61912924,"('unperceptive', 'insightful')",1.0018463,0.60520333,0.277383,-0.006963,0.284346
21,-0.43639842,-0.4403551,"('immoral', 'moral')",0.42348456,-0.20254725,-0.0064569,-0.3214512,0.3149943
5,-0.42913556,-0.22221151,"('distant', 'outgoing')",-1.0197458,-0.7234012,-0.7244407,-0.4728063,-0.2516344
81,-0.41134894,-0.63277805,"('submissive', 'aggressive')",0.11179616,-0.26658687,-0.1497764,-0.4496825,0.2999061
46,-0.37595147,-0.66212285,"('uncompetitive', 'competitive')",-0.15733004,-0.49407896,-0.2666408,-0.5781009,0.3114601
43,-0.36684558,-0.3746233,"('irresponsible', 'responsible')",0.6285545,0.40051442,0.1308545,0.0129456,0.1179089
88,-0.36036447,-0.06898075,"('low', 'eminent')",-0.29675785,-0.35915574,-0.3285612,-0.2140682,-0.114493
3,-0.35949424,-0.6213014,"('repellent', 'pleasant')",1.1321769,0.6987539,0.3863413,0.0387262,0.3476151
37,0.33828697,0.35663596,"('fake', 'genuine')",0.34768766,0.01772751,0.3429873,0.1871817,0.1558056
