,ebay_male,ebay_female,tuple,inc_male,inc_female,average_male,average_female,male-female
10,-2.1291177,-2.4056044,"('unsympathetic', 'sympathetic')",0.44577596,-0.18505514,-0.8416709,-1.2953298,0.4536589
21,-1.8314977,-2.0786614,"('immoral', 'moral')",-0.25784057,-0.6903172,-1.0446692,-1.3844893,0.3398201
18,-1.7269981,-1.1561525,"('disagreeable', 'welcoming')",-0.98086154,-0.57986516,-1.3539298,-0.8680089,-0.4859209
68,-1.5166806,-1.845981,"('dependent', 'independent')",-0.3130964,-0.44499782,-0.9148885,-1.1454895,0.230601
86,-1.4811976,-1.4176164,"('uninfluential', 'influential')",0.07985578,-0.114117205,-0.7006709,-0.7658668,0.0651959
22,-1.428076,-1.6666203,"('untrustworthy', 'trustworthy')",-0.71835226,-0.94647056,-1.0732142,-1.3065454,0.2333312
51,-1.378768,-1.5801517,"('uneducated', 'educated')",1.158065,0.9634821,-0.1103515,-0.3083348,0.1979833
65,-1.3131706,-1.8449036,"('insecure', 'secure')",0.38442147,-0.06720552,-0.4643745,-0.9560546,0.4916801
57,-1.2149003,-1.3523136,"('unimaginative', 'imaginative')",-2.5853186,-2.9561732,-1.9001094,-2.1542435,0.2541341
14,-1.2121886,-1.4668931,"('antisocial', 'social')",-0.68421376,-0.87430954,-0.9482012,-1.1706014,0.2224002
28,-1.2107525,-1.2534375,"('disloyal', 'loyal')",0.7460083,0.66936946,-0.2323721,-0.292034,0.0596619
36,1.2072515,1.9063283,"('hostile', 'amicable')",-1.0595318,-0.3913064,0.0738599,0.757511,-0.6836511
70,-1.2019699,-1.5962037,"('lethargic', 'energetic')",1.3019856,0.69630116,0.0500079,-0.4499513,0.4999592
3,-1.198427,-1.4331253,"('repellent', 'pleasant')",0.43347785,-0.075588025,-0.3824745,-0.7543566,0.3718821
45,-1.182594,-1.742683,"('incompetent', 'competent')",0.2102512,-0.29188225,-0.4861714,-1.0172826,0.5311112
71,1.1059864,1.3539759,"('diffident', 'self-confident')",0.47883028,0.6622257,0.7924083,1.0081007,-0.2156924
37,-1.1005993,-1.4084092,"('fake', 'genuine')",0.3241426,0.054872334,-0.3882284,-0.6767684,0.28854
6,1.0902796,1.8053075,"('distant', 'open')",-0.4143746,0.15772063,0.3379525,0.9815141,-0.6435616
55,-1.0724136,-1.3147371,"('incompetent', 'clever')",0.98983574,0.52394193,-0.0412889,-0.3953976,0.3541087
73,1.0699545,1.3114705,"('helpless', 'self-reliant')",-3.3331373,-3.3030903,-1.1315913,-0.9958099,-0.1357814
15,1.0197841,1.008561,"('boring', 'funny')",0.15606841,0.18611938,0.5879263,0.5973402,-0.0094139
85,0.9884635,1.8329475,"('insignificant', 'prestigious')",-0.78769386,0.3132513,0.1003848,1.0730994,-0.9727146
33,0.88704836,1.0360988,"('wrong', 'right')",-1.1190605,-0.8343098,-0.1160061,0.1008945,-0.2169006
