,american_male,american_female,tuple,international_male,international_female,group_male,group_female,inc_male,inc_female,average_male,average_female,male-female
45,-1.8651228,-1.8898655,"('incompetent', 'competent')",-0.74195707,-1.0167415,0.40281636,0.23570605,-0.4766381,-0.51656145,-0.6702254,-0.7968656,0.1266402
73,1.7334433,1.5466392,"('helpless', 'self-reliant')",1.3110253,1.2371253,0.2162699,0.038620353,-3.1526494,-3.1473534,0.0270222,-0.0812421,0.1082643
39,1.6768794,0.8255275,"('exploitative', 'cooperative')",1.0101037,0.46289936,1.9242065,1.5447903,0.26431742,-0.13340676,1.2188768,0.6749526,0.5439242
22,-1.6204396,-1.6252428,"('untrustworthy', 'trustworthy')",-0.8196334,-1.0048342,0.40823492,0.3378086,-1.3605386,-1.278074,-0.8480942,-0.8925856,0.0444914
29,-1.5832784,-1.4978335,"('unfair', 'fair')",-1.2048111,-0.8057752,-1.0307918,-0.6748782,-1.087129,-1.0088272,-1.2265025,-0.9968285,-0.229674
0,-1.3628231,-1.7478827,"('unsociable', 'sociable')",-1.1648202,-1.5582515,0.60854536,0.30036092,-0.53047067,-0.736011,-0.6123921,-0.9354461,0.323054
57,-1.3418958,-1.520014,"('unimaginative', 'imaginative')",-0.96110624,-1.4096767,-0.48782563,-0.8341995,-2.3841753,-2.6068294,-1.2937508,-1.59268,0.2989292
16,-1.3364775,-0.9531915,"('unpopular', 'popular')",0.29012465,0.54885805,-0.34899843,-0.08816482,0.36603412,0.38092846,-0.2573293,-0.0278925,-0.2294368
31,-1.3076081,-1.2552603,"('evil', 'good')",0.08944929,0.14831027,-1.3518202,-1.0585612,-1.8735837,-1.7498002,-1.1108907,-0.9788278,-0.1320629
47,-1.28449,-1.4933083,"('stupid', 'smart')",-0.122290276,-0.3223247,0.75496024,0.6987521,5.557294,5.4950676,1.2263684,1.0945467,0.1318217
41,-1.2326665,-1.2904396,"('unforgiving', 'forgiving')",-0.18866153,-0.34212098,0.6470473,0.49937797,0.06911649,0.0123955645,-0.1762911,-0.2801968,0.1039057
86,-1.1975155,-1.0244449,"('uninfluential', 'influential')",-0.79493624,-0.97182155,-0.036459167,-0.2127303,-0.45459715,-0.5139766,-0.620877,-0.6807433,0.0598663
55,-1.1859854,-1.4650756,"('incompetent', 'clever')",-1.1766142,-1.8134255,1.2435625,0.7970106,-0.15719658,-0.39233774,-0.3190584,-0.718457,0.3993986
53,-1.1441153,-1.1436559,"('uncreative', 'creative')",-0.8284513,-0.9492393,-0.5318703,-0.5433001,0.92923915,0.8521446,-0.3937995,-0.4460127,0.0522132
1,-1.131921,-1.0887728,"('unfriendly', 'friendly')",-0.051403265,-0.10516655,-0.5254619,-0.50863,1.055207,0.9313642,-0.1633948,-0.1928013,0.0294065
67,1.0190517,1.0743389,"('doubtful', 'determined')",0.7154996,1.0541024,1.0737562,1.1128306,0.03930334,0.1220036,0.7119027,0.8408189,-0.1289162
69,1.0041718,0.84126747,"('lazy', 'industrious')",2.520291,2.6538715,0.15454343,0.37133825,-0.61492175,-0.6953392,0.7660211,0.7927846,-0.0267635
49,-0.91508037,-1.2030379,"('unable', 'able')",-0.48495013,-0.6798233,-0.89967453,-0.96721804,-0.35451752,-0.4316417,-0.6635556,-0.8204302,0.1568746
78,-0.9012654,-1.2046742,"('nonresilient', 'resilient')",-0.12600419,-0.2983473,0.77107847,0.8408413,0.12938389,0.116823494,-0.0317018,-0.1363392,0.1046374
