,marshall_male,marshall_female,tuple,&_male,&_female,ilsley_male,ilsley_female,corp_male,corp_female,average_male,average_female,male-female
36,-1.7331346,-1.249,"('hostile', 'amicable')",-1.4798983,-1.2074829,-1.2188168,-1.0741578,-0.8853088,-0.6864186,-1.3292896,-1.0542648,-0.2750248
39,1.5180486,1.5740769,"('exploitative', 'cooperative')",0.45672175,0.47074264,0.19354767,0.2222225,0.37874603,0.48179498,0.636766,0.6872093,-0.0504433
4,-1.4944363,-1.2472014,"('disliked', 'liked')",-0.06265625,0.10424858,0.31758887,0.4952526,-5.520107,-5.3555145,-1.6899025,-1.5008037,-0.1890988
1,-1.4713684,-1.2749078,"('unfriendly', 'friendly')",-1.4505074,-1.5136951,-2.402338,-2.3743622,0.65820587,0.99258566,-1.166502,-1.0425948,-0.1239072
64,-1.3535727,-1.3054523,"('shy', 'confident')",0.7405096,0.62753105,0.9705183,0.92099977,-4.780665,-4.755828,-1.1058024,-1.1281874,0.022385
5,-1.2862103,-0.78656316,"('distant', 'outgoing')",-0.77761227,-0.6320285,0.08695799,0.44260567,-0.7358958,-0.31129616,-0.6781901,-0.3218206,-0.3563695
31,-1.2833078,-0.83447313,"('evil', 'good')",-1.2712125,-0.9432648,-1.1377827,-0.874989,-1.023786,-0.71689576,-1.1790222,-0.8424057,-0.3366165
82,-1.2491974,-1.223945,"('poor', 'rich')",-0.20081477,-0.26821554,-0.14247061,-0.019386444,4.60271,4.6135488,0.7525568,0.7755004,-0.0229436
67,1.1943828,1.4014225,"('doubtful', 'determined')",-0.037442576,0.13461946,0.4250481,0.44920018,-0.12270288,-0.011036627,0.3648214,0.4935514,-0.12873
74,1.1516925,1.1896046,"('undedicated', 'dedicated')",0.45723313,0.2599895,-0.115094826,-0.16061445,-0.19182585,0.00817867,0.3255012,0.3242896,0.0012116
52,-1.1146836,-0.78873515,"('irrational', 'rational')",-0.7428488,-0.5997636,-0.47559673,-0.4157069,-0.2666516,-0.07828639,-0.6499452,-0.470623,-0.1793222
16,-1.0675964,-0.9824574,"('unpopular', 'popular')",-0.005550869,-0.2010071,-0.94012135,-0.74573106,-0.028723735,-0.24315342,-0.5104981,-0.5430872,0.0325891
15,-0.9913173,-0.5516741,"('boring', 'funny')",0.37421656,0.63964206,-0.56920797,-0.45998272,-0.43254694,-0.065976575,-0.4047139,-0.1094978,-0.2952161
53,-0.96691686,-0.97660714,"('uncreative', 'creative')",-0.31820503,-0.5598578,-1.2935483,-1.2843987,0.015836045,0.05541366,-0.6407086,-0.6913625,0.0506539
41,-0.94187826,-0.54621017,"('unforgiving', 'forgiving')",-0.6248076,-0.5484778,-0.9554921,-0.9028755,-0.17710443,0.1114614,-0.6748206,-0.4715255,-0.2032951
34,-0.8854111,-0.8312856,"('mean', 'honorable')",-0.3539266,-0.57391953,-0.21644811,-0.36314422,4.5297413,4.2630053,0.7684889,0.623664,0.1448249
30,-0.8720267,-0.6432438,"('intolerant', 'tolerant')",-0.31490567,-0.59706116,0.014945678,-0.10436386,0.45918074,0.45282143,-0.1782015,-0.2229619,0.0447604
78,-0.8443812,-1.1575274,"('nonresilient', 'resilient')",0.5493975,0.15604264,-0.42705688,-0.6888494,0.6223994,0.20096548,-0.0249103,-0.3723422,0.3474319
84,0.8257262,0.806933,"('inferior', 'superior')",0.8116742,0.64395106,-0.10199447,-0.13179089,1.51335,1.2884884,0.762189,0.6518954,0.1102936
37,0.82213426,0.70834386,"('fake', 'genuine')",0.109159246,0.05040258,0.31021854,0.25178617,-0.008506406,0.17110129,0.3082514,0.2954085,0.0128429
63,-0.79462224,-0.7694968,"('unperceptive', 'insightful')",0.7180072,0.32928807,-1.1114972,-1.2586182,1.123899,0.99847543,-0.0160533,-0.1750879,0.1590346
18,-0.775,-0.5246048,"('disagreeable', 'welcoming')",0.4090281,0.22038284,-0.281298,-0.22740316,-0.84866154,-0.8014795,-0.3739828,-0.3332762,-0.0407066
25,0.75266355,0.58311486,"('egoistic', 'altruistic')",-0.27358353,-0.25201133,-1.1839206,-1.3291997,0.93026865,0.89447546,0.056357,-0.0259052,0.0822622
80,0.74715346,0.451687,"('dominated', 'dominating')",0.87523264,0.84201735,0.82717234,0.78745854,-0.275152,-0.3421296,0.5436016,0.4347583,0.1088433
62,0.7315064,0.6922577,"('incompetent', 'brilliant')",0.3641296,0.04627803,-0.13401741,-0.13556743,0.99025506,0.96106046,0.4879684,0.3910072,0.0969612
57,-0.7259736,-0.725646,"('unimaginative', 'imaginative')",-0.60952044,-0.72269017,-0.282246,-0.26116848,-2.3572419,-2.2546654,-0.9937454,-0.9910425,-0.0027029
24,0.7237022,0.8619775,"('dishonest', 'honest')",-0.25434533,-0.3385868,0.4399799,0.37560374,0.47239825,0.7137423,0.3454338,0.4031842,-0.0577504
88,-0.72071445,-0.5084268,"('low', 'eminent')",-0.20857708,-0.18871935,-1.1590451,-1.2244226,-0.80907947,-0.58108836,-0.724354,-0.6256642,-0.0986898
61,0.6829477,0.6965422,"('illogical', 'logical')",0.22008508,0.066344365,-0.08748848,-0.1541959,0.59476894,0.38577217,0.3525783,0.2486157,0.1039626
22,-0.6814141,-0.6182459,"('untrustworthy', 'trustworthy')",0.2922695,0.23862731,-0.47955462,-0.5048981,-0.60580283,-0.48213127,-0.3686255,-0.341662,-0.0269635
73,0.6741796,0.9427411,"('helpless', 'self-reliant')",0.39114612,0.5099288,1.0824509,1.2338792,-2.5201383,-2.4386845,-0.0930904,0.0619662,-0.1550566
27,-0.6719384,-0.78361815,"('hardhearted', 'softhearted')",-1.0614656,-1.2241852,-0.18850605,-0.46729383,0.7406374,0.6279684,-0.2953182,-0.4617822,0.166464
85,-0.6718029,-0.32440323,"('insignificant', 'prestigious')",-0.90699834,-0.7257071,-0.85353845,-0.55313665,-0.7607047,-0.37718624,-0.7982611,-0.4951083,-0.3031528
44,-0.6621248,-0.8608288,"('prejudiced', 'unprejudiced')",-1.2623785,-1.0746762,0.8645994,1.0020765,-1.7830296,-1.7541202,-0.7107334,-0.6718872,-0.0388462
69,0.646211,0.9494326,"('lazy', 'industrious')",0.8246063,1.0119447,0.40936595,0.715032,-0.45906183,-0.25590408,0.3552803,0.6051263,-0.249846
48,-0.64395356,-0.82840186,"('unintelligent', 'intelligent')",-0.1296529,-0.5888758,-1.1851938,-1.4994767,0.55973744,0.31742826,-0.3497657,-0.6498315,0.3000658
87,0.6149168,0.5896398,"('unsuccessful', 'successful')",2.1636443,2.0447404,0.50391424,0.5993793,1.0444242,0.9057028,1.0817249,1.0348656,0.0468593
47,-0.6069675,-0.37396443,"('stupid', 'smart')",0.24720894,0.34899485,-0.35323557,-0.33305013,4.130984,4.265686,0.8544974,0.9769166,-0.1224192
83,-0.5841596,-0.6264138,"('powerless', 'powerful')",-0.11989494,-0.25134808,-0.864145,-1.0387218,-0.61101997,-0.7229938,-0.5448049,-0.6598694,0.1150645
11,-0.55735093,-0.54897296,"('unhelpful', 'helpful')",-0.45595106,-0.7397162,-0.7697005,-0.9028076,1.8170555,1.9108294,0.0085132,-0.0701669,0.0786801
59,-0.55462945,-0.16888535,"('foolish', 'wise')",-0.27220434,-0.13971782,-0.08936355,0.08841819,-0.24205512,0.16093986,-0.2895631,-0.0148113,-0.2747518
51,-0.55306536,-0.54092956,"('uneducated', 'educated')",0.52560014,0.57665855,0.6214548,0.45247704,0.30562672,0.3275826,0.2249041,0.2039472,0.0209569
56,0.5444739,0.6565121,"('impractical', 'practical')",0.020613357,-0.09278158,0.23271252,0.17056207,-0.25967312,-0.1823862,0.1345317,0.1379766,-0.0034449
23,0.53843725,0.49858564,"('insincere', 'sincere')",-0.646785,-0.98497087,-0.98948723,-1.1366276,4.3990035,4.4590235,0.8252921,0.7090027,0.1162894
6,-0.529091,-0.10652821,"('distant', 'open')",-0.8002692,-0.6812952,-0.3691635,-0.05869429,-0.94227546,-0.41261822,-0.6601998,-0.314784,-0.3454158
3,0.52904654,0.22998878,"('repellent', 'pleasant')",-0.100882635,-0.28470975,-0.3125938,-0.46398816,0.7766863,0.3868024,0.2230641,-0.0329767,0.2560408
33,0.49047953,0.6775418,"('wrong', 'right')",-0.18148844,-0.158483,0.056634687,0.15546429,-0.3634416,-0.2000623,0.000546,0.1186152,-0.1180692
29,-0.48982456,-0.40893087,"('unfair', 'fair')",-0.85074246,-0.9180831,-0.27966493,-0.26206464,-0.45764497,-0.36950412,-0.5194692,-0.4896457,-0.0298235
19,0.46679133,0.7022433,"('inhospitable', 'hospitable')",-1.0938079,-0.9187317,0.6606911,0.7774957,-0.66266596,-0.38725734,-0.1572479,0.0434375,-0.2006854
49,-0.45965594,-0.43502316,"('unable', 'able')",0.069997385,-0.15141012,-0.21706212,-0.26126003,-0.41523102,-0.5904439,-0.2554879,-0.3595343,0.1040464
71,0.45907304,0.6616602,"('diffident', 'self-confident')",-0.23144513,-0.40092582,0.32100928,0.31242725,0.39933616,0.50341547,0.2369933,0.2691443,-0.032151
32,-0.4589217,-0.24405664,"('unkind', 'kind')",-0.36716074,-0.5005883,-1.4702876,-1.5027744,-0.035502207,0.23999645,-0.5829681,-0.5018557,-0.0811124
58,-0.4565856,-0.4452951,"('undiscriminating', 'discriminating')",-0.49535602,-0.5778145,-0.66835815,-0.6510646,0.40246102,0.32119727,-0.3044597,-0.3382443,0.0337846
54,-0.44440478,-0.22251177,"('incapable', 'capable')",-0.4814538,-0.6830873,-0.6975449,-0.5981644,0.4478421,0.62414783,-0.2938904,-0.2199039,-0.0739865
86,-0.4018495,-0.43369138,"('uninfluential', 'influential')",-0.031628024,-0.18504386,-1.1701367,-1.29581,-0.026409112,-0.09821232,-0.4075058,-0.5031894,0.0956836
66,-0.37938893,-0.19369492,"('inactive', 'active')",0.9635585,0.9656571,0.5250867,0.69170415,0.102118865,0.23503482,0.3028438,0.4246753,-0.1218315
0,-0.3738223,-0.4987719,"('unsociable', 'sociable')",0.3005432,-0.06326477,-0.51433706,-0.724191,0.027038766,-0.2281627,-0.1401444,-0.3785976,0.2384532
21,0.37248167,0.105209336,"('immoral', 'moral')",0.91662,0.47334772,-0.07562283,-0.34907076,-0.36932135,-0.80758804,0.2110394,-0.1445254,0.3555648
70,0.34057462,0.254898,"('lethargic', 'energetic')",0.6383139,0.40538183,0.4897252,0.3126026,0.63582385,0.6952554,0.5261094,0.4170345,0.1090749
40,-0.33073133,-0.22606751,"('stingy', 'generous')",0.0012177192,-0.05220643,-0.54758394,-0.46209323,-1.5487667,-1.4319643,-0.6064661,-0.5430828,-0.0633833
8,-0.31831318,-0.07593171,"('unaffectionate', 'affectionate')",-0.40947586,-0.3025834,-1.2808727,-1.1806325,0.42250016,0.8043262,-0.3965404,-0.1887054,-0.207835
