,first_male,first_female,tuple,horizon_male,horizon_female,corp_male,corp_female,average_male,average_female,male-female
36,-2.712437,-2.2693386,"('hostile', 'amicable')",-0.859103,-0.67077696,-0.30484647,-0.42329523,-1.2921288,-1.1211369,-0.1709919
31,-2.5232115,-2.0633483,"('evil', 'good')",-1.5405741,-1.217148,-1.3363739,-1.355222,-1.8000531,-1.5452394,-0.2548137
21,2.134562,2.0084949,"('immoral', 'moral')",0.6719712,0.59344894,-0.12344033,-0.32866353,0.8943644,0.75776,0.1366044
85,-2.1155844,-1.6436645,"('insignificant', 'prestigious')",-0.08179407,0.46296427,-0.70523494,-0.34536576,-0.9675378,-0.5086886,-0.4588492
62,2.0271747,1.7510829,"('incompetent', 'brilliant')",1.9479526,1.5974063,0.88975114,0.79473656,1.6216261,1.3810752,0.2405509
1,-2.0115125,-1.6474264,"('unfriendly', 'friendly')",-1.3161533,-0.96096927,0.9358936,1.0992515,-0.7972574,-0.503048,-0.2942094
60,1.9637362,1.8979654,"('inefficient', 'efficient')",1.7780724,1.5770836,0.27940986,0.46070194,1.3404061,1.311917,0.0284891
26,-1.934345,-1.218684,"('hardhearted', 'benevolent')",-0.07533774,0.44193828,0.4448936,1.1393678,-0.5215964,0.120874,-0.6424704
35,-1.9253058,-1.871741,"('corrupt', 'incorrupt')",-0.60849726,-0.57735074,-0.7439456,-0.76989007,-1.0925829,-1.072994,-0.0195889
8,-1.8035324,-1.6213757,"('unaffectionate', 'affectionate')",-1.1092453,-1.0408887,-0.010166247,0.05164621,-0.9743146,-0.870206,-0.1041086
80,1.7723719,1.463362,"('dominated', 'dominating')",1.2936095,0.8658234,-0.618772,-0.81381124,0.8157365,0.5051247,0.3106118
81,1.7297983,1.963971,"('submissive', 'aggressive')",1.1861529,1.2410059,-0.17669028,-0.013937376,0.913087,1.0636799,-0.1505929
6,-1.7269132,-1.4862534,"('distant', 'open')",-2.1800249,-1.6967565,-0.7811213,-0.8786631,-1.5626864,-1.3538911,-0.2087953
5,-1.6950787,-1.3738333,"('distant', 'outgoing')",-1.5411137,-1.120259,-0.47425467,-0.4828291,-1.2368157,-0.9923072,-0.2445085
39,1.6524433,1.7958666,"('exploitative', 'cooperative')",1.1513951,1.3069092,-0.36330518,-0.07194184,0.8135111,1.010278,-0.1967669
46,1.602838,1.2243907,"('uncompetitive', 'competitive')",0.4086126,0.33251292,-0.5483137,-0.5016918,0.4877124,0.3517373,0.1359751
