,expeditors_male,expeditors_female,tuple,international_male,international_female,wa_male,wa_female,inc_male,inc_female,average_male,average_female,male-female
69,1.9445795,1.977213,"('lazy', 'industrious')",1.5220605,1.4075598,-1.3291956,-1.0011882,-0.3480457,-0.08941896,0.4473497,0.5735414,-0.1261917
1,-1.8987705,-1.6343117,"('unfriendly', 'friendly')",-0.93842393,-1.0614856,-0.8182051,-0.5305115,1.5905389,1.60183,-0.5162152,-0.4061197,-0.1100955
53,-1.8605707,-1.580096,"('uncreative', 'creative')",-0.3074151,-0.2544838,-0.24312446,-0.06263761,0.91540056,0.94511795,-0.3739274,-0.2380249,-0.1359025
8,-1.8591576,-1.6977482,"('unaffectionate', 'affectionate')",-1.3203795,-1.4236935,-3.3137882,-3.0666811,0.47586817,0.45250857,-1.5043643,-1.4339036,-0.0704607
67,1.6726146,1.6372648,"('doubtful', 'determined')",0.5851507,0.5407419,0.017427718,-0.115721576,-0.5695941,-0.5891087,0.4263997,0.3682941,0.0581056
64,1.6156609,1.6037302,"('shy', 'confident')",0.4968779,0.5045479,-0.135364,-0.26672226,-6.79377,-6.5731606,-1.2041488,-1.1829011,-0.0212477
56,1.6014045,1.6068563,"('impractical', 'practical')",1.6751153,1.6856194,3.1603239,2.823641,0.0451781,-0.1305287,1.6205055,1.4963969,0.1241086
44,1.5850583,1.4876101,"('prejudiced', 'unprejudiced')",0.6676258,0.71212554,-1.1330328,-1.1495872,-1.1469121,-1.100496,-0.0068152,-0.0125869,0.0057717
86,-1.4269836,-1.2874906,"('uninfluential', 'influential')",0.16387072,0.2728254,1.820373,1.6526356,-0.34021986,-0.32259214,0.0542601,0.0788445,-0.0245844
73,1.4196715,1.6681597,"('helpless', 'self-reliant')",-0.07617319,-0.0073883533,-1.330528,-1.18732,-3.6816323,-3.4634414,-0.9171655,-0.7474975,-0.169668
55,-1.4180967,-1.3281606,"('incompetent', 'clever')",-0.16593823,-0.08084742,2.7455266,2.34373,-0.03405893,-0.15947215,0.2818582,0.1938124,0.0880458
60,1.3717142,1.3168129,"('inefficient', 'efficient')",1.6681855,1.697119,4.036316,3.5450778,0.61286646,0.2021796,1.9222705,1.6902972,0.2319733
9,-1.3362839,-1.1697613,"('unaffectionate', 'caring')",-0.2676469,-0.398251,-0.98505604,-0.80742455,1.3626856,1.148167,-0.3065753,-0.3068174,0.0002421
31,-1.2842916,-0.89206594,"('evil', 'good')",-1.2627451,-1.1590345,-2.919997,-2.3902698,-1.1056337,-0.9619565,-1.6431668,-1.3508316,-0.2923352
