,howmet_male,howmet_female,tuple,aerospace_male,aerospace_female,inc_male,inc_female,average_male,average_female,male-female
57,-1.5129986,-1.5498447,"('unimaginative', 'imaginative')",0.15593481,0.07822082,-2.6439993,-2.5388525,-1.3336878,-1.3368254,0.0031376
69,1.4815444,1.4268724,"('lazy', 'industrious')",0.974771,0.8747689,-0.24220555,-0.14740986,0.7380366,0.7180771,0.0199595
86,-1.4258791,-1.4332453,"('uninfluential', 'influential')",0.6635571,0.721315,-0.21182579,-0.11749314,-0.3247159,-0.2764745,-0.0482414
83,-1.3804744,-1.3170589,"('powerless', 'powerful')",-0.2122846,-0.23159708,-1.3096057,-1.2989694,-0.9674549,-0.9492084,-0.0182465
0,-1.2308366,-1.266164,"('unsociable', 'sociable')",-0.053412966,-0.034269072,-0.6653485,-0.6091947,-0.649866,-0.6365426,-0.0133234
88,-1.2187397,-1.0827281,"('low', 'eminent')",-0.3569108,-0.22827974,0.16647537,0.23201296,-0.4697251,-0.359665,-0.1100601
1,-1.1665025,-1.1174784,"('unfriendly', 'friendly')",0.6841061,0.98682874,1.8834301,1.8472989,0.4670113,0.5722164,-0.1052051
53,-1.1609201,-1.2295195,"('uncreative', 'creative')",0.84291106,0.8582742,1.1140081,1.1582698,0.265333,0.2623415,0.0029915
10,-1.0261532,-1.0727258,"('unsympathetic', 'sympathetic')",-0.26929784,-0.28191155,-0.35364816,-0.52893955,-0.5496997,-0.627859,0.0781593
35,1.0058017,0.9594522,"('corrupt', 'incorrupt')",-0.15277313,-0.11226042,-0.18405907,-0.23882037,0.2229898,0.2027905,0.0201993
33,0.9974762,0.99123865,"('wrong', 'right')",1.3060781,1.3000897,-0.40571985,-0.46177834,0.6326115,0.60985,0.0227615
77,-0.91803735,-1.0162733,"('unmotivated', 'motivated')",0.69180876,0.46164477,-1.121135,-1.045376,-0.4491212,-0.5333348,0.0842136
44,0.89859325,0.8359688,"('prejudiced', 'unprejudiced')",-1.1772878,-1.1623209,-1.6564802,-1.552383,-0.6450582,-0.626245,-0.0188132
26,-0.856702,-0.51570994,"('hardhearted', 'benevolent')",0.72748023,1.2211288,0.9333967,1.4390318,0.2680583,0.7148169,-0.4467586
9,-0.8303413,-0.79011977,"('unaffectionate', 'caring')",0.7462877,0.7176547,1.2710763,0.94548625,0.3956742,0.2910071,0.1046671
