,abercrombie_male,abercrombie_female,tuple,&_male,&_female,fitch_male,fitch_female,co_male,co_female,average_male,average_female,male-female
69,3.518467,3.414723,"('lazy', 'industrious')",3.1038518,2.8268185,1.9185908,1.5107104,-1.9433981,-1.5536467,1.6493779,1.5496513,0.0997266
10,-3.255985,-3.4612038,"('unsympathetic', 'sympathetic')",-2.5508225,-2.419436,-1.6509258,-1.1688042,1.2706382,0.61315095,-1.5467737,-1.6090733,0.0622996
23,-2.8446352,-2.885031,"('insincere', 'sincere')",-3.1892447,-2.7986488,-0.8402868,-0.38395488,5.9660053,5.813163,-0.2270404,-0.0636179,-0.1634225
55,-2.7598083,-2.8676417,"('incompetent', 'clever')",-1.9182668,-1.8869709,-2.2950797,-1.8208466,1.1289426,0.83143854,-1.461053,-1.4360051,-0.0250479
35,2.754618,2.963546,"('corrupt', 'incorrupt')",2.0641742,2.0359564,1.3098052,0.8839223,-1.3077393,-0.91436005,1.2052145,1.2422661,-0.0370516
45,-2.7425368,-2.6895106,"('incompetent', 'competent')",-1.9199446,-1.8580853,-1.3675605,-1.245053,0.12841061,-0.20644477,-1.4754077,-1.4997735,0.0243658
62,-2.648981,-2.3813145,"('incompetent', 'brilliant')",-2.5240996,-2.1633198,-1.4452149,-0.8271048,0.4828353,0.44835955,-1.533865,-1.230845,-0.30302
60,-2.6291707,-2.4795704,"('inefficient', 'efficient')",-2.5049818,-1.9709486,-1.1058774,-0.37394854,0.5122772,0.51171297,-1.4319382,-1.0781887,-0.3537495
72,-2.5973208,-2.2944639,"('unambitious', 'ambitious')",-1.640114,-1.4685196,-0.59692955,-0.2835902,-0.78788483,-0.60759854,-1.4055623,-1.163543,-0.2420193
43,-2.593535,-2.4306595,"('irresponsible', 'responsible')",-2.8254747,-2.486253,-0.5189217,-0.12874113,1.0725144,0.91072434,-1.2163543,-1.0337324,-0.1826219
86,-2.5217109,-2.6678762,"('uninfluential', 'influential')",-1.4693393,-1.4973779,-0.8881615,-0.5918592,0.15194678,-0.12479837,-1.1818163,-1.2204779,0.0386616
0,-2.4283938,-2.4084547,"('unsociable', 'sociable')",-1.0017558,-0.88363546,-0.6933002,-0.39411822,0.32354632,0.08884584,-0.9499758,-0.8993407,-0.0506351
24,-2.3873048,-2.0162208,"('dishonest', 'honest')",-2.264945,-1.9900979,-0.34851962,0.18733364,0.78481984,0.70079917,-1.0539875,-0.7795464,-0.2744411
28,-2.3543043,-2.474205,"('disloyal', 'loyal')",-2.005005,-2.0165224,-1.5257683,-1.2971829,0.85313094,0.77924126,-1.2579867,-1.2521673,-0.0058194
48,-2.1101835,-2.4320848,"('unintelligent', 'intelligent')",-2.09958,-2.091235,-2.5556018,-2.265553,0.3116617,0.085092574,-1.613426,-1.675945,0.062519
63,-2.0574172,-2.0866563,"('unperceptive', 'insightful')",-1.0426906,-0.7175978,-0.10408573,0.16643347,1.2157483,0.8129776,-0.4971113,-0.4562107,-0.0409006
36,1.9855738,1.9871951,"('hostile', 'amicable')",1.6380192,1.6368985,2.7267103,2.1415653,-1.1065608,-0.83539236,1.3109356,1.2325666,0.078369
11,-1.9396602,-1.9992491,"('unhelpful', 'helpful')",-3.0944,-2.8333194,-0.9056872,-0.65421367,2.9864225,2.6213422,-0.7383312,-0.71636,-0.0219712
81,-1.8883559,-2.0702553,"('submissive', 'aggressive')",-1.6108508,-1.5456266,-2.2643566,-1.9005148,0.014350802,-0.44437903,-1.4373031,-1.4901938,0.0528907
46,-1.8776467,-2.0195873,"('uncompetitive', 'competitive')",-0.8170375,-0.5788848,-0.73484975,-0.48699838,0.69673973,0.1688899,-0.6831986,-0.7291451,0.0459465
44,1.8607435,2.1233354,"('prejudiced', 'unprejudiced')",0.010298648,0.18093388,-1.3787119,-1.4354866,-1.7521019,-1.3693091,-0.3149429,-0.1251316,-0.1898113
13,-1.8486042,-1.7307017,"('impolite', 'polite')",-2.1349027,-1.6732875,-0.47087774,-0.12137876,0.2721342,0.1865302,-1.0455626,-0.8347095,-0.2108531
73,1.8471743,2.0297346,"('helpless', 'self-reliant')",1.052362,0.9391478,1.3333813,1.4225297,-3.4289904,-3.356026,0.2009817,0.2588465,-0.0578648
57,-1.8110428,-1.8121774,"('unimaginative', 'imaginative')",-1.7749627,-1.6178987,-1.4237794,-1.2379503,-2.5724752,-2.8206282,-1.895565,-1.8721637,-0.0234013
21,-1.8020277,-2.0124211,"('immoral', 'moral')",-1.5684538,-1.4068077,-2.0591657,-1.6960831,-0.28083643,-0.46828073,-1.427621,-1.3958981,-0.0317229
14,-1.7904633,-1.8471249,"('antisocial', 'social')",-1.4783297,-1.2526997,-2.9137912,-2.6042895,-0.8589464,-0.68831944,-1.7603827,-1.5981083,-0.1622744
70,-1.6893086,-1.6834245,"('lethargic', 'energetic')",-1.8151867,-1.5530792,-0.6133187,-0.2603778,1.266515,0.9663152,-0.7128248,-0.6326416,-0.0801832
65,-1.6849687,-1.8230879,"('insecure', 'secure')",-1.6179763,-1.3737756,-2.6945262,-2.1954558,0.3518577,0.40501451,-1.4114034,-1.2468263,-0.1645771
7,-1.6615176,-1.7428075,"('insensitive', 'sensitive')",-1.7507309,-1.5460633,-0.6705294,-0.190555,0.48318052,0.36312395,-0.8998994,-0.7790755,-0.1208239
41,-1.6451962,-1.5337477,"('unforgiving', 'forgiving')",-1.1621305,-1.0407275,-0.7393215,-0.84578055,-0.35280362,-0.1969156,-0.974863,-0.9042929,-0.0705701
85,1.6294353,1.9164222,"('insignificant', 'prestigious')",2.1750727,2.2114189,2.8054364,2.4336488,-1.5503876,-1.315893,1.2648892,1.3113992,-0.04651
22,-1.5317547,-1.4545443,"('untrustworthy', 'trustworthy')",-0.9614395,-0.8304515,-0.99197894,-0.79078823,-0.39081553,-0.369589,-0.9689971,-0.8613433,-0.1076538
1,-1.5296695,-1.3167607,"('unfriendly', 'friendly')",-0.76129407,-0.49738193,1.6166395,1.6224368,0.9205432,0.9847362,0.0615548,0.1982576,-0.1367028
9,-1.5159448,-1.1507823,"('unaffectionate', 'caring')",-1.1975821,-0.965259,1.6094729,1.7602226,0.61269385,0.7785703,-0.1228401,0.1056879,-0.228528
30,-1.5155852,-1.5900228,"('intolerant', 'tolerant')",-2.0062528,-2.0755568,0.03257922,0.36058366,0.24065189,0.20411034,-0.8121517,-0.7752214,-0.0369303
6,1.5029137,1.9977933,"('distant', 'open')",1.8229553,1.748695,2.853037,2.6951346,-0.7253372,-0.5439605,1.3633924,1.4744155,-0.1110231
39,-1.4945791,-1.1879145,"('exploitative', 'cooperative')",-0.4232103,-0.17680302,0.24133085,0.4072467,0.43583405,0.56352466,-0.3101561,-0.0984865,-0.2116696
76,-1.4611391,-1.2866601,"('anxious', 'daring')",-0.20034352,0.017329216,-2.279681,-1.8197236,0.9009966,0.7075556,-0.7600417,-0.5953748,-0.1646669
12,-1.4579253,-1.4668047,"('unsupportive', 'supportive')",-1.1220822,-0.7799166,1.1820021,1.3647265,-1.4610555,-1.6249923,-0.7147653,-0.6267468,-0.0880185
3,-1.456238,-1.6485695,"('repellent', 'pleasant')",-0.87899923,-0.9909458,-0.45887497,-0.36239302,0.86354417,0.7131641,-0.482642,-0.5721861,0.0895441
32,-1.443777,-1.4361122,"('unkind', 'kind')",-1.6194371,-1.4245403,-1.6630394,-1.3576133,0.93565035,1.0700899,-0.9476508,-0.7870439,-0.1606069
56,-1.4052699,-1.1214921,"('impractical', 'practical')",-2.0559907,-1.4954193,-0.07158632,0.36247247,0.7086314,0.6776196,-0.7060539,-0.3942048,-0.3118491
5,1.401543,1.9036534,"('distant', 'outgoing')",1.2259681,1.4365778,3.3388257,3.3380744,-1.0889889,-0.7988361,1.219337,1.4698673,-0.2505303
66,1.3941586,1.4955145,"('inactive', 'active')",1.4899946,1.4822214,1.2478857,0.9822336,0.41909865,0.32304662,1.1377845,1.0707541,0.0670304
53,-1.3549467,-1.2376055,"('uncreative', 'creative')",-0.19621876,-0.027660526,0.761477,1.0265768,1.3910205,1.3693234,0.150333,0.2826585,-0.1323255
49,-1.3547016,-1.2585307,"('unable', 'able')",-0.63302493,-0.6479064,-0.24861921,-0.07575184,-0.35916072,-0.17694554,-0.6488766,-0.5397836,-0.109093
33,1.2970959,1.3126714,"('wrong', 'right')",0.96037,0.9869108,1.0601332,1.0654397,-1.4984492,-1.4181842,0.4547875,0.4867094,-0.0319219
77,-1.2656871,-1.3651063,"('unmotivated', 'motivated')",-0.7904513,-0.4809086,-0.093068555,0.4062861,-0.70838517,-0.8138249,-0.7143981,-0.5633885,-0.1510096
8,-1.2152925,-0.8467271,"('unaffectionate', 'affectionate')",-0.45425582,-0.48427415,1.2557069,1.1884624,0.13800283,0.23725975,-0.0689596,0.0236802,-0.0926398
38,-1.2120047,-0.93760836,"('untruthful', 'truthful')",-1.7430398,-1.3898005,0.36393356,0.6407426,-0.3124917,-0.3036053,-0.7259007,-0.4975679,-0.2283328
31,1.2062391,1.2284249,"('evil', 'good')",1.6873728,1.5338924,1.4793173,1.0000155,-1.7637631,-1.6055857,0.6522915,0.5391867,0.1131048
