,prologis_male,prologis_female,tuple,inc_male,inc_female,average_male,average_female,male-female
1,-2.3535056,-2.7099118,"('unfriendly', 'friendly')",1.8968924,1.7460238,-0.2283066,-0.481944,0.2536374
53,-1.9680959,-2.0672374,"('uncreative', 'creative')",0.85280615,0.8522457,-0.5576448,-0.6074958,0.049851
36,-1.8103842,-1.8438041,"('hostile', 'amicable')",0.47735828,0.3251838,-0.666513,-0.7593101,0.0927971
9,-1.7435379,-1.9319917,"('unaffectionate', 'caring')",1.2444447,1.2195653,-0.2495466,-0.3562132,0.1066666
6,-1.6391277,-1.7505023,"('distant', 'open')",0.64647377,0.5846064,-0.496327,-0.582948,0.086621
19,-1.629466,-1.7044673,"('inhospitable', 'hospitable')",-0.096093364,-0.035230927,-0.8627797,-0.8698491,0.0070694
31,-1.5523216,-1.6110656,"('evil', 'good')",-0.68753195,-0.80530334,-1.1199267,-1.2081845,0.0882578
86,-1.5184188,-1.7704794,"('uninfluential', 'influential')",-0.5128374,-0.5356045,-1.0156281,-1.153042,0.1374139
8,-1.485088,-1.6637586,"('unaffectionate', 'affectionate')",1.0824409,1.0268761,-0.2013236,-0.3184413,0.1171177
54,-1.3610948,-1.3562392,"('incapable', 'capable')",1.319679,1.4768932,-0.0207079,0.060327,-0.0810349
5,-1.2667893,-1.3748666,"('distant', 'outgoing')",-0.024696685,0.014474977,-0.645743,-0.6801958,0.0344528
44,1.24501,1.2184231,"('prejudiced', 'unprejudiced')",-0.9488448,-0.94778067,0.1480826,0.1353212,0.0127614
42,1.2148994,0.9163775,"('unreliable', 'reliable')",-2.6868904,-2.684793,-0.7359955,-0.8842077,0.1482122
71,-1.1957493,-1.0761352,"('diffident', 'self-confident')",0.65659565,0.7859416,-0.2695768,-0.1450968,-0.12448
76,1.1670158,1.0104954,"('anxious', 'daring')",0.14509758,0.26323465,0.6560567,0.636865,0.0191917
28,-1.0261935,-1.2145426,"('disloyal', 'loyal')",0.8047177,0.6896712,-0.1107379,-0.2624357,0.1516978
80,1.0258617,1.0240976,"('dominated', 'dominating')",-1.600457,-1.6023431,-0.2872976,-0.2891228,0.0018252
16,-0.9912425,-1.0571381,"('unpopular', 'popular')",0.67093706,0.52426666,-0.1601527,-0.2664357,0.106283
60,0.9629416,0.99748033,"('inefficient', 'efficient')",-0.10008439,-0.060807317,0.4314286,0.4683365,-0.0369079
81,0.9528059,0.9225016,"('submissive', 'aggressive')",-1.0677862,-0.8804503,-0.0574902,0.0210257,-0.0785159
73,0.93197906,0.8138858,"('helpless', 'self-reliant')",-2.774744,-2.576247,-0.9213825,-0.8811806,-0.0402019
67,0.9277732,1.0168715,"('doubtful', 'determined')",-0.37501115,-0.42500666,0.276381,0.2959324,-0.0195514
0,-0.92407316,-1.1067314,"('unsociable', 'sociable')",-0.60465807,-0.64024544,-0.7643656,-0.8734884,0.1091228
25,-0.92094606,-0.8567309,"('egoistic', 'altruistic')",1.5724407,1.6094449,0.3257473,0.376357,-0.0506097
85,-0.91561395,-1.0468785,"('insignificant', 'prestigious')",0.7382658,0.7252203,-0.0886741,-0.1608291,0.072155
56,0.9091987,0.7917027,"('impractical', 'practical')",-0.24928379,-0.16439319,0.3299575,0.3136548,0.0163027
33,-0.8962354,-1.0137229,"('wrong', 'right')",-0.3595813,-0.41847196,-0.6279083,-0.7160974,0.0881891
66,-0.88709915,-1.0890981,"('inactive', 'active')",0.67372096,0.69095147,-0.1066891,-0.1990733,0.0923842
52,-0.87218195,-1.0704587,"('irrational', 'rational')",0.5421834,0.24603164,-0.1649993,-0.4122135,0.2472142
57,-0.858373,-0.99173164,"('unimaginative', 'imaginative')",-2.6905048,-2.4743109,-1.7744389,-1.7330213,-0.0414176
10,-0.84592164,-1.1183627,"('unsympathetic', 'sympathetic')",-0.5877903,-0.72935206,-0.716856,-0.9238573,0.2070013
38,-0.74835616,-0.9990256,"('untruthful', 'truthful')",-0.38769168,-0.41619518,-0.5680239,-0.7076104,0.1395865
79,-0.73227215,-0.975746,"('wavering', 'unwavering')",0.07871555,0.010945346,-0.3267783,-0.4824003,0.155622
78,-0.7053462,-0.5664813,"('nonresilient', 'resilient')",0.12791832,0.14775647,-0.288714,-0.2093624,-0.0793516
64,0.6998859,0.72806525,"('shy', 'confident')",-6.826405,-6.550268,-3.0632596,-2.9111013,-0.1521583
13,-0.6874554,-0.7578053,"('impolite', 'polite')",-0.7980196,-0.88745856,-0.7427375,-0.822632,0.0798945
58,-0.6728113,-0.7529608,"('undiscriminating', 'discriminating')",-0.1651771,-0.18505847,-0.4189942,-0.4690096,0.0500154
24,-0.6670602,-0.9462562,"('dishonest', 'honest')",0.534163,0.43321955,-0.0664486,-0.2565183,0.1900697
12,-0.6137895,-0.8023937,"('unsupportive', 'supportive')",-1.9847785,-1.8886083,-1.299284,-1.3455009,0.0462169
84,0.6098026,0.68449616,"('inferior', 'superior')",1.0529662,1.0969354,0.8313844,0.8907158,-0.0593314
18,-0.6027617,-0.65390867,"('disagreeable', 'welcoming')",-0.19985683,-0.27064118,-0.4013093,-0.4622749,0.0609656
21,0.5903557,0.43440953,"('immoral', 'moral')",-0.7702777,-0.89124286,-0.089961,-0.2284167,0.1384557
30,0.5874225,0.40815872,"('intolerant', 'tolerant')",1.1955973,1.0578241,0.8915099,0.7329915,0.1585184
17,-0.5774863,-0.7971517,"('nasty', 'nice')",-0.64027387,-0.6229339,-0.60888,-0.7100428,0.1011628
62,0.5740982,0.6137116,"('incompetent', 'brilliant')",0.038261868,0.1586796,0.3061801,0.3861956,-0.0800155
77,-0.5634148,-0.16282958,"('unmotivated', 'motivated')",-1.4062963,-1.3247885,-0.9848555,-0.743809,-0.2410465
14,0.5539725,0.5674427,"('antisocial', 'social')",-0.7680964,-0.75848466,-0.107062,-0.095521,-0.011541
61,-0.55125,-0.74912494,"('illogical', 'logical')",0.20650122,0.018567463,-0.1723744,-0.3652788,0.1929044
4,-0.5333819,-0.5985669,"('disliked', 'liked')",-6.6759977,-6.485457,-3.6046898,-3.542012,-0.0626778
