,express_male,express_female,tuple,scripts_male,scripts_female,holding_male,holding_female,co_male,co_female,average_male,average_female,male-female
31,-2.54028,-1.6439427,"('evil', 'good')",-1.6923978,-1.0582044,-1.7412077,-1.2721224,-1.4597521,-0.9218195,-1.8584094,-1.2240223,-0.6343871
56,2.3281019,2.078325,"('impractical', 'practical')",2.4685297,2.214558,1.4752717,1.491522,0.47270906,0.28423432,1.6861532,1.5171598,0.1689934
85,-1.9571314,-1.9210944,"('insignificant', 'prestigious')",-1.3193604,-1.0974717,0.7484853,0.06989756,-0.39369324,-0.6162984,-0.7304249,-0.8912417,0.1608168
60,1.923783,1.5033177,"('inefficient', 'efficient')",2.1093578,1.4936756,0.41806597,0.7136607,0.32048917,0.16924562,1.192924,0.9699749,0.2229491
16,-1.7895174,-1.7395955,"('unpopular', 'popular')",-1.0252608,-1.0255525,-0.9706681,-1.2886242,0.48003864,0.19073495,-0.8263519,-0.9657594,0.1394075
15,1.7358181,1.6811386,"('boring', 'funny')",2.4715555,2.6892035,0.6199991,0.797996,0.8524384,0.71253,1.4199528,1.4702171,-0.0502643
62,1.6985898,1.4698036,"('incompetent', 'brilliant')",1.8505659,1.6176072,0.789089,1.0209994,0.55992585,0.49638835,1.2245427,1.1511997,0.073343
52,-1.6735387,-1.7270364,"('irrational', 'rational')",0.17357959,0.118460685,-0.014557682,-0.5019019,-0.48520374,-0.7290602,-0.4999301,-0.7098845,0.2099544
13,1.578219,1.2700078,"('impolite', 'polite')",1.1710355,0.77313834,0.061861694,0.16890733,0.14641184,-0.0074174423,0.7393821,0.551159,0.1882231
39,1.5645342,1.1337198,"('exploitative', 'cooperative')",0.5577552,0.3157694,0.43953523,0.08528739,0.9122909,0.5950337,0.8685288,0.5324526,0.3360762
78,-1.5039629,-1.4949131,"('nonresilient', 'resilient')",-0.7585771,-0.55294716,-1.0323634,-0.7550655,-0.39418045,-0.34467652,-0.922271,-0.7869005,-0.1353705
59,-1.4114835,-1.2929738,"('foolish', 'wise')",-0.54953116,-0.46058592,-0.1532087,-0.40418273,-0.1636578,-0.10739495,-0.5694703,-0.5662844,-0.0031859
67,1.4014235,1.0936782,"('doubtful', 'determined')",0.5135189,0.26661602,0.91208625,0.8552483,-0.082119375,-0.24332534,0.6862273,0.4930543,0.193173
30,1.3869345,1.1258278,"('intolerant', 'tolerant')",1.685243,1.1257311,0.9249677,0.57850677,0.9532055,0.5525745,1.2375877,0.84566,0.3919277
70,1.3614362,1.5105703,"('lethargic', 'energetic')",0.5855119,0.4466254,0.49099767,0.70816773,0.7545808,0.9055619,0.7981316,0.8927314,-0.0945998
81,1.3592061,0.86239296,"('submissive', 'aggressive')",1.3230588,0.6193315,1.0674357,0.8864129,0.15588659,-0.22755305,0.9763968,0.5351461,0.4412507
24,1.320505,1.3800367,"('dishonest', 'honest')",0.75129616,0.9252476,-0.36897337,0.0012961887,0.8643162,1.193135,0.641786,0.8749289,-0.2331429
