,harley_male,harley_female,tuple,davidson_male,davidson_female,inc_male,inc_female,average_male,average_female,male-female
10,-1.9343152,-1.8971708,"('unsympathetic', 'sympathetic')",-0.7269055,-0.7516157,0.03511429,0.020576602,-0.8753688,-0.8760699,0.0007011
45,-1.5594095,-1.6099409,"('incompetent', 'competent')",-0.71989876,-0.69596076,-0.09363561,-0.1111293,-0.7909813,-0.8056769,0.0146956
85,1.556199,1.5412518,"('insignificant', 'prestigious')",0.28937998,0.50647384,-0.038328923,0.30938736,0.6024167,0.7857044,-0.1832877
27,-1.4537177,-1.1374444,"('hardhearted', 'softhearted')",-1.0581573,-0.96198803,0.93225026,0.9606872,-0.5265416,-0.3795818,-0.1469598
29,1.3495454,1.1529558,"('unfair', 'fair')",-0.08020098,-0.27395788,-0.18304037,-0.32025072,0.3621013,0.1862491,0.1758522
81,-1.3244042,-1.3873558,"('submissive', 'aggressive')",0.15454304,0.07021715,-0.51010185,-0.5532485,-0.5599877,-0.6234624,0.0634747
57,-1.2103176,-1.2996542,"('unimaginative', 'imaginative')",-1.2373372,-1.2294543,-2.7410073,-2.6580524,-1.729554,-1.7290537,-0.0005003
22,-1.2039553,-1.2306895,"('untrustworthy', 'trustworthy')",-0.34582162,-0.40822932,-0.9222093,-0.93430007,-0.8239954,-0.8577396,0.0337442
18,-1.1929259,-1.1979289,"('disagreeable', 'welcoming')",-1.488137,-1.4298362,-0.6618926,-0.6720798,-1.1143185,-1.0999483,-0.0143702
42,-1.1706617,-1.0289947,"('unreliable', 'reliable')",-1.1112932,-0.76814777,-3.4257584,-2.990658,-1.902571,-1.5959336,-0.3066374
65,-1.1671472,-1.3916823,"('insecure', 'secure')",-0.30248305,-0.5313424,-0.005721785,-0.10635356,-0.491784,-0.6764594,0.1846754
71,1.1433837,1.3393444,"('diffident', 'self-confident')",1.5794512,1.7268751,0.4250653,0.55997187,1.0493001,1.2087304,-0.1594303
70,-1.0995258,-0.9633542,"('lethargic', 'energetic')",0.017477863,0.033952482,0.57588696,0.5578368,-0.1687203,-0.123855,-0.0448653
62,-1.0928,-1.0076647,"('incompetent', 'brilliant')",-0.8552277,-0.7119873,0.26013854,0.4725997,-0.5626297,-0.4156841,-0.1469456
33,1.0802633,1.1054562,"('wrong', 'right')",0.3645687,0.46059757,-1.1605695,-0.9918898,0.0947541,0.191388,-0.0966339
67,1.0587665,0.9677195,"('doubtful', 'determined')",0.69378686,0.5528051,-0.4920686,-0.558262,0.4201616,0.3207542,0.0994074
28,-1.0287601,-1.1055256,"('disloyal', 'loyal')",-0.3555808,-0.4583544,1.3400455,1.3468883,-0.0147651,-0.0723306,0.0575655
55,-1.0235463,-1.1029457,"('incompetent', 'clever')",-0.4777106,-0.5199857,0.45817626,0.33443463,-0.3476936,-0.4294989,0.0818053
5,0.96768534,1.0849798,"('distant', 'outgoing')",-0.004802786,0.1551847,-0.6708331,-0.47957718,0.0973498,0.2535291,-0.1561793
13,-0.95943356,-1.0396512,"('impolite', 'polite')",-0.06299231,-0.28228495,0.17524493,-0.08137743,-0.2823937,-0.4677712,0.1853775
73,0.93954426,1.1806349,"('helpless', 'self-reliant')",-0.16541293,0.22574161,-3.6321769,-3.1192555,-0.9526819,-0.5709597,-0.3817222
56,0.9184715,0.96924114,"('impractical', 'practical')",1.4611347,1.5329741,0.3394093,0.35998774,0.9063385,0.9540677,-0.0477292
84,0.881455,0.7645308,"('inferior', 'superior')",0.59273595,0.4831103,0.9687328,1.0426497,0.8143079,0.7634303,0.0508776
83,0.85307884,0.68246746,"('powerless', 'powerful')",0.5544719,0.481865,-0.9144086,-0.7055401,0.1643807,0.1529308,0.0114499
41,-0.83147657,-1.0548503,"('unforgiving', 'forgiving')",-0.5212832,-0.72642654,-0.38610703,-0.6058392,-0.5796223,-0.7957054,0.2160831
75,0.8001866,0.982014,"('meek', 'impulsive')",0.20540094,0.33555746,-0.26840627,-0.16907212,0.2457271,0.3828331,-0.137106
49,-0.7670513,-0.796157,"('unable', 'able')",-0.9194906,-0.7963357,-0.49731305,-0.26392794,-0.7279516,-0.6188069,-0.1091447
17,-0.7472581,-0.92401516,"('nasty', 'nice')",-0.51414806,-0.80032474,-0.88150674,-1.0084585,-0.7143043,-0.9109329,0.1966286
63,-0.7317255,-0.57433534,"('unperceptive', 'insightful')",0.66947484,0.80913115,1.2485604,1.3031405,0.3954366,0.5126454,-0.1172088
44,-0.6970845,-0.662521,"('prejudiced', 'unprejudiced')",-0.8101702,-0.7256496,-1.7982147,-1.528754,-1.1018231,-0.9723082,-0.1295149
35,0.6895343,0.557747,"('corrupt', 'incorrupt')",-0.052794013,-0.05062086,-0.5612059,-0.5807108,0.0251781,-0.0245282,0.0497063
78,-0.6863565,-0.71789235,"('nonresilient', 'resilient')",0.7168198,0.84954363,0.6230198,0.74523985,0.2178277,0.292297,-0.0744693
0,-0.68131006,-0.94198245,"('unsociable', 'sociable')",0.6408765,0.23687947,0.1115036,-0.18044707,0.02369,-0.2951833,0.3188733
68,-0.66589576,-0.7679061,"('dependent', 'independent')",-0.9627622,-1.0766366,-0.14926732,-0.27563804,-0.5926418,-0.7067269,0.1140851
59,0.63852775,0.5560522,"('foolish', 'wise')",-0.1506254,-0.18984759,-0.13621816,0.048134755,0.1172281,0.1381131,-0.020885
3,-0.6315027,-0.5305553,"('repellent', 'pleasant')",-0.33815128,-0.3483976,0.39434034,0.3164501,-0.1917712,-0.187501,-0.0042702
74,0.60412776,0.586914,"('undedicated', 'dedicated')",0.49055898,0.558405,0.5104719,0.5684406,0.5350529,0.5712532,-0.0362003
37,-0.5872068,-0.2177052,"('fake', 'genuine')",-0.43868586,-0.19430158,0.21961859,0.4372746,-0.268758,0.0084226,-0.2771806
1,0.5827486,0.7431697,"('unfriendly', 'friendly')",0.36885104,0.57761085,1.7110131,1.9007854,0.8875376,1.0738553,-0.1863177
46,-0.5603829,-0.620625,"('uncompetitive', 'competitive')",0.424511,0.33670348,0.17341396,0.1756329,0.012514,-0.0360962,0.0486102
7,-0.5378388,-0.41921028,"('insensitive', 'sensitive')",-0.5039614,-0.5163672,0.7521342,0.7146281,-0.0965554,-0.0736498,-0.0229056
11,-0.5288962,-0.51694334,"('unhelpful', 'helpful')",0.293474,0.36326706,2.5864751,2.66041,0.7836843,0.8355779,-0.0518936
21,-0.5199947,-0.46005428,"('immoral', 'moral')",0.7840745,0.6725325,-0.30332747,-0.20804098,-0.0130826,0.0014791,-0.0145617
34,0.4973794,0.68064344,"('mean', 'honorable')",0.85752773,0.96228117,6.3241568,6.3533025,2.5596879,2.6654091,-0.1057212
30,-0.48224884,-0.4884451,"('intolerant', 'tolerant')",-0.6645215,-0.7259403,0.8495384,0.84506094,-0.0990773,-0.1231081,0.0240308
39,-0.48045248,-0.28675488,"('exploitative', 'cooperative')",-0.3981559,-0.24509084,-0.32971156,-0.21983811,-0.4027733,-0.2505613,-0.152212
16,0.45508686,0.154245,"('unpopular', 'popular')",-0.16302308,-0.35781774,0.3531387,0.30912232,0.2150675,0.0351832,0.1798843
88,-0.4514256,-0.568329,"('low', 'eminent')",-0.4915119,-0.47660246,0.5899649,0.5681203,-0.1176575,-0.158937,0.0412795
69,0.42707655,0.39389843,"('lazy', 'industrious')",0.25217706,0.30948794,-1.5291424,-1.3373424,-0.2832963,-0.2113187,-0.0719776
6,0.4188986,0.6395224,"('distant', 'open')",-0.7898428,-0.5547092,-0.27221447,-0.09230434,-0.2143862,-0.0024971,-0.2118891
54,-0.41727388,-0.17186728,"('incapable', 'capable')",-0.29473883,-0.011263028,0.9096241,1.2857331,0.0658705,0.3675343,-0.3016638
14,-0.391725,-0.6615502,"('antisocial', 'social')",0.43991008,0.08615157,-0.56719846,-0.6901227,-0.1730045,-0.4218405,0.248836
82,-0.3842642,-0.29048005,"('poor', 'rich')",0.44861668,0.55832255,6.573911,6.4731107,2.2127546,2.2469843,-0.0342297
15,0.37617826,0.326266,"('boring', 'funny')",0.00028453022,-0.058829434,-0.13802606,-0.1170802,0.0794789,0.0501188,0.0293601
50,-0.37287676,-0.33537847,"('clumsy', 'skillful')",0.11394079,0.17346516,0.29785442,0.5573033,0.0129728,0.1317967,-0.1188239
48,-0.35486048,-0.46894664,"('unintelligent', 'intelligent')",0.6437929,0.33223978,1.0308868,0.8445595,0.4399397,0.2359509,0.2039888
66,-0.3114006,-0.47139442,"('inactive', 'active')",-0.1643416,-0.23707691,0.43198636,0.5315822,-0.0145853,-0.058963,0.0443777
