,public_male,public_female,tuple,service_male,service_female,enterprise_male,enterprise_female,gp_male,gp_female,inc_male,inc_female,average_male,average_female,male-female
56,3.4437366,3.2188928,"('impractical', 'practical')",2.6122222,2.5555816,1.2866747,1.3535146,2.7649372,2.5816734,-0.48193842,-0.42996952,1.9251265,1.8559385,0.069188
14,3.2699163,2.9080825,"('antisocial', 'social')",1.4817966,1.277336,2.2208543,2.0701659,2.3161097,2.1478243,-0.44884554,-0.48104554,1.7679663,1.5844727,0.1834936
31,-2.6483214,-2.5279777,"('evil', 'good')",-1.4410006,-1.4997153,-2.0538452,-2.2232199,-2.8984408,-2.9003258,-1.0379884,-1.1338892,-2.0159195,-2.0570255,0.041106
21,2.5118058,2.4956615,"('immoral', 'moral')",1.7038583,1.7026672,1.3905997,1.3923973,1.7136468,1.7807734,-0.24292837,-0.10064082,1.4153964,1.4541718,-0.0387754
36,-2.4447658,-2.3052924,"('hostile', 'amicable')",-1.7580187,-1.8151575,-1.3679094,-1.517169,-2.7154627,-2.8348532,0.40508854,0.36790597,-1.5762136,-1.6209133,0.0446997
23,2.4239964,2.2262514,"('insincere', 'sincere')",1.0823249,1.0762146,0.62217075,0.7383519,2.482169,2.4314394,6.544168,6.5096803,2.6309658,2.5963875,0.0345783
70,2.3237123,2.2250662,"('lethargic', 'energetic')",1.3068348,1.3254408,2.6691725,2.7178252,2.7100594,2.6515963,1.4257357,1.4563646,2.0871029,2.0752586,0.0118443
81,2.242739,2.1217601,"('submissive', 'aggressive')",0.6364771,0.65938103,1.9512646,1.923339,1.7257607,1.7328036,-0.98144305,-0.98806006,1.1149596,1.0898447,0.0251149
30,2.1824162,2.1168287,"('intolerant', 'tolerant')",0.23589869,0.279153,1.5881038,1.7334437,2.2215655,2.3034825,1.3653929,1.4757124,1.5186754,1.5817241,-0.0630487
35,-2.1708398,-2.0541358,"('corrupt', 'incorrupt')",-0.18739644,-0.20488068,-1.7003318,-1.8753163,-3.043707,-2.9598222,-0.2962828,-0.39644167,-1.4797115,-1.4981193,0.0184078
60,2.0515103,1.9730242,"('inefficient', 'efficient')",1.2316387,1.2346103,2.0602288,2.233144,3.1824746,3.0915937,-0.17601633,-0.07401241,1.6699673,1.6916719,-0.0217046
16,-2.0364077,-1.9916009,"('unpopular', 'popular')",-1.889981,-1.7864956,-1.310453,-1.2111602,-1.1820172,-1.1171798,0.2735664,0.3824167,-1.2290586,-1.144804,-0.0842546
7,2.0140808,1.9598461,"('insensitive', 'sensitive')",0.78034073,0.7676248,1.8978992,1.9726207,2.1119704,2.1454256,1.4329115,1.4333814,1.6474405,1.6557796,-0.0083391
39,1.9857548,1.9398928,"('exploitative', 'cooperative')",0.9589206,0.96033525,2.2508655,2.2691426,3.095329,3.2229433,0.48370558,0.49764687,1.754915,1.7779922,-0.0230772
11,1.9022999,1.740911,"('unhelpful', 'helpful')",1.0622958,1.0404006,0.8701545,0.9202791,1.4143912,1.3249482,1.5810527,1.5682179,1.3660388,1.3189513,0.0470875
46,1.8985943,1.5056893,"('uncompetitive', 'competitive')",0.6837915,0.7213413,2.8013597,2.7251158,2.0341144,1.7973857,-0.4204836,-0.38271633,1.3994752,1.2733632,0.126112
12,1.8423437,1.7790856,"('unsupportive', 'supportive')",0.80022895,0.80279386,1.1394,1.1690965,0.89456695,0.6328884,-2.3250077,-2.268808,0.4703063,0.4230113,0.047295
57,1.8109442,1.3993919,"('unimaginative', 'imaginative')",0.21682514,0.07728022,1.976907,1.589456,1.4769002,1.083855,-2.4830503,-2.525149,0.5997052,0.3249669,0.2747383
42,1.7464931,1.8894491,"('unreliable', 'reliable')",1.3543897,1.5351106,0.632445,0.8376937,0.894231,0.9703659,-3.150906,-3.0535076,0.2953305,0.4358223,-0.1404918
8,-1.705943,-1.6133716,"('unaffectionate', 'affectionate')",-0.72981143,-0.80411696,-1.6666063,-1.7374467,-2.2307248,-2.316168,0.3874245,0.31135458,-1.1891322,-1.2319498,0.0428176
13,1.6074044,1.5572023,"('impolite', 'polite')",0.7023486,0.7292897,1.3293854,1.4616044,1.4493009,1.3337722,-0.6708972,-0.5428036,0.8835084,0.907813,-0.0243046
83,1.593048,1.5380685,"('powerless', 'powerful')",0.54250026,0.4701435,0.84165996,0.8252416,-0.16604754,-0.17854235,-1.1779249,-1.1751815,0.3266471,0.295946,0.0307011
75,-1.5818173,-1.5843064,"('meek', 'impulsive')",-0.22256348,-0.2630366,0.19047272,-0.057546467,-1.5507587,-1.4323393,-0.36550558,-0.35951596,-0.7060345,-0.7393489,0.0333144
43,1.4773016,1.3873457,"('irresponsible', 'responsible')",0.6682584,0.6622423,1.1006606,1.2292962,3.154089,3.0243795,1.0339482,1.0701659,1.4868515,1.4746859,0.0121656
62,1.474531,1.2465417,"('incompetent', 'brilliant')",1.2306021,1.1525737,1.3398287,1.3508539,2.4880328,2.4008389,-0.22449793,-0.22671664,1.2616994,1.1848184,0.076881
85,-1.4373138,-1.1411175,"('insignificant', 'prestigious')",-1.2142457,-1.0637791,-1.5287821,-1.5316179,-2.6321976,-2.6784654,-0.082295775,-0.046472233,-1.378967,-1.2922904,-0.0866766
55,1.419899,1.1564589,"('incompetent', 'clever')",0.7808318,0.76453483,1.2833513,1.3152622,1.7925683,1.6614604,0.10549481,0.110578075,1.0764291,1.0016589,0.0747702
65,1.3838282,1.3035179,"('insecure', 'secure')",-0.77266794,-0.700911,1.1789273,1.2901132,2.6131284,2.6409168,0.24815623,0.2825918,0.9302744,0.9632458,-0.0329714
22,1.3530577,1.1023846,"('untrustworthy', 'trustworthy')",0.92051846,0.7440631,1.2618403,1.3019674,1.8298256,1.7072188,-0.29406163,-0.29165617,1.0142361,0.9127955,0.1014406
68,-1.3318312,-1.2027932,"('dependent', 'independent')",-1.0415847,-0.9654681,0.044267733,0.05379414,-0.36013728,-0.35629773,-0.8530302,-0.8494799,-0.7084631,-0.664049,-0.0444141
47,1.1531452,1.0748749,"('stupid', 'smart')",0.4212237,0.35369983,0.6094811,0.6659064,1.3191885,1.3299503,6.019512,5.8830767,1.9045101,1.8615017,0.0430084
63,1.1472312,0.9953738,"('unperceptive', 'insightful')",0.8273028,0.8750962,1.4518743,1.4936295,2.0779521,1.9349114,0.9495259,0.9741054,1.2907772,1.2546232,0.036154
76,1.1422193,1.1290377,"('anxious', 'daring')",1.2164131,1.2822322,0.8988669,0.9119952,1.7353587,1.6880096,0.047729228,0.06570617,1.0081174,1.0153962,-0.0072788
0,1.1023576,0.81309915,"('unsociable', 'sociable')",-0.30412704,-0.41863036,0.24440262,0.18859033,2.199052,1.9135083,-0.24380866,-0.19279201,0.5995753,0.4607551,0.1388202
33,1.0960511,1.1359063,"('wrong', 'right')",1.4978195,1.4686054,-0.15471217,-0.03368459,-0.844768,-0.7025609,-0.5580817,-0.56374156,0.2072618,0.260905,-0.0536432
54,-1.071983,-0.879804,"('incapable', 'capable')",0.45365384,0.52238154,-0.3643394,-0.34312847,0.119008504,0.1392661,0.9675289,0.9955721,0.0207738,0.0868575,-0.0660837
26,1.0687938,1.0381577,"('hardhearted', 'benevolent')",0.3583138,0.27205676,0.71797574,0.7172214,1.2699119,1.046146,1.2136134,1.2550801,0.9257217,0.8657324,0.0599893
80,1.0685699,0.79316723,"('dominated', 'dominating')",1.2449806,1.1822395,1.6521863,1.5781565,1.6831802,1.5915302,-1.5241797,-1.4952201,0.8249475,0.7299747,0.0949728
1,-1.0485097,-1.1003165,"('unfriendly', 'friendly')",-1.0730711,-1.2061286,-1.641322,-1.7051207,0.3655145,0.04574264,1.513467,1.4309244,-0.3767843,-0.5069797,0.1301954
40,1.0381765,1.0673833,"('stingy', 'generous')",0.09721546,0.09277043,0.4897001,0.50378656,0.6201155,0.52271885,-1.4345627,-1.4667724,0.162129,0.1439773,0.0181517
45,1.0196829,0.60354835,"('incompetent', 'competent')",0.95106786,0.8021559,0.7482164,0.63587606,2.5349922,2.2980657,-0.08587396,-0.17641978,1.0336171,0.8326452,0.2009719
64,1.0021179,0.9782604,"('shy', 'confident')",0.66056067,0.6925224,1.2725712,1.2330567,0.9506073,0.8762382,-6.8712673,-6.750867,-0.597082,-0.5941578,-0.0029242
37,0.95977587,0.9349894,"('fake', 'genuine')",0.5221285,0.5722339,0.4348922,0.43051887,0.33318347,0.22752738,0.67388546,0.5566015,0.5847731,0.5443742,0.0403989
32,0.83195037,0.8991405,"('unkind', 'kind')",0.2677257,0.3845937,0.3588661,0.49449944,1.6954899,1.5355849,0.8998535,1.0030357,0.8107772,0.8633708,-0.0525936
17,0.8185504,0.7565584,"('nasty', 'nice')",1.3871373,1.2900172,-0.4341368,-0.43617553,-0.4450489,-0.47964326,-0.82884854,-0.81365097,0.0995307,0.0634212,0.0361095
50,-0.8083216,-0.53796536,"('clumsy', 'skillful')",-0.6287409,-0.39361674,-0.025123306,0.10364671,-0.50681645,-0.3488747,0.233105,0.315585,-0.3471795,-0.172245,-0.1749345
52,-0.77287084,-0.52978987,"('irrational', 'rational')",0.35117954,0.46874273,-1.287773,-1.2852851,-1.1812896,-1.0086408,0.031049537,0.049923234,-0.5719409,-0.46101,-0.1109309
82,-0.7585306,-0.77774864,"('poor', 'rich')",-0.67725074,-0.56538314,-0.7133575,-0.61734873,0.38167453,0.4363212,6.990454,6.955323,1.044598,1.0862328,-0.0416348
77,0.7566285,0.57334214,"('unmotivated', 'motivated')",0.9778316,0.9122827,1.3047779,1.1906857,0.7530137,0.6735271,-0.7683417,-0.6406373,0.604782,0.5418401,0.0629419
10,0.75176525,0.5895641,"('unsympathetic', 'sympathetic')",0.06443161,0.0672589,0.83477104,0.9323721,1.4637219,1.2197127,-0.36981797,-0.40787566,0.5489744,0.4802064,0.068768
38,0.72918844,0.7595893,"('untruthful', 'truthful')",0.15328917,0.1624393,0.12878335,0.21732062,-0.08813566,-0.25125572,-0.29090342,-0.3001472,0.1264444,0.1175893,0.0088551
61,0.71972555,0.6285122,"('illogical', 'logical')",0.609713,0.54885584,0.31456873,0.23754403,1.1495568,1.0602136,0.20044924,0.17086464,0.5988027,0.5291981,0.0696046
67,0.6936621,0.86898607,"('doubtful', 'determined')",1.6936468,1.7278913,0.19600782,0.50033283,0.124000944,0.40826502,-1.0374591,-0.9484947,0.3339717,0.5113961,-0.1774244
9,-0.69039166,-0.6727809,"('unaffectionate', 'caring')",0.39648685,0.3464184,-0.792582,-0.8504378,-0.1493073,-0.33049902,0.96988606,0.9522973,-0.0531816,-0.1110004,0.0578188
