,microsoft_male,microsoft_female,tuple,corp_male,corp_female,average_male,average_female,male-female
61,2.024412,2.0768147,"('illogical', 'logical')",0.86547077,0.833358,1.4449413,1.4550864,-0.0101451
39,1.9919614,2.0259895,"('exploitative', 'cooperative')",0.31607872,0.2008372,1.1540201,1.1134133,0.0406068
53,1.8493694,1.9909883,"('uncreative', 'creative')",0.6998834,0.8559141,1.2746264,1.4234512,-0.1488248
23,1.6093704,1.3132379,"('insincere', 'sincere')",6.62566,5.808647,4.1175151,3.5609426,0.5565725
1,1.5723861,1.6404024,"('unfriendly', 'friendly')",0.9193618,0.97506016,1.2458739,1.3077313,-0.0618574
81,-1.539599,-1.5250844,"('submissive', 'aggressive')",-0.4030069,-0.5404923,-0.9713029,-1.0327883,0.0614854
9,1.5374733,1.5738811,"('unaffectionate', 'caring')",0.6740849,0.5494164,1.1057792,1.0616488,0.0441304
44,-1.4483925,-1.4080305,"('prejudiced', 'unprejudiced')",-1.7558262,-1.7398475,-1.6021094,-1.5739391,-0.0281703
85,1.4157081,1.6454188,"('insignificant', 'prestigious')",-1.180771,-0.42591548,0.1174685,0.6097516,-0.4922831
25,1.3901348,1.291668,"('egoistic', 'altruistic')",1.0692145,1.025288,1.2296746,1.158478,0.0711966
42,-1.3881155,-1.1639512,"('unreliable', 'reliable')",-3.2978108,-3.0219505,-2.3429632,-2.0929508,-0.2500124
84,1.349807,1.4144939,"('inferior', 'superior')",1.2365685,1.4836415,1.2931877,1.4490677,-0.15588
26,1.2986475,1.6556146,"('hardhearted', 'benevolent')",0.83608097,1.2618864,1.0673642,1.4587505,-0.3913863
54,1.2353227,1.4872825,"('incapable', 'capable')",0.6122368,0.72918916,0.9237797,1.1082358,-0.1844561
6,1.227312,1.4468137,"('distant', 'open')",-1.4126135,-1.2842907,-0.0926508,0.0812615,-0.1739123
4,-1.1294253,-0.9609476,"('disliked', 'liked')",-6.9175563,-6.0098686,-4.0234909,-3.4854081,-0.5380828
71,1.1080532,1.2647597,"('diffident', 'self-confident')",-0.14837831,-0.035170794,0.4798374,0.6147944,-0.134957
8,1.0739206,1.1596053,"('unaffectionate', 'affectionate')",-0.20684765,-0.10639964,0.4335365,0.5266028,-0.0930663
5,1.0707142,1.3578713,"('distant', 'outgoing')",-1.213293,-0.92371225,-0.0712894,0.2170795,-0.2883689
70,-1.0585556,-1.2249169,"('lethargic', 'energetic')",0.8841055,0.5798669,-0.087225,-0.322525,0.2353
62,0.9947629,0.79978526,"('incompetent', 'brilliant')",0.9227589,0.5469051,0.9587609,0.6733452,0.2854157
0,-0.9929073,-0.95383734,"('unsociable', 'sociable')",0.15949097,-0.22270569,-0.4167082,-0.5882715,0.1715633
24,0.9803385,0.90154105,"('dishonest', 'honest')",1.1419694,0.92558706,1.061154,0.9135641,0.1475899
12,0.97663677,0.98183084,"('unsupportive', 'supportive')",-1.7353203,-1.6034718,-0.3793418,-0.3108205,-0.0685213
76,-0.968123,-0.9218842,"('anxious', 'daring')",0.048104063,-0.16568774,-0.4600095,-0.5437859,0.0837764
66,-0.89160836,-0.50582796,"('inactive', 'active')",-0.18303683,0.13252398,-0.5373226,-0.186652,-0.3506706
57,-0.86451805,-0.8071265,"('unimaginative', 'imaginative')",-2.7215123,-2.5685322,-1.7930152,-1.6878294,-0.1051858
74,0.8602075,0.830307,"('undedicated', 'dedicated')",0.1137544,0.17610398,0.4869809,0.5032055,-0.0162246
10,-0.8369592,-0.8326911,"('unsympathetic', 'sympathetic')",0.035360597,-0.24876785,-0.4007993,-0.5407295,0.1399302
37,-0.83222055,-0.9194773,"('fake', 'genuine')",0.38045838,0.029142646,-0.2258811,-0.4451673,0.2192862
33,0.79037106,0.9943489,"('wrong', 'right')",-0.885538,-0.80558425,-0.0475835,0.0943823,-0.1419658
14,-0.7890934,-0.75277257,"('antisocial', 'social')",0.28762516,-0.031109339,-0.2507341,-0.391941,0.1412069
86,0.76781744,0.8475096,"('uninfluential', 'influential')",0.32790267,0.19623503,0.54786,0.5218723,0.0259877
75,-0.74073184,-0.5153532,"('meek', 'impulsive')",-0.7891888,-0.3333459,-0.7649603,-0.4243495,-0.3406108
50,-0.72461736,-0.72754383,"('clumsy', 'skillful')",-0.2740314,-0.33220047,-0.4993244,-0.5298722,0.0305478
27,-0.6990588,-0.6397742,"('hardhearted', 'softhearted')",0.42093796,0.04058297,-0.1390604,-0.2995956,0.1605352
83,0.6863012,0.7663086,"('powerless', 'powerful')",-0.36003852,-0.2976716,0.1631313,0.2343185,-0.0711872
2,0.6801087,0.7623857,"('unlikable', 'likable')",0.31301183,0.70645136,0.4965603,0.7344185,-0.2378582
20,0.65271395,0.49397585,"('rough', 'thoughtful')",1.0681754,0.9287147,0.8604447,0.7113453,0.1490994
45,-0.6342618,-0.8055052,"('incompetent', 'competent')",-0.17796043,-0.3923833,-0.4061111,-0.5989442,0.1928331
78,0.62543917,0.38403317,"('nonresilient', 'resilient')",0.32952493,0.23349166,0.4774821,0.3087624,0.1687197
35,-0.60064024,-0.41514134,"('corrupt', 'incorrupt')",-1.3290173,-1.0530658,-0.9648287,-0.7341036,-0.2307251
48,0.58016306,0.29739705,"('unintelligent', 'intelligent')",0.7012429,0.53472215,0.640703,0.4160596,0.2246434
60,0.5549781,0.32229492,"('inefficient', 'efficient')",0.78284574,0.4369727,0.6689119,0.3796338,0.2892781
64,-0.52680403,-0.44271302,"('shy', 'confident')",-6.073147,-5.357672,-3.2999754,-2.9001927,-0.3997827
43,-0.5077389,-0.39784274,"('irresponsible', 'responsible')",0.4605793,0.3653397,-0.0235798,-0.0162515,-0.0073283
