,schering_male,schering_female,tuple,plough_male,plough_female,corp_male,corp_female,average_male,average_female,male-female
10,-2.7340953,-2.2931812,"('unsympathetic', 'sympathetic')",-3.0671558,-2.5862846,-0.21887729,-0.37208426,-2.0067096,-1.7505167,-0.2561929
1,-2.3096576,-2.1544135,"('unfriendly', 'friendly')",-2.0993097,-1.9260328,1.3243484,1.210069,-1.0282062,-0.9567924,-0.0714138
46,-2.1240656,-1.7293452,"('uncompetitive', 'competitive')",-2.0454006,-1.7716998,-1.1929959,-1.3072835,-1.7874873,-1.6027762,-0.1847111
86,-2.0094352,-1.7890499,"('uninfluential', 'influential')",-2.1998363,-1.9489496,-0.6458601,-0.84793466,-1.6183772,-1.5286447,-0.0897325
3,-1.9891971,-1.9600831,"('repellent', 'pleasant')",-1.5751871,-1.4766947,0.5819325,0.4103866,-0.9941506,-1.0087971,0.0146465
57,-1.9342579,-1.2918289,"('unimaginative', 'imaginative')",-1.9493835,-1.4384073,-3.5359838,-3.6435096,-2.4732084,-2.124582,-0.3486264
28,-1.8643448,-1.4293722,"('disloyal', 'loyal')",-1.3642442,-1.0642987,0.90755916,0.9192133,-0.7736766,-0.5248192,-0.2488574
23,-1.6017586,-1.5294473,"('insincere', 'sincere')",-1.4696681,-1.5284133,6.5395327,6.377778,1.1560353,1.1066391,0.0493962
53,-1.6005633,-1.5009463,"('uncreative', 'creative')",-1.7454689,-1.5895007,0.26977795,0.19287983,-1.025418,-0.9658557,-0.0595623
63,-1.5749401,-1.3560232,"('unperceptive', 'insightful')",-1.3655281,-1.2530215,0.675562,0.45401686,-0.7549688,-0.7183425,-0.0366263
35,1.4984878,1.0780983,"('corrupt', 'incorrupt')",1.7168019,1.4195738,-0.6224946,-0.5487591,0.864265,0.6496377,0.2146273
72,-1.4462265,-1.1401935,"('unambitious', 'ambitious')",-1.4379185,-1.2541267,-0.30962577,-0.16278638,-1.0645903,-0.8523688,-0.2122215
48,-1.4098517,-1.459946,"('unintelligent', 'intelligent')",-1.7166954,-1.6520866,0.68300766,0.53024095,-0.8145131,-0.8605972,0.0460841
11,-1.3946179,-1.173424,"('unhelpful', 'helpful')",-1.5555905,-1.5004139,2.1612802,2.052554,-0.2629761,-0.2070947,-0.0558814
45,-1.334094,-0.9131146,"('incompetent', 'competent')",-1.0028282,-0.7552414,0.10796323,-0.11508032,-0.7429863,-0.5944788,-0.1485075
41,-1.3277965,-0.9530487,"('unforgiving', 'forgiving')",-1.1393178,-0.94661295,-0.2578897,-0.31658748,-0.9083347,-0.7387497,-0.169585
0,-1.3243756,-1.1374118,"('unsociable', 'sociable')",-1.2808052,-1.1219151,0.12200168,-0.18856786,-0.8277264,-0.8159649,-0.0117615
40,-1.243579,-0.95190626,"('stingy', 'generous')",-0.91323537,-0.57851374,-2.81059,-2.9102871,-1.6558015,-1.4802357,-0.1755658
12,-1.1785641,-1.0286611,"('unsupportive', 'supportive')",-1.0978292,-0.8118837,-2.2138247,-2.3167365,-1.4967394,-1.3857605,-0.1109789
43,-1.1733361,-0.82279,"('irresponsible', 'responsible')",-1.6291533,-1.383965,0.66918683,0.6326632,-0.7111008,-0.5246973,-0.1864035
32,-1.1626383,-1.1866965,"('unkind', 'kind')",-1.4669335,-1.5560081,0.9946843,0.8174303,-0.5449626,-0.6417581,0.0967955
77,-1.1494395,-1.0190412,"('unmotivated', 'motivated')",-1.2245398,-1.1657696,-1.195326,-1.2443303,-1.1897683,-1.143047,-0.0467213
9,-1.1257265,-0.92747957,"('unaffectionate', 'caring')",-1.1658422,-0.9501466,1.384211,1.4215112,-0.3024526,-0.1520383,-0.1504143
24,-1.1164129,-1.0211585,"('dishonest', 'honest')",-1.2417163,-1.0973879,0.70358604,0.68427587,-0.5515143,-0.4780902,-0.0734241
73,1.1098324,1.4214592,"('helpless', 'self-reliant')",1.1060596,1.2585566,-3.5744023,-3.4738271,-0.4528368,-0.2646038,-0.188233
58,-1.0762244,-0.7792231,"('undiscriminating', 'discriminating')",-1.3138335,-1.0394624,-0.51439965,-0.5938484,-0.9681525,-0.804178,-0.1639745
22,-1.0390028,-0.9217388,"('untrustworthy', 'trustworthy')",-1.1396329,-1.189302,-0.6456398,-0.8648672,-0.9414252,-0.9919693,0.0505441
17,-0.9993459,-1.1542827,"('nasty', 'nice')",-0.26594493,-0.31233177,-0.4474248,-0.6041664,-0.5709052,-0.6902603,0.1193551
67,0.9849165,1.2141873,"('doubtful', 'determined')",1.2244645,1.3967435,-0.28795156,-0.059516322,0.6404765,0.8504715,-0.209995
88,-0.98018265,-1.1392661,"('low', 'eminent')",-1.7245462,-1.917445,-0.16924502,-0.40277603,-0.9579913,-1.1531624,0.1951711
34,-0.97723544,-1.1870902,"('mean', 'honorable')",-0.79720825,-1.0420455,6.0128794,5.922596,1.4128119,1.2311535,0.1816584
21,-0.9769995,-0.94830096,"('immoral', 'moral')",-1.2224447,-1.2113495,-0.4061803,-0.61733234,-0.8685416,-0.9256609,0.0571193
65,-0.9268751,-1.0380527,"('insecure', 'secure')",-1.1420219,-1.2478405,0.01651812,-0.077530555,-0.6841263,-0.7878079,0.1036816
7,-0.91895515,-1.0271218,"('insensitive', 'sensitive')",-1.0282042,-0.97574514,0.49827918,0.1336892,-0.48296,-0.6230593,0.1400993
69,0.9166528,0.48366934,"('lazy', 'industrious')",2.204904,1.786103,-0.87522006,-0.9310078,0.7487789,0.4462548,0.3025241
8,-0.91062355,-0.7342227,"('unaffectionate', 'affectionate')",-0.6983211,-0.5275574,0.74089074,0.87163484,-0.2893513,-0.1300484,-0.1593029
62,-0.8989986,-0.76076263,"('incompetent', 'brilliant')",-1.2152401,-1.1862559,0.666889,0.5312093,-0.4824499,-0.4719365,-0.0105134
