,avalonbay_male,avalonbay_female,tuple,communities_male,communities_female,inc_male,inc_female,average_male,average_female,male-female
85,-3.7795038,-2.0669885,"('insignificant', 'prestigious')",-1.7693648,-1.6490295,0.00534926,-0.011359718,-1.8478398,-1.2424592,-0.6053806
35,-3.4617233,-1.7808858,"('corrupt', 'incorrupt')",-2.0311942,-1.8354838,-0.35933658,-0.38419712,-1.9507513,-1.3335223,-0.617229
36,-3.4272976,-1.8921589,"('hostile', 'amicable')",-2.2359703,-2.1412191,0.10732582,0.06435193,-1.8519807,-1.3230087,-0.528972
60,3.332379,1.5295532,"('inefficient', 'efficient')",2.6654556,2.5564847,-0.02594653,0.047098503,1.9906294,1.3777121,0.6129173
31,-3.2395308,-1.7599558,"('evil', 'good')",-1.691233,-1.596027,-0.9408462,-1.1138194,-1.9572032,-1.489934,-0.4672692
76,2.9573236,1.8295935,"('anxious', 'daring')",1.9244026,1.8637934,0.6086872,0.76978105,1.8301379,1.4877227,0.3424152
13,2.9043598,1.8065736,"('impolite', 'polite')",1.8781023,1.892775,-0.19023171,-0.21014729,1.5307434,1.1630671,0.3676763
55,2.8491776,1.2001271,"('incompetent', 'clever')",1.0645295,1.0208095,-0.07982147,0.047411695,1.2779619,0.7561162,0.5218457
62,2.7588663,1.6953324,"('incompetent', 'brilliant')",1.9590743,2.0332,-0.035324376,0.23428631,1.5608719,1.3209395,0.2399324
56,2.7299879,1.7055018,"('impractical', 'practical')",2.3549573,2.3741946,-0.1985869,0.030900218,1.6287861,1.3701989,0.2585872
69,-2.72168,-1.3645616,"('lazy', 'industrious')",-0.24146959,-0.14220428,-0.41237578,-0.27133092,-1.1251751,-0.5926989,-0.5324762
81,2.6882591,1.0540574,"('submissive', 'aggressive')",1.5061522,1.5030737,-0.7568449,-0.621974,1.1458554,0.6450524,0.500803
21,2.5725539,1.0628636,"('immoral', 'moral')",1.6987576,1.6443381,-0.5647074,-0.40917265,1.2355348,0.7660096,0.4695252
19,-2.5679045,-1.8067375,"('inhospitable', 'hospitable')",-1.4479603,-1.4604871,-0.1504446,-0.22314607,-1.3887698,-1.1634569,-0.2253129
6,-2.5523896,-1.1835341,"('distant', 'open')",-1.6719185,-1.5061636,0.30707034,0.30133724,-1.3057459,-0.7961202,-0.5096257
46,2.5346816,1.096169,"('uncompetitive', 'competitive')",1.3888806,1.3297234,-0.7797551,-0.5577514,1.0479356,0.6227136,0.425222
7,2.5013707,1.6177677,"('insensitive', 'sensitive')",1.7521788,1.6298865,0.93331736,0.96500695,1.7289556,1.4042204,0.3247352
5,-2.363814,-0.99716073,"('distant', 'outgoing')",-0.7172838,-0.5500781,-0.27830425,-0.25925103,-1.1198007,-0.6021633,-0.5176374
30,2.2366018,1.4410192,"('intolerant', 'tolerant')",2.2682502,2.206408,0.8811212,1.0873998,1.7953245,1.5782757,0.2170488
79,-2.2269218,-1.1862743,"('wavering', 'unwavering')",-0.93525547,-0.71773756,0.16176769,0.20697315,-1.0001365,-0.5656796,-0.4344569
43,2.2169237,1.2494341,"('irresponsible', 'responsible')",1.6781405,1.6550708,0.5273369,0.5474197,1.4741338,1.1506415,0.3234923
10,2.1756554,0.74803025,"('unsympathetic', 'sympathetic')",0.9083314,0.903901,-0.20397241,0.0021247063,0.9600048,0.551352,0.4086528
14,2.14752,0.99485713,"('antisocial', 'social')",2.0926592,2.0230238,-0.66863644,-0.62895626,1.1905142,0.7963082,0.394206
70,1.9893833,1.0803151,"('lethargic', 'energetic')",1.7329018,1.6367077,0.83371186,1.0393347,1.5186656,1.2521192,0.2665464
80,1.9741141,0.8187209,"('dominated', 'dominating')",0.84600514,0.70763516,-0.9761325,-1.0516372,0.6146622,0.1582396,0.4564226
4,-1.8429393,-0.8985349,"('disliked', 'liked')",-0.8177809,-0.77988,-6.972474,-6.402311,-3.2110647,-2.6935752,-0.5174895
65,1.829444,0.58230835,"('insecure', 'secure')",1.0770379,0.8812657,0.14100131,0.10412225,1.0158277,0.5225654,0.4932623
52,-1.7353799,-0.6426176,"('irrational', 'rational')",-0.5252692,-0.49896413,-0.18501788,-0.2800899,-0.8152223,-0.4738905,-0.3413318
57,1.7282279,1.0617658,"('unimaginative', 'imaginative')",0.9457185,0.8223721,-2.446213,-2.069716,0.0759111,-0.0618594,0.1377705
45,1.7263871,0.9993824,"('incompetent', 'competent')",1.7131886,1.832177,-0.20888913,-0.058891483,1.0768956,0.9242226,0.152673
