,texas_male,texas_female,tuple,instruments_male,instruments_female,inc_male,inc_female,average_male,average_female,male-female
85,1.7199627,1.5922753,"('insignificant', 'prestigious')",1.466342,1.2787414,0.75426805,0.47163802,1.3135242,1.1142182,0.199306
39,1.4350594,1.4026476,"('exploitative', 'cooperative')",0.3760984,0.46591234,0.10036506,0.17025323,0.6371743,0.6796044,-0.0424301
71,1.3711983,1.1235007,"('diffident', 'self-confident')",1.2380714,1.259306,0.69412994,0.56807005,1.1011332,0.9836256,0.1175076
40,1.2998154,1.4313993,"('stingy', 'generous')",0.7367769,0.69383746,-1.242176,-1.3760937,0.2648054,0.2497143,0.0150911
25,1.1834649,0.9436644,"('egoistic', 'altruistic')",1.6230543,1.4605972,1.4184952,1.1947235,1.4083381,1.1996617,0.2086764
2,1.176756,1.2857876,"('unlikable', 'likable')",0.4750991,0.4165259,0.3978804,0.49253565,0.6832452,0.7316163,-0.0483711
82,-1.0674698,-0.53817654,"('poor', 'rich')",-0.035792813,0.11720046,5.636593,5.63352,1.51111,1.7375147,-0.2264047
74,1.0264812,1.338817,"('undedicated', 'dedicated')",0.07598825,0.14055835,0.15688647,0.16926327,0.4197853,0.5495462,-0.1297609
69,0.93485075,0.57802373,"('lazy', 'industrious')",1.3322845,1.2104807,-0.62241805,-0.80199164,0.548239,0.3288376,0.2194014
33,0.911226,0.80239195,"('wrong', 'right')",0.88080215,0.7812325,-0.7705803,-0.9669061,0.3404826,0.2055728,0.1349098
49,-0.8696426,-0.78774226,"('unable', 'able')",-0.05591129,0.053447414,-0.20822349,-0.18818423,-0.3779258,-0.307493,-0.0704328
43,-0.83898675,-0.495778,"('irresponsible', 'responsible')",-1.3268865,-1.2205977,-0.035008617,0.1234802,-0.7336273,-0.5309652,-0.2026621
10,-0.7890643,-0.5740386,"('unsympathetic', 'sympathetic')",-1.3839742,-1.3066894,-0.43800426,-0.33965632,-0.8703476,-0.7401281,-0.1302195
84,0.78629017,0.5819939,"('inferior', 'superior')",1.0000991,0.9857242,1.0454319,1.0222821,0.9439403,0.8633334,0.0806069
47,-0.7793398,-0.6607762,"('stupid', 'smart')",-0.5137558,-0.4107864,5.1431217,5.063383,1.283342,1.3306069,-0.0472649
26,0.75185734,0.73479027,"('hardhearted', 'benevolent')",1.6290157,1.5414329,1.6278471,1.4869397,1.33624,1.2543876,0.0818524
28,0.750847,0.719922,"('disloyal', 'loyal')",-0.3769054,-0.4237223,0.88735867,0.81242204,0.4204334,0.3695406,0.0508928
56,-0.7440979,-0.32097667,"('impractical', 'practical')",-0.1803041,0.085071206,-0.44703984,-0.055146422,-0.4571473,-0.0970173,-0.36013
20,0.7354676,0.64948565,"('rough', 'thoughtful')",1.2976177,1.3166039,1.3167257,1.3500077,1.1166037,1.1053658,0.0112379
66,0.7109545,0.38069284,"('inactive', 'active')",-0.16510735,-0.15824269,0.9568534,0.6313507,0.5009002,0.2846003,0.2162999
16,-0.7023444,-0.74861807,"('unpopular', 'popular')",0.50242084,0.44978845,0.4606729,0.3293288,0.0869164,0.0101664,0.07675
24,0.69148767,0.8116102,"('dishonest', 'honest')",-1.1390376,-1.2432795,0.46084854,0.44333202,0.0044329,0.0038876,0.0005453
73,0.6738617,0.9746392,"('helpless', 'self-reliant')",-0.11784199,-0.08356423,-3.410558,-3.2883162,-0.9515128,-0.7990805,-0.1524323
1,0.6727936,0.6573979,"('unfriendly', 'friendly')",1.2968482,1.0048206,1.6496149,1.3130085,1.2064189,0.9917424,0.2146765
3,-0.67023176,-0.76742274,"('repellent', 'pleasant')",-0.45669016,-0.52595234,0.09596867,0.13189046,-0.3436511,-0.3871615,0.0435104
