,aetna_male,aetna_female,tuple,inc_male,inc_female,average_male,average_female,male-female
53,-1.6492,-1.8299465,"('uncreative', 'creative')",0.603637,0.3726909,-0.5227815,-0.7286278,0.2058463
10,-1.4101332,-1.3446012,"('unsympathetic', 'sympathetic')",-0.21829253,-0.38968396,-0.8142129,-0.8671426,0.0529297
0,-1.39028,-1.2709632,"('unsociable', 'sociable')",-0.633019,-0.75112575,-1.0116495,-1.0110445,-0.000605
86,-1.3468758,-1.6171299,"('uninfluential', 'influential')",0.04398792,-0.49416488,-0.651444,-1.0556474,0.4042034
5,-1.3294501,-1.5943469,"('distant', 'outgoing')",-0.53303695,-0.5636958,-0.9312435,-1.0790213,0.1477778
19,-1.2140496,-1.5164334,"('inhospitable', 'hospitable')",0.11990199,-0.09520705,-0.5470738,-0.8058202,0.2587464
1,-1.0623267,-1.5519431,"('unfriendly', 'friendly')",1.6742655,1.3911991,0.3059694,-0.080372,0.3863414
57,-1.0058191,-1.1761001,"('unimaginative', 'imaginative')",-2.2019398,-2.4561567,-1.6038795,-1.8161285,0.212249
69,0.9998791,0.7822243,"('lazy', 'industrious')",-0.5364993,-0.81684595,0.2316899,-0.0173108,0.2490007
6,-0.9827786,-1.3716773,"('distant', 'open')",0.02002481,-0.098312855,-0.4813769,-0.7349951,0.2536182
38,-0.9814204,-0.82927835,"('untruthful', 'truthful')",-0.52485013,-0.23014227,-0.7531353,-0.5297103,-0.223425
23,-0.9209167,-0.72230595,"('insincere', 'sincere')",5.338613,5.806791,2.2088482,2.5422425,-0.3333943
18,-0.910041,-0.933068,"('disagreeable', 'welcoming')",-0.4159974,-0.5251703,-0.6630192,-0.7291192,0.0661
9,-0.9084241,-1.2580711,"('unaffectionate', 'caring')",1.0806751,0.91468376,0.0861255,-0.1716937,0.2578192
29,-0.90283895,-1.1083951,"('unfair', 'fair')",-0.17069793,-0.28716698,-0.5367684,-0.697781,0.1610126
45,-0.8878988,-1.0106761,"('incompetent', 'competent')",-0.16254193,-0.29581428,-0.5252204,-0.6532452,0.1280248
8,-0.8852304,-1.1156862,"('unaffectionate', 'affectionate')",0.8697262,0.6766017,-0.0077521,-0.2195422,0.2117901
43,-0.8804032,-0.6126444,"('irresponsible', 'responsible')",0.4661669,0.77372146,-0.2071182,0.0805385,-0.2876567
77,-0.87478936,-0.81430906,"('unmotivated', 'motivated')",-1.4852293,-1.4109857,-1.1800094,-1.1126474,-0.067362
68,-0.84602934,-0.8131615,"('dependent', 'independent')",-0.40774208,-0.62959033,-0.6268857,-0.7213759,0.0944902
41,-0.80813104,-1.0353131,"('unforgiving', 'forgiving')",0.20386356,-0.092091314,-0.3021337,-0.5637022,0.2615685
54,-0.7751803,-0.581479,"('incapable', 'capable')",1.1032614,1.271445,0.1640405,0.344983,-0.1809425
28,-0.7400542,-0.6330687,"('disloyal', 'loyal')",0.76282644,0.65074396,0.0113861,0.0088376,0.0025485
13,-0.72498435,-0.52944696,"('impolite', 'polite')",-0.629227,-0.4134667,-0.6771057,-0.4714568,-0.2056489
66,-0.7192516,-0.8166745,"('inactive', 'active')",0.7317613,0.4051114,0.0062549,-0.2057815,0.2120364
36,-0.6995596,-1.0632643,"('hostile', 'amicable')",0.15799385,-0.061927263,-0.2707829,-0.5625958,0.2918129
49,-0.6818597,-0.35523665,"('unable', 'able')",-0.40567654,-0.22528145,-0.5437681,-0.2902591,-0.253509
31,-0.67899185,-1.1499836,"('evil', 'good')",-0.92619205,-1.287873,-0.8025919,-1.2189283,0.4163364
14,-0.6773231,-0.37361366,"('antisocial', 'social')",-0.35635993,-0.31679073,-0.5168415,-0.3452022,-0.1716393
83,-0.669676,-0.43348408,"('powerless', 'powerful')",-1.1417665,-1.01059,-0.9057213,-0.722037,-0.1836843
51,-0.6487882,-0.6520504,"('uneducated', 'educated')",0.87209404,0.5623471,0.1116529,-0.0448516,0.1565045
24,-0.64416945,-0.5433165,"('dishonest', 'honest')",0.73119175,0.8168374,0.0435112,0.1367604,-0.0932492
30,-0.642803,-0.3787002,"('intolerant', 'tolerant')",1.0457458,1.2635787,0.2014714,0.4424392,-0.2409678
82,-0.6366913,-0.13658726,"('poor', 'rich')",5.759112,6.2015452,2.5612104,3.032479,-0.4712686
26,0.62667006,0.032433294,"('hardhearted', 'benevolent')",2.3237486,1.8859345,1.4752094,0.9591839,0.5160255
21,-0.6206577,-0.11864221,"('immoral', 'moral')",-0.5714933,-0.38238516,-0.5960755,-0.2505137,-0.3455618
56,-0.6137235,-0.32866707,"('impractical', 'practical')",-0.6179123,-0.28848624,-0.6158179,-0.3085766,-0.3072413
3,-0.6062865,-0.5698398,"('repellent', 'pleasant')",0.45947963,0.49908924,-0.0734034,-0.0353753,-0.0380281
22,-0.6056332,-0.38100216,"('untrustworthy', 'trustworthy')",-0.7647115,-0.7833147,-0.6851723,-0.5821584,-0.1030139
16,-0.6015692,-0.5158709,"('unpopular', 'popular')",-0.038484752,0.09824164,-0.320027,-0.2088147,-0.1112123
70,-0.5991123,-0.21237887,"('lethargic', 'energetic')",0.6876378,0.7905566,0.0442628,0.2890889,-0.2448261
46,-0.598136,-0.10595182,"('uncompetitive', 'competitive')",-0.6296536,-0.52944976,-0.6138948,-0.3177008,-0.296194
11,-0.5937603,-0.2320918,"('unhelpful', 'helpful')",1.2811311,1.601043,0.3436854,0.6844756,-0.3407902
71,-0.59233,-0.9266706,"('diffident', 'self-confident')",0.27252412,0.13681826,-0.1599029,-0.3949262,0.2350233
63,-0.586891,-0.6578721,"('unperceptive', 'insightful')",0.91599464,0.74966115,0.1645518,0.0458945,0.1186573
42,-0.56513673,-0.4081806,"('unreliable', 'reliable')",-2.9610403,-3.1243484,-1.7630885,-1.7662644,0.0031759
58,-0.53132373,-0.85289085,"('undiscriminating', 'discriminating')",0.35186943,0.09175177,-0.0897271,-0.3805695,0.2908424
33,0.523355,0.11763025,"('wrong', 'right')",-0.50872576,-0.67578566,0.0073146,-0.2790777,0.2863923
76,-0.5151959,0.17853373,"('anxious', 'daring')",-0.035927985,0.43798646,-0.275562,0.3082601,-0.5838221
79,-0.5029094,-0.78039134,"('wavering', 'unwavering')",-0.08576687,-0.23370077,-0.2943381,-0.507046,0.2127079
47,-0.4904719,-0.110763386,"('stupid', 'smart')",4.611921,5.1741486,2.0607245,2.5316925,-0.470968
55,-0.47904977,-0.083971694,"('incompetent', 'clever')",0.3139145,0.31046584,-0.0825676,0.1132471,-0.1958147
50,0.4698029,0.44156212,"('clumsy', 'skillful')",0.43925506,0.21258208,0.454529,0.3270721,0.1274569
17,-0.4435955,-0.5131429,"('nasty', 'nice')",-0.5877396,-0.5821705,-0.5156676,-0.5476567,0.0319891
78,-0.44303906,-0.4820076,"('nonresilient', 'resilient')",0.31341085,0.09799898,-0.0648141,-0.1920043,0.1271902
37,0.44174924,0.43830603,"('fake', 'genuine')",0.6996176,0.57540166,0.5706834,0.5068538,0.0638296
73,0.44151685,0.30049464,"('helpless', 'self-reliant')",-2.7483175,-2.8411262,-1.1534003,-1.2703158,0.1169155
84,0.396656,0.50105137,"('inferior', 'superior')",0.7904337,1.0360221,0.5935448,0.7685367,-0.1749919
60,-0.36481893,0.2996357,"('inefficient', 'efficient')",-0.44629133,0.12129466,-0.4055551,0.2104652,-0.6160203
34,-0.3613926,-0.039698295,"('mean', 'honorable')",5.6285887,6.0818777,2.6335981,3.0210898,-0.3874917
61,-0.3449904,-0.32557422,"('illogical', 'logical')",0.1936695,0.1282063,-0.0756605,-0.098684,0.0230235
62,-0.30766907,0.14028922,"('incompetent', 'brilliant')",-0.037136532,0.3936742,-0.1724028,0.2669817,-0.4393845
85,0.3021443,-0.23566811,"('insignificant', 'prestigious')",0.5962466,0.3591792,0.4491954,0.0617555,0.3874399
2,0.29436058,0.6785394,"('unlikable', 'likable')",0.45941564,0.75701463,0.3768881,0.717777,-0.3408889
72,-0.23748574,-0.23450448,"('unambitious', 'ambitious')",-0.82454646,-0.55982566,-0.5310161,-0.3971651,-0.133851
75,0.23380217,0.3422829,"('meek', 'impulsive')",-0.4078377,-0.28746358,-0.0870178,0.0274097,-0.1144275
25,-0.2224968,-0.28153715,"('egoistic', 'altruistic')",1.5868592,1.4081852,0.6821812,0.563324,0.1188572
