,applied_male,applied_female,tuple,materials_male,materials_female,inc_male,inc_female,average_male,average_female,male-female
82,-2.28819,-1.8744304,"('poor', 'rich')",-0.4124074,-0.2542651,5.6359367,5.937488,0.9784465,1.2695975,-0.291151
32,-1.8705406,-1.596229,"('unkind', 'kind')",0.18503079,0.29019117,0.6576475,0.8770826,-0.3426208,-0.1429851,-0.1996357
69,1.7223326,1.6299192,"('lazy', 'industrious')",0.7016457,0.7520793,-0.084583156,-0.22137442,0.7797984,0.720208,0.0595904
22,-1.6354221,-1.6728616,"('untrustworthy', 'trustworthy')",-0.30945462,-0.2569092,-0.9139273,-0.9333065,-0.9529347,-0.9543591,0.0014244
29,-1.5665668,-1.497531,"('unfair', 'fair')",-1.0317811,-0.95581454,-0.6352255,-0.6459076,-1.0778578,-1.0330844,-0.0447734
65,-1.5578247,-1.6874533,"('insecure', 'secure')",0.103262484,-0.04880698,-0.5844617,-0.609502,-0.6796746,-0.7819208,0.1022462
73,1.5218987,1.2528574,"('helpless', 'self-reliant')",-0.07075952,-0.17271607,-3.077304,-3.1078994,-0.5420549,-0.6759194,0.1338645
19,-1.4433968,-1.470021,"('inhospitable', 'hospitable')",-1.8409866,-1.806063,-0.01122365,0.026093984,-1.0985356,-1.08333,-0.0152056
67,1.2369003,1.6982918,"('doubtful', 'determined')",0.7652524,1.0246001,-0.6503033,-0.4770358,0.4506164,0.7486187,-0.2980023
31,-1.2021991,-1.5986754,"('evil', 'good')",-0.79441243,-1.000252,-0.56114286,-0.5935374,-0.8525848,-1.0641549,0.2115701
39,1.1278634,0.7299208,"('exploitative', 'cooperative')",0.5589647,0.4005547,0.39553222,0.15819213,0.6941201,0.4295559,0.2645642
16,-1.0606804,-1.1921356,"('unpopular', 'popular')",-1.1724168,-1.2455593,0.2553916,0.28566897,-0.6592352,-0.7173421,0.0581069
10,-1.0022511,-0.77955604,"('unsympathetic', 'sympathetic')",0.31180206,0.4286059,-0.32761326,-0.1873122,-0.3393541,-0.1794208,-0.1599333
51,-0.98952866,-0.65574116,"('uneducated', 'educated')",-0.6102573,-0.49878877,0.2019898,0.22752495,-0.4659321,-0.3090017,-0.1569304
68,-0.9867203,-1.0002606,"('dependent', 'independent')",-0.80256075,-0.87717015,-0.3109241,-0.43578443,-0.7000684,-0.7710717,0.0710033
