,cit_male,cit_female,tuple,group_male,group_female,inc_male,inc_female,average_male,average_female,male-female
86,-1.811362,-2.07707,"('uninfluential', 'influential')",-0.05807461,-0.2082359,-0.28933284,-0.24308923,-0.7195898,-0.8427984,0.1232086
1,-1.6348861,-1.6888894,"('unfriendly', 'friendly')",-0.72414756,-0.59785366,1.564346,1.6502784,-0.2648959,-0.2121549,-0.052741
73,1.5944892,1.6094452,"('helpless', 'self-reliant')",0.1847413,0.124212526,-3.3968358,-2.9932268,-0.5392018,-0.4198563,-0.1193455
8,-1.5467346,-1.5991751,"('unaffectionate', 'affectionate')",-0.60739243,-0.55260897,0.7081018,0.9525707,-0.4820085,-0.3997378,-0.0822707
42,1.4216248,1.3229891,"('unreliable', 'reliable')",1.6392055,1.6507807,-2.9377072,-2.5587492,0.041041,0.1383402,-0.0972992
76,1.4074978,0.9186669,"('anxious', 'daring')",1.1858909,1.0009202,0.4304881,0.2840927,1.0079589,0.7345599,0.273399
53,-1.3421565,-1.1869916,"('uncreative', 'creative')",-0.33424234,-0.13386224,0.94436264,1.2278042,-0.2440121,-0.0310165,-0.2129956
2,1.3055191,1.1827375,"('unlikable', 'likable')",1.7255284,1.5959017,0.6576595,0.66899437,1.229569,1.1492112,0.0803578
9,-1.3052971,-1.1647928,"('unaffectionate', 'caring')",-0.3044396,-0.09954953,1.1522315,1.5049397,-0.1525017,0.0801991,-0.2327008
67,1.2550751,1.1718982,"('doubtful', 'determined')",1.1390632,1.0442774,-0.20093481,-0.37782913,0.7310678,0.6127822,0.1182856
39,1.1969355,1.3961934,"('exploitative', 'cooperative')",1.6646737,1.7970173,0.14169492,-0.0122844465,1.0011014,1.0603087,-0.0592073
23,-1.1961656,-1.181944,"('insincere', 'sincere')",0.23355827,0.28194362,6.2428055,5.9723287,1.760066,1.690776,0.06929
19,-1.1604154,-0.8614654,"('inhospitable', 'hospitable')",-1.8229764,-1.6666784,-0.24637263,-0.08056603,-1.0765882,-0.8695699,-0.2070183
79,-1.0994425,-1.2753054,"('wavering', 'unwavering')",-2.0675147,-2.0852435,-0.29297727,-0.22735459,-1.1533115,-1.1959678,0.0426563
